"Pair"	"pert_iname"	"target_chembl_id"	"chembl_target_name"	"standard_type"	"Median"	"uniprot_ID"	"target_gene_symbol"	"Drugs"
"afatinib_CHEMBL5476"	"afatinib"	"CHEMBL5476"	"Bone morphogenetic protein receptor type-1B"	"Kd"	10000	"O00238"	"BMPR1B"	"afatinib"
"alvocidib_CHEMBL5476"	"alvocidib"	"CHEMBL5476"	"Bone morphogenetic protein receptor type-1B"	"Kd"	450	"O00238"	"BMPR1B"	"alvocidib"
"AT-7519_CHEMBL5476"	"AT-7519"	"CHEMBL5476"	"Bone morphogenetic protein receptor type-1B"	"Kd"	10000	"O00238"	"BMPR1B"	"AT-7519"
"barasertib-HQPA_CHEMBL5476"	"barasertib-HQPA"	"CHEMBL5476"	"Bone morphogenetic protein receptor type-1B"	"Kd"	10000	"O00238"	"BMPR1B"	"barasertib-HQPA"
"BI-2536_CHEMBL5476"	"BI-2536"	"CHEMBL5476"	"Bone morphogenetic protein receptor type-1B"	"Kd"	10000	"O00238"	"BMPR1B"	"BI-2536"
"BMS-345541_CHEMBL5476"	"BMS-345541"	"CHEMBL5476"	"Bone morphogenetic protein receptor type-1B"	"Kd"	10000	"O00238"	"BMPR1B"	"BMS-345541"
"BMS-387032_CHEMBL5476"	"BMS-387032"	"CHEMBL5476"	"Bone morphogenetic protein receptor type-1B"	"Kd"	10000	"O00238"	"BMPR1B"	"BMS-387032"
"brivanib_CHEMBL5476"	"brivanib"	"CHEMBL5476"	"Bone morphogenetic protein receptor type-1B"	"Kd"	10000	"O00238"	"BMPR1B"	"brivanib"
"canertinib_CHEMBL5476"	"canertinib"	"CHEMBL5476"	"Bone morphogenetic protein receptor type-1B"	"Kd"	2600	"O00238"	"BMPR1B"	"canertinib"
"cediranib_CHEMBL5476"	"cediranib"	"CHEMBL5476"	"Bone morphogenetic protein receptor type-1B"	"Kd"	10000	"O00238"	"BMPR1B"	"cediranib"
"crizotinib_CHEMBL5476"	"crizotinib"	"CHEMBL5476"	"Bone morphogenetic protein receptor type-1B"	"Kd"	230	"O00238"	"BMPR1B"	"crizotinib"
"dovitinib_CHEMBL5476"	"dovitinib"	"CHEMBL5476"	"Bone morphogenetic protein receptor type-1B"	"Kd"	10000	"O00238"	"BMPR1B"	"dovitinib"
