"Pair"	"pert_iname"	"target_chembl_id"	"chembl_target_name"	"standard_type"	"Median"	"uniprot_ID"	"target_gene_symbol"	"Drugs"
"fenoldopam_CHEMBL1293226"	"fenoldopam"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Ki"	1920	"B2RXH2"	"KDM4E"	"fenoldopam"
"R-547_CHEMBL2343"	"R-547"	"CHEMBL2343"	"Serine/threonine-protein kinase Sgk1"	"Ki"	5000	"O00141"	"SGK1"	"R-547"
"alisertib_CHEMBL5443"	"alisertib"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"alisertib"
"BMS-387032_CHEMBL5443"	"BMS-387032"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	3981.07	"O00311"	"CDC7"	"BMS-387032"
"cediranib_CHEMBL5443"	"cediranib"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"cediranib"
"CHIR-99021_CHEMBL5443"	"CHIR-99021"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"CHIR-99021"
"dovitinib_CHEMBL5443"	"dovitinib"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"dovitinib"
"erlotinib_CHEMBL5443"	"erlotinib"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"erlotinib"
"fostamatinib_CHEMBL5443"	"fostamatinib"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	7.943	"O00311"	"CDC7"	"fostamatinib"
"gefitinib_CHEMBL5443"	"gefitinib"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"gefitinib"
"GW-843682X_CHEMBL5443"	"GW-843682X"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"GW-843682X"
"imatinib_CHEMBL5443"	"imatinib"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"imatinib"
"KD-025_CHEMBL5443"	"KD-025"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"KD-025"
"lapatinib_CHEMBL5443"	"lapatinib"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"lapatinib"
"linifanib_CHEMBL5443"	"linifanib"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"linifanib"
"linsitinib_CHEMBL5443"	"linsitinib"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"linsitinib"
"NVP-TAE684_CHEMBL5443"	"NVP-TAE684"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1000	"O00311"	"CDC7"	"NVP-TAE684"
"PF-562271_CHEMBL5443"	"PF-562271"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"PF-562271"
"SB-203580_CHEMBL5443"	"SB-203580"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"SB-203580"
"SB-239063_CHEMBL5443"	"SB-239063"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"SB-239063"
"SB-242235_CHEMBL5443"	"SB-242235"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"SB-242235"
"sorafenib_CHEMBL5443"	"sorafenib"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"sorafenib"
"sotrastaurin_CHEMBL5443"	"sotrastaurin"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"sotrastaurin"
"SYK-inhibitor_CHEMBL5443"	"SYK-inhibitor"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	19.95	"O00311"	"CDC7"	"SYK-inhibitor"
"TAK-715_CHEMBL5443"	"TAK-715"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"TAK-715"
"tozasertib_CHEMBL5443"	"tozasertib"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"tozasertib"
"Y-27632_CHEMBL5443"	"Y-27632"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"Ki"	1258.93	"O00311"	"CDC7"	"Y-27632"
"GDC-0941_CHEMBL3130"	"GDC-0941"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"Ki"	31	"O00329"	"PIK3CD"	"GDC-0941"
"taselisib_CHEMBL3130"	"taselisib"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"Ki"	0.12	"O00329"	"PIK3CD"	"taselisib"
"adenosine_CHEMBL5551"	"adenosine"	"CHEMBL5551"	"Sodium/nucleoside cotransporter 1"	"Ki"	1800	"O00337"	"SLC28A1"	"adenosine"
"rolipram_CHEMBL2652"	"rolipram"	"CHEMBL2652"	"Phosphodiesterase 2A"	"Ki"	2e+05	"O00408"	"PDE2A"	"rolipram"
"cediranib_CHEMBL5026"	"cediranib"	"CHEMBL5026"	"Serine/threonine-protein kinase EEF2K"	"Ki"	3981.07	"O00418"	"EEF2K"	"cediranib"
"CHIR-99021_CHEMBL5026"	"CHIR-99021"	"CHEMBL5026"	"Serine/threonine-protein kinase EEF2K"	"Ki"	3981.07	"O00418"	"EEF2K"	"CHIR-99021"
"dovitinib_CHEMBL5026"	"dovitinib"	"CHEMBL5026"	"Serine/threonine-protein kinase EEF2K"	"Ki"	3981.07	"O00418"	"EEF2K"	"dovitinib"
"erlotinib_CHEMBL5026"	"erlotinib"	"CHEMBL5026"	"Serine/threonine-protein kinase EEF2K"	"Ki"	3981.07	"O00418"	"EEF2K"	"erlotinib"
"gefitinib_CHEMBL5026"	"gefitinib"	"CHEMBL5026"	"Serine/threonine-protein kinase EEF2K"	"Ki"	3981.07	"O00418"	"EEF2K"	"gefitinib"
"GW-843682X_CHEMBL5026"	"GW-843682X"	"CHEMBL5026"	"Serine/threonine-protein kinase EEF2K"	"Ki"	3981.07	"O00418"	"EEF2K"	"GW-843682X"
"imatinib_CHEMBL5026"	"imatinib"	"CHEMBL5026"	"Serine/threonine-protein kinase EEF2K"	"Ki"	3981.07	"O00418"	"EEF2K"	"imatinib"
"KD-025_CHEMBL5026"	"KD-025"	"CHEMBL5026"	"Serine/threonine-protein kinase EEF2K"	"Ki"	3981.07	"O00418"	"EEF2K"	"KD-025"
"lapatinib_CHEMBL5026"	"lapatinib"	"CHEMBL5026"	"Serine/threonine-protein kinase EEF2K"	"Ki"	3981.07	"O00418"	"EEF2K"	"lapatinib"
"linifanib_CHEMBL5026"	"linifanib"	"CHEMBL5026"	"Serine/threonine-protein kinase EEF2K"	"Ki"	3981.07	"O00418"	"EEF2K"	"linifanib"
"PF-562271_CHEMBL5026"	"PF-562271"	"CHEMBL5026"	"Serine/threonine-protein kinase EEF2K"	"Ki"	3981.07	"O00418"	"EEF2K"	"PF-562271"
"SB-203580_CHEMBL5026"	"SB-203580"	"CHEMBL5026"	"Serine/threonine-protein kinase EEF2K"	"Ki"	3981.07	"O00418"	"EEF2K"	"SB-203580"
"SB-239063_CHEMBL5026"	"SB-239063"	"CHEMBL5026"	"Serine/threonine-protein kinase EEF2K"	"Ki"	3981.07	"O00418"	"EEF2K"	"SB-239063"
"SB-242235_CHEMBL5026"	"SB-242235"	"CHEMBL5026"	"Serine/threonine-protein kinase EEF2K"	"Ki"	3981.07	"O00418"	"EEF2K"	"SB-242235"
"sorafenib_CHEMBL5026"	"sorafenib"	"CHEMBL5026"	"Serine/threonine-protein kinase EEF2K"	"Ki"	3981.07	"O00418"	"EEF2K"	"sorafenib"
"TAK-715_CHEMBL5026"	"TAK-715"	"CHEMBL5026"	"Serine/threonine-protein kinase EEF2K"	"Ki"	3981.07	"O00418"	"EEF2K"	"TAK-715"
"tozasertib_CHEMBL5026"	"tozasertib"	"CHEMBL5026"	"Serine/threonine-protein kinase EEF2K"	"Ki"	3981.07	"O00418"	"EEF2K"	"tozasertib"
"Y-27632_CHEMBL5026"	"Y-27632"	"CHEMBL5026"	"Serine/threonine-protein kinase EEF2K"	"Ki"	3981.07	"O00418"	"EEF2K"	"Y-27632"
"alisertib_CHEMBL3788"	"alisertib"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	39.81	"O00444"	"PLK4"	"alisertib"
"cediranib_CHEMBL3788"	"cediranib"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	1995.26	"O00444"	"PLK4"	"cediranib"
"CHIR-99021_CHEMBL3788"	"CHIR-99021"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	3981.07	"O00444"	"PLK4"	"CHIR-99021"
"dovitinib_CHEMBL3788"	"dovitinib"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	1258.93	"O00444"	"PLK4"	"dovitinib"
"erlotinib_CHEMBL3788"	"erlotinib"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	2511.89	"O00444"	"PLK4"	"erlotinib"
"fasudil_CHEMBL3788"	"fasudil"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	3981.07	"O00444"	"PLK4"	"fasudil"
"fostamatinib_CHEMBL3788"	"fostamatinib"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	10	"O00444"	"PLK4"	"fostamatinib"
"gefitinib_CHEMBL3788"	"gefitinib"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	3981.07	"O00444"	"PLK4"	"gefitinib"
"GW-843682X_CHEMBL3788"	"GW-843682X"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	199.53	"O00444"	"PLK4"	"GW-843682X"
"imatinib_CHEMBL3788"	"imatinib"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	3162.28	"O00444"	"PLK4"	"imatinib"
"KD-025_CHEMBL3788"	"KD-025"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	3981.07	"O00444"	"PLK4"	"KD-025"
"lapatinib_CHEMBL3788"	"lapatinib"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	3981.07	"O00444"	"PLK4"	"lapatinib"
"linifanib_CHEMBL3788"	"linifanib"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	630.96	"O00444"	"PLK4"	"linifanib"
"linsitinib_CHEMBL3788"	"linsitinib"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	3981.07	"O00444"	"PLK4"	"linsitinib"
"NVP-TAE684_CHEMBL3788"	"NVP-TAE684"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	3.162	"O00444"	"PLK4"	"NVP-TAE684"
"PF-562271_CHEMBL3788"	"PF-562271"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	630.96	"O00444"	"PLK4"	"PF-562271"
"SB-203580_CHEMBL3788"	"SB-203580"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	3981.07	"O00444"	"PLK4"	"SB-203580"
"SB-239063_CHEMBL3788"	"SB-239063"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	3981.07	"O00444"	"PLK4"	"SB-239063"
"SB-242235_CHEMBL3788"	"SB-242235"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	3981.07	"O00444"	"PLK4"	"SB-242235"
"sorafenib_CHEMBL3788"	"sorafenib"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	398.11	"O00444"	"PLK4"	"sorafenib"
"sotrastaurin_CHEMBL3788"	"sotrastaurin"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	3981.07	"O00444"	"PLK4"	"sotrastaurin"
"SYK-inhibitor_CHEMBL3788"	"SYK-inhibitor"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	1584.89	"O00444"	"PLK4"	"SYK-inhibitor"
"TAK-715_CHEMBL3788"	"TAK-715"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	3981.07	"O00444"	"PLK4"	"TAK-715"
"tandutinib_CHEMBL3788"	"tandutinib"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	3981.07	"O00444"	"PLK4"	"tandutinib"
"tozasertib_CHEMBL3788"	"tozasertib"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	11	"O00444"	"PLK4"	"tozasertib"
"VX-745_CHEMBL3788"	"VX-745"	"CHEMBL3788"	"Serine/threonine-protein kinase PLK4"	"Ki"	3981.07	"O00444"	"PLK4"	"VX-745"
