"Pair"	"pert_iname"	"target_chembl_id"	"chembl_target_name"	"standard_type"	"Median"	"uniprot_ID"	"target_gene_symbol"	"Drugs"
"3-amino-benzamide_CHEMBL1293226"	"3-amino-benzamide"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Potency"	29903.3	"B2RXH2"	"KDM4E"	"3-amino-benzamide"
"ABT-724_CHEMBL1293226"	"ABT-724"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Potency"	31622.8	"B2RXH2"	"KDM4E"	"ABT-724"
"acebutolol_CHEMBL1293226"	"acebutolol"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Potency"	14125.4	"B2RXH2"	"KDM4E"	"acebutolol"
"acetylcysteine_CHEMBL1293226"	"acetylcysteine"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Potency"	28183.8	"B2RXH2"	"KDM4E"	"acetylcysteine"
"acivicin_CHEMBL1293226"	"acivicin"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Potency"	39810.7	"B2RXH2"	"KDM4E"	"acivicin"
"amiloride_CHEMBL1293226"	"amiloride"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Potency"	28183.8	"B2RXH2"	"KDM4E"	"amiloride"
"aminosalicylic-acid_CHEMBL1293226"	"aminosalicylic-acid"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Potency"	25118.9	"B2RXH2"	"KDM4E"	"aminosalicylic-acid"
"amitriptyline_CHEMBL1293226"	"amitriptyline"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Potency"	7943.3	"B2RXH2"	"KDM4E"	"amitriptyline"
"amlexanox_CHEMBL1293226"	"amlexanox"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Potency"	31622.8	"B2RXH2"	"KDM4E"	"amlexanox"
"amoxapine_CHEMBL1293226"	"amoxapine"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Potency"	14125.4	"B2RXH2"	"KDM4E"	"amoxapine"
"amrinone_CHEMBL1293226"	"amrinone"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Potency"	15848.9	"B2RXH2"	"KDM4E"	"amrinone"
"amsacrine_CHEMBL1293226"	"amsacrine"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Potency"	28183.8	"B2RXH2"	"KDM4E"	"amsacrine"
"aniracetam_CHEMBL1293226"	"aniracetam"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Potency"	39810.7	"B2RXH2"	"KDM4E"	"aniracetam"
"aspirin_CHEMBL1293226"	"aspirin"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Potency"	33997.25	"B2RXH2"	"KDM4E"	"aspirin"
"bemegride_CHEMBL1293226"	"bemegride"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Potency"	22387.2	"B2RXH2"	"KDM4E"	"bemegride"
"bendroflumethiazide_CHEMBL1293226"	"bendroflumethiazide"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Potency"	31622.8	"B2RXH2"	"KDM4E"	"bendroflumethiazide"
"benzamil_CHEMBL1293226"	"benzamil"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Potency"	25118.9	"B2RXH2"	"KDM4E"	"benzamil"
"benzydamine_CHEMBL1293226"	"benzydamine"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"Potency"	15848.9	"B2RXH2"	"KDM4E"	"benzydamine"
