"FL_IDs"	"Drug"	"Type"	"Collapsed_Cells"
"1"	"A-443654$FL1"	"A-443654"	"Signature_Correlation"	"A375|A549|HA1E|HCC515|HME1|HS578T|MCF10A|MDAMB231|PC3"
"2"	"A-443654$FL2"	"A-443654"	"Signature_Correlation"	"BT20|HT29|LNCAP|MCF7|SKBR3"
"11"	"afatinib$FL1"	"afatinib"	"Signature_Correlation"	"A375|HA1E|HELA|HT29|LNCAP|MCF7|MDAMB231|PC3"
"3"	"afatinib$FL2"	"afatinib"	"Signature_Correlation"	"BT20|HME1|MCF10A|SKBR3|YAPC"
"12"	"alpelisib$FL1"	"alpelisib"	"Signature_Correlation"	"A375|HEPG2|MCF10A"
"21"	"alpelisib$FL2"	"alpelisib"	"Signature_Correlation"	"A549|HA1E|HCC515|PC3"
"31"	"alpelisib$FL3"	"alpelisib"	"Signature_Correlation"	"BT20|HS578T|MDAMB231"
"4"	"alpelisib$FL4"	"alpelisib"	"Signature_Correlation"	"HT29|MCF7|SKBR3"
"32"	"alvocidib$FL1"	"alvocidib"	"Signature_Correlation"	"BT20|HA1E|HME1|HS578T|LNCAP|MCF10A|MCF7|MDAMB231|SKBR3"
"13"	"AS-601245$FL1"	"AS-601245"	"Signature_Correlation"	"A375|A549|HA1E|HEPG2|MCF7|PC3"
"22"	"AS-601245$FL2"	"AS-601245"	"Signature_Correlation"	"BT20|HS578T|MDAMB231"
"14"	"AS-605240$FL1"	"AS-605240"	"Signature_Correlation"	"A375|A549|HCC515|HEPG2|HME1|HT29|MCF10A"
"23"	"AS-605240$FL2"	"AS-605240"	"Signature_Correlation"	"BT20|HA1E|HS578T|LNCAP|MCF7|MDAMB231|SKBR3"
"33"	"AS-605240$FL3"	"AS-605240"	"Signature_Correlation"	"HELA|PC3|YAPC"
"15"	"AT-7519$FL1"	"AT-7519"	"Signature_Correlation"	"A375|A549|HEPG2|LNCAP"
"24"	"AT-7519$FL2"	"AT-7519"	"Signature_Correlation"	"BT20|HCC515|HME1|HS578T|MCF10A|MDAMB231|SKBR3"
"34"	"AT-7519$FL3"	"AT-7519"	"Signature_Correlation"	"HA1E|HT29|MCF7|PC3|YAPC"
"16"	"AZD-5438$FL1"	"AZD-5438"	"Signature_Correlation"	"A375|A549|BT20|HA1E|MCF7|PC3|YAPC"
"25"	"AZD-5438$FL2"	"AZD-5438"	"Signature_Correlation"	"HCC515|HELA|HEPG2|HT29|SKBR3"
"35"	"AZD-5438$FL3"	"AZD-5438"	"Signature_Correlation"	"HME1|HS578T|LNCAP|MCF10A|MDAMB231"
"17"	"AZD-6482$FL1"	"AZD-6482"	"Signature_Correlation"	"A375|BT20|HA1E|MCF10A|MCF7|MDAMB231|SKBR3"
"26"	"AZD-6482$FL2"	"AZD-6482"	"Signature_Correlation"	"A549|HEPG2|HT29"
"36"	"AZD-6482$FL3"	"AZD-6482"	"Signature_Correlation"	"HCC515|HS578T|PC3"
"18"	"AZD-7762$FL1"	"AZD-7762"	"Signature_Correlation"	"A375|A549|HEPG2|LNCAP|MCF10A|MCF7|MDAMB231"
"27"	"AZD-7762$FL2"	"AZD-7762"	"Signature_Correlation"	"ASC|CD34|HUVEC|NEU|SKL|SKL.C"
"37"	"AZD-7762$FL3"	"AZD-7762"	"Signature_Correlation"	"ASC.C|NPC|NPC.CAS9|NPC.TAK"
"41"	"AZD-7762$FL4"	"AZD-7762"	"Signature_Correlation"	"BT20|HA1E|HELA|HS578T|SKBR3|YAPC"
"5"	"AZD-7762$FL5"	"AZD-7762"	"Signature_Correlation"	"HCC515|HME1|HT29|PC3"
"19"	"AZD-8055$FL1"	"AZD-8055"	"Signature_Correlation"	"A375|A549|HCC515|HEPG2|HT29|PC3"
