"pert_iname"	"pert_type"
"10-DEBC"	"trt_cp"
"phorbol-myristate-acetate"	"trt_cp"
"16,16-dimethylprostaglandin-e2"	"trt_cp"
"17-hydroxyprogesterone-caproate"	"trt_cp"
"2-iminobiotin"	"trt_cp"
"2-methoxyestradiol"	"trt_cp"
"2',5'-dideoxyadenosine"	"trt_cp"
"3-amino-benzamide"	"trt_cp"
"3-deazaadenosine"	"trt_cp"
"3,3'-diindolylmethane"	"trt_cp"
"4,5,6,7-tetrabromobenzotriazole"	"trt_cp"
"5-aminolevulinic-acid"	"trt_cp"
"fluorouracil"	"trt_cp"
"A-443654"	"trt_cp"
"A-66"	"trt_cp"
"A-769662"	"trt_cp"
"abacavir"	"trt_cp"
"abiraterone-acetate"	"trt_cp"
"ABT-202"	"trt_cp"
"ABT-239"	"trt_cp"
"ABT-724"	"trt_cp"
"ABT-737"	"trt_cp"
"acarbose"	"trt_cp"
"acebutolol"	"trt_cp"
"acecainide"	"trt_cp"
"acenocoumarol"	"trt_cp"
"acetazolamide"	"trt_cp"
"acetylcysteine"	"trt_cp"
"acexamic-acid"	"trt_cp"
"acifran"	"trt_cp"
"acipimox"	"trt_cp"
"acivicin"	"trt_cp"
"aclidinium"	"trt_cp"
"acrivastine"	"trt_cp"
"actarit"	"trt_cp"
"ACY-1215"	"trt_cp"
"acyclovir"	"trt_cp"
"adapalene"	"trt_cp"
"adarotene"	"trt_cp"
"adatanserin"	"trt_cp"
"adenosine"	"trt_cp"
"adoprazine"	"trt_cp"
"AEE-788"	"trt_cp"
"afatinib"	"trt_cp"
"afatinib"	"trt_cp"
"afloqualone"	"trt_cp"
"AGI-5198"	"trt_cp"
"AGI-6780"	"trt_cp"
"AGK-2"	"trt_cp"
"agomelatine"	"trt_cp"
"AGP-103"	"trt_cp"
"AICA-ribonucleotide"	"trt_cp"
"AKT-inhibitor-1-2"	"trt_cp"
"alagebrium"	"trt_cp"
"alaproclate"	"trt_cp"
"albendazole"	"trt_cp"
"alectinib"	"trt_cp"
"alisertib"	"trt_cp"
"aliskiren"	"trt_cp"
"alizapride"	"trt_cp"
"allopurinol"	"trt_cp"
"almitrine"	"trt_cp"
"almorexant"	"trt_cp"
"alpelisib"	"trt_cp"
"alprostadil"	"trt_cp"
"altanserin"	"trt_cp"
"altrenogest"	"trt_cp"
"altretamine"	"trt_cp"
"alvespimycin"	"trt_cp"
"alvimopan"	"trt_cp"
"alvocidib"	"trt_cp"
"ALW-II-38-3"	"trt_cp"
"ALW-II-49-7"	"trt_cp"
"ALX-5407"	"trt_cp"
"AM-24"	"trt_cp"
"amantadine"	"trt_cp"
"ambrisentan"	"trt_cp"
"ambroxol"	"trt_cp"
"amcinonide"	"trt_cp"
"AMD-11070"	"trt_cp"
"amfepramone"	"trt_cp"
"AMG-208"	"trt_cp"
"AMG-232"	"trt_cp"
"AMG-487"	"trt_cp"
"AMG-517"	"trt_cp"
"AMG-837"	"trt_cp"
"amikacin"	"trt_cp"
"amiloride"	"trt_cp"
"amineptine"	"trt_cp"
"aminocaproic-acid"	"trt_cp"
"aminoglutethimide"	"trt_cp"
"aminoguanidine"	"trt_cp"
"aminosalicylic-acid"	"trt_cp"
"amiodarone"	"trt_cp"
"amiprilose"	"trt_cp"
"amitifadine"	"trt_cp"
"amitriptyline"	"trt_cp"
"amlexanox"	"trt_cp"
"amlodipine"	"trt_cp"
"ammonium-glycyrrhizinate"	"trt_cp"
"amodiaquine"	"trt_cp"
"amonafide"	"trt_cp"
"amoxapine"	"trt_cp"
"ampalex"	"trt_cp"
"amrinone"	"trt_cp"
"amsacrine"	"trt_cp"
"amtolmetin-guacil"	"trt_cp"
"amuvatinib"	"trt_cp"
"anacardic-acid"	"trt_cp"
"anacetrapib"	"trt_cp"
"anagrelide"	"trt_cp"
"anamorelin"	"trt_cp"
"anandamide"	"trt_cp"
"anastrozole"	"trt_cp"
"andarine"	"trt_cp"
"andrographolide"	"trt_cp"
"anecortave-acetate"	"trt_cp"
"anidulafungin"	"trt_cp"
"aniracetam"	"trt_cp"
"anisodamine"	"trt_cp"
"AP-26113"	"trt_cp"
"apabetalone"	"trt_cp"
"apafant"	"trt_cp"
"APD-668"	"trt_cp"
"aphidicolin"	"trt_cp"
"API-001"	"trt_cp"
"apixaban"	"trt_cp"
"apocynin"	"trt_cp"
"apremilast"	"trt_cp"
"aprepitant"	"trt_cp"
"AR-A014418"	"trt_cp"
"arbutin"	"trt_cp"
"argatroban"	"trt_cp"
"arglabin"	"trt_cp"
"aripiprazole"	"trt_cp"
"armodafinil"	"trt_cp"
"ARN-509"	"trt_cp"
"arofylline"	"trt_cp"
"ARP-101"	"trt_cp"
"ARRY-334543"	"trt_cp"
"artesunate"	"trt_cp"
"AS-601245"	"trt_cp"
"AS-605240"	"trt_cp"
"AS-703026"	"trt_cp"
"ASA-404"	"trt_cp"
"ASC-J9"	"trt_cp"
"asenapine"	"trt_cp"
"aspirin"	"trt_cp"
"AST-1306"	"trt_cp"
"asymmetrical-dimethylarginine"	"trt_cp"
"AT-13387"	"trt_cp"
"AT-7519"	"trt_cp"
