Genes log2FoldChange
DPM1 1.23869472390715
C1orf112 1.49886683711831
LAS1L 1.0394596979254
ANKIB1 1.25554811649174
CYP51A1 1.01489522656797
KRIT1 1.11714509225243
HECW1 1.44573735316101
MAD1L1 1.11853242847559
TMEM176A 1.63799543093256
CYP26B1 2.25035560052969
PLXND1 1.1391585675799
CD38 2.1200391044673
KDM1A 1.16095975852281
CAMKK1 1.02004120485827
RECQL 1.02674936888993
VPS50 1.06846955223143
HSPB6 -3.62302961308399
ARHGAP33 1.33961716445402
PDK4 -2.38410057878642
SLC25A13 1.13693890160056
CDC27 1.0181630770714
CALCR 3.43943894452563
DVL2 1.11850828666749
PRSS22 1.68387148403178
MCUB 1.29959729313702
POLR2J 1.42669742234113
DHX33 1.12526291123168
RPAP3 1.22651466286261
PRKAR2B -1.76852976458274
PON1 3.01138831666822
WDR54 1.96789139624326
RHBDD2 1.3146547006475
ITGA3 1.45439282059202
ITGA2B 1.57852663535865
ASB4 5.87994885798595
C19orf60 1.11621259586989
YBX2 2.60968692473031
ABCC8 -1.88058060765075
TMEM132A 1.5232189590889
TNFRSF12A 1.37061807225488
DLX6 4.61495363665871
ETV1 1.3270077578582
PHTF2 1.18526722375959
CCL26 3.23653050788959
GGCT 1.51270114770363
DBF4 2.22909996962695
MYH13 -1.36210189336053
CEACAM21 1.37580549858656
MATK 2.07842097943495
TKTL1 5.59287975330631
CACNA2D2 -1.17890845862588
FMO3 1.34063185722922
NOX1 4.56710385942982
E2F2 1.49156720494745
PSMB1 1.07079579396479
CAMK1G 1.76493264764293
MMP25 1.25564657799033
IL32 1.57636542267477
MAPK8IP2 2.1789234624174
c(\MED24\, \MIR6884\) 1.10427048381385
PAX7 4.64300503035949
TRAF3IP3 1.22239294816053
POMT2 1.02360772037584
MLXIPL 2.42266143982755
BAZ1B 1.06566531256815
ETV7 1.32839269686262
CD9 1.14291523352185
NCAPD2 1.67671878205013
CD4 1.3857842239802
FMO1 2.53090762510673
NME1-NME2 1.49081931101165
SLC6A7 2.25170800296274
MKS1 1.0282457627155
ANOS1 1.75553586933608
UTP18 1.43220322114038
c(\PTBP1\, \MIR4745\) 1.14179335969822
DPF1 2.47843332753229
SYT7 2.63670061808545
PLAUR 2.01432031035072
ANLN 2.71574857770956
ZBTB32 1.81265473695974
TYROBP 1.97152940834864
GABRA3 4.80252438471431
BRCA1 2.09955705359528
PRICKLE3 1.27944001768304
ELOVL5 1.26621368960385
ALOX5 1.53787467419113
PSMC4 1.29531649994827
SLC7A14 -3.82482432692935
SLC25A39 1.13454987178737
DDX11 1.5683916251864
CD6 1.35109049959647
TACC3 1.9458600275615
POLA2 1.59924722347466
ZC3H3 1.30966224969003
WAS 1.33273736330816
BID 1.57042910187903
ATP2C1 1.22785323481709
IGF1 -1.57051149153655
SLC11A1 1.17520018380924
CXorf56 1.05683933096673
ATP1A2 -3.44370486014537
ZNF582 -1.01206696722811
VSIG2 -2.85686606742096
SNAI2 2.34071339114559
ZFP64 1.12699919860627
MNAT1 1.22175374650618
RUNX3 2.6190476189811
