Genes log2FoldChange
TSPAN6 3.24595919634234
C1orf112 1.33405085421786
FGR 1.41617855091916
CFH 1.94715193961335
FUCA2 1.4342100230108
STPG1 -1.77512421994599
NIPAL3 -2.39805755175752
ENPP4 -1.53380952869237
SEMA3F 1.85993464533249
LAP3 1.67981148605935
CD99 3.3823907078294
HECW1 -3.78669157810187
TMEM176A 2.32299123200109
KLHL13 1.57208798374432
CYP26B1 -3.33148455032778
ICA1 -1.27810210249451
CASP10 1.08469860679257
TFPI 4.41147613264381
MTMR7 -3.17992805638873
AK2 2.03235771957218
CAMKK1 -3.80534364432867
RECQL 1.30169145690916
HSPB6 1.96892958206726
ZMYND10 3.05128768812957
ARX -1.5277692839156
c(\ST7\, \ST7-OT3\, \MIR6132\) 1.12947986090288
SLC25A5 1.04586747885867
MCUB 2.34902206509092
HOXA11 9.60596349937796
POLR2J 2.10486562203174
COPZ2 2.25605907349667
PRKAR2B -1.68040768416421
TSPOAP1 -3.03603618167645
CROT 2.04536099506288
ABCB4 1.99598801573274
MYCBP2 -2.4966168837694
ITGAL 1.63002294642089
MAP3K14 1.28646975508165
ABCC8 -1.79816924273751
CACNG3 -5.21902029143739
CX3CL1 -1.36501450139657
CACNA1G -1.77846811757629
TNFRSF12A 3.73556246682261
MAP3K9 -3.64379064768085
ETV1 2.59961384125245
ALDH3B1 1.7605733112015
DBF4 2.54093451806063
TBXA2R 2.09209555688912
IFRD1 1.24335523628547
ARHGAP44 -4.24827845310824
SCIN 2.43830483176122
ARSD 1.92927231393502
UPP2 -2.41095674528204
PROM1 2.29981784422541
CEACAM21 1.57959589176005
PAFAH1B1 -1.3698699664391
GAS7 -2.32788625699325
MATK -3.90368586564798
TKTL1 3.49962671636863
RHBDF1 1.46457946681778
CACNA2D2 -2.00749814712727
BAIAP3 -1.7969840522022
TEAD3 2.31596455723967
SELE -3.69901909191783
NOX1 1.09841935389182
E2F2 6.07898873805365
PSMB1 1.16627946079043
SYN1 -4.25993049159082
CDKL5 -3.76171797695847
CAMK1G -4.04253227426198
TFAP2B 6.91033056245158
ADAM22 -1.35173423323864
SYPL1 1.19952336924869
CRY1 1.14379450795167
MMP25 2.51838587131702
IL32 2.87967175026209
MAPK8IP2 -3.02981938530103
RHOBTB2 -1.70692915731889
RPS20 1.63614802824618
TRAF3IP3 1.02316812179379
MLXIPL -1.35442753466351
ETV7 2.05040717603497
DYRK4 1.00660241023976
c(\ZNF207\, \MIR632\) 1.00590107167685
STARD3NL 1.33406634375216
CD9 1.15120559826939
HHATL -2.8154890808007
NCAPD2 1.24665593021343
GIPR -2.34473683003901
SEMA3G -1.68639093464364
NISCH -1.51147317034712
STAB1 2.49378444300655
SLC6A13 -2.84859641228337
IDS -2.42117006713875
PRSS3 -3.17600236483048
CD4 1.92343272334393
BTK 2.02198276925726
HFE 2.28553784012224
HIVEP2 -2.02665035929416
CLCN6 -1.156158650469
MRC2 2.99059628345409
NME1-NME2 1.60843954346853
SLC6A7 -5.2286720460845
APBA3 1.19941722647986
MKS1 1.39730409843421
ABHD5 1.58382517420029
c(\PTBP1\, \MIR4745\) 2.25604503640507
DPF1 -1.06592777241259
SYT7 -3.93292525458946
PLAUR 1.74738666701314
ANLN -1.84025451887452
TYROBP 2.7874667572304
GABRA3 -2.62787753246579
BRCA1 1.6530616067882
c(\CD22\, \MIR5196\) -3.90291982538759
c(\SEMA3B\, \MIR6872\) -1.98272211993382
PRICKLE3 1.82135814140687
LTF 8.62045174349766
ALOX5 1.84861578744267
EHD3 -2.77537082025481
SLC7A14 -4.0492029240376
c(\CLDN11\, \LOC101928583\) -2.28469466093607
SLC25A39 1.16116770253271
DDX11 1.59583852444843
TACC3 4.20479494100777
POLA2 1.34170508108689
MDH1 -1.45346650773218
MTMR11 1.98022178108218
ZMYND11 -1.03499524328973
WAS 1.69848390780894
DPEP1 7.2608879896546
NPC1L1 2.52339374552791
c(\RGPD5\, \RGPD6\) -1.40390695154946
STMN4 -2.55152669007981
CLCA4 -3.00582949459093
GLT8D1 1.11680904137599
SLC38A5 1.63761126942781
RUFY3 -1.22011052941647
CNTN1 -1.58145435126577
SLC11A1 3.12901512373522
WWTR1 2.83868887168109
TTC27 1.29795068722495
c(\PHLDB1\, \MIR6716\) -1.00882254322574
PRDM11 -1.13769644210046
SYT13 -4.4064829366018
SNAI2 2.63975476294472
CD74 2.67464683704475
ZRANB1 -1.28592207882016
NCDN -3.47644458549416
RUNX3 2.7278007781138
PLEKHB1 -1.28643122438019
SERPINB1 1.3526932815094
NRXN3 -4.19468176996733
FHL1 1.17596532881625
GABRA1 -4.8247679169485
NLRP2 -1.7621703394176
SLC45A4 -1.68821041115524
GRAMD1B -2.55244179800149
RB1CC1 -1.0842060512672
ERP44 1.06950766184723
AKAP11 -1.94891973175963
SNAPC1 1.39798101759498
DERA 1.99563981997103
DEF6 1.26482802548121
EHD2 1.83866863117423
DEPDC1 4.18648595787826
NR1H3 1.1726125571203
TYMP 2.36001194634996
VIM 3.74098470948318
FAS 2.22549412749566
RNASET2 1.22574388800405
CD44 3.36588202888143
AGPAT4 -1.51968034220426
SLAMF7 3.48099525700496
BTN3A1 2.10333309556992
MIPEP 1.00470474429534
IFNGR1 1.23756658440962
c(\TNFRSF1B\, \MIR7846\) 1.5685814010044
ANK1 -1.99966777579707
IBSP 6.01100487810396
HMGB3 1.1629805365448
NUP160 1.93600976007229
BAK1 1.39551245548135
GRN 1.88476416710377
FAM13B -1.03656369813268
ARHGAP31 1.30537224238673
CENPQ 1.6703411636347
ZCCHC8 1.0697462389157
LRRC7 -4.26609934689837
c(\ATP6V0A1\, \MIR5010\) -1.99427877701778
SLC4A7 1.15045751345882
APBA2 -1.13071027764729
TMSB10 1.10000973660292
RNF19A 1.2574967707134
FAM136A 1.09311361621695
VCL 1.24275218046867
DEPDC1B 3.657945863081
DAPK2 -1.16331420060004
NSMAF 1.19672340491969
MYOM2 -2.17860827149755
CYP46A1 -3.0347855523593
RPL26L1 1.88333869261133
FLT4 2.22585909583857
METTL1 3.3169923020001
HOXC8 7.69178902967622
PI4K2B 1.6150075276003
TLL1 -2.26688488566282
VCAN 2.09896213748402
MSR1 4.09079218130303
RAI14 1.73150313005177
PHLPP2 -1.67153571571098
SPDL1 1.31730117990642
STAU2 -1.08966103939786
CTNS 1.01071537154944
RTN4R -3.30951359697666
INPP4A -1.31890331847654
RAB27B -2.84146953956719
TNC 4.06546991023775
FAM65C 2.56633719452868
CAPG 2.68449474159506
BARX2 -1.73171942650861
JADE2 -1.36624764908936
LCP2 1.64125557213449
ADRB1 -2.31591668868033
CNTLN 1.89015044726813
HSPA5 1.04549336048715
MAGEC2 7.63039067292356
WDR37 -1.69506969603392
CTPS2 1.6733334469692
ATP6V1H -1.66096593577655
CP 2.53808789407092
XK -2.87241440992062
CC2D2A 1.52719746205964
LMO3 -1.64666133295113
VPS13D -1.2597157269408
CELF2 -1.38370248270685
R3HDM1 -1.57046248470667
COL9A2 -1.22063910841292
ERCC8 1.14443116996388
ADAMTS6 3.05372046713746
PER3 -1.34409723489499
UTS2 -1.17030001242559
TNFRSF9 3.45889992982685
EPN3 -2.85470244078899
LTBP1 1.8704912602385
c(\RCN1\, \DKFZp686K1684\) 2.08355123896135
ELN 3.19960407641348
RFC2 1.96451568176437
NEDD4L -1.69952545588998
PPP1R3F -2.24491091700589
KIAA2022 -2.2594931670228
DKK3 -1.41587851429522
NFE2L3 1.8993660488681
LIMA1 2.99341107345428
SLC4A8 -1.16083585506684
LAMC3 1.67557074364627
PTGER3 -4.53541514878271
MAPK9 -1.99079300679199
HOMER3 1.08004128966579
RAD51 4.16693218222277
POLQ 3.81883279158536
PIK3CB -1.15429133522429
CYBA 2.40108345692695
HEBP2 1.80265532543129
FNIP2 -1.02827846093169
FSTL4 -4.48580340130189
MCF2L2 -1.50294868366311
NRIP2 -2.30557255053927
KCNQ1 1.68398908762245
PHPT1 1.28863093069605
PTPRN -3.39432660314214
KIF1B -1.47472452964753
SYNE2 1.31849512603416
PLEKHH1 -2.85612935554007
ATP9A -2.1900027162369
CBLN4 -3.0361630244693
SZRD1 1.64116892020961
FAM114A2 1.33747485350967
CYFIP2 -2.43906616567221
CCDC85A -3.50965534924916
TRAF3IP2 1.4871338495077
DCBLD2 1.70552477731543
SOAT1 1.94598484921386
F7 -2.04686942320344
PRDM1 1.55951971402764
PITHD1 -1.21460278197431
MTA3 -1.27452141129323
SEC61A1 1.87500585101739
RASGRF1 -4.53926412169457
CAMK2B -3.21743799121526
NDC1 1.163975438457
TBXAS1 1.56917921634856
PARP12 2.04159054734493
CDK17 -1.29278001849919
SLC2A3 -1.18993096551841
PSD -3.69584433469809
YBX3 2.35988478070687
STYK1 -4.94016670203518
SNRNP40 1.59344410498239
RIMBP2 -4.41236532494413
QSER1 1.03640634544459
SPAG4 2.21497029066938
GUCY1B3 -2.36914234091328
MRPS24 1.09768597527414
c(\VMP1\, \MIR21\) 1.31251141030629
POLD1 1.71234230266752
RPL18 1.61930765501812
CA11 -3.38390487740145
GPC1 1.48542686763631
CASP8 1.81768367244321
LIMCH1 -1.12635064295248
ASUN 1.04787864181146
TM7SF3 1.14648692535455
SPA17 1.37980326890928
ATP2C2 -1.94046328031721
RFXANK 1.57453020105133
CTSA 1.05209699194429
SLC12A2 -1.64059083554051
EYA2 1.82504257928919
CNN2 2.35417554868088
SNCAIP 2.64902659484475
CHI3L2 4.85817348638085
SBNO2 1.28945859950579
HMG20B 1.96504998000017
CALCRL 2.44658449112814
c(\GNAI3\, \MIR197\) 2.03372223517577
OAT -1.34666826851868
WDR3 1.02677135623694
PKN2 1.03251764951433
TRAM2 1.83787037431193
NTN1 2.88151210665985
GLP2R -5.42835674901764
MCM10 5.1787619069262
c(\PDIA5\, \MIR7110\) 2.13452008753601
MAP2K4 -1.77646223542158
SNAP91 -4.26933881909263
SLK -1.30096686732687
c(\COL17A1\, \MIR936\) -1.54861041049168
GSTO2 -2.67227146762828
SEC61A2 -1.54930863257198
PRKCQ -2.35474941354091
