Genes log2FoldChange
TSPAN6 -1.08803391366931
C1orf112 1.10018023975385
FUCA2 1.04250481818386
ENPP4 -2.03714974891338
CFTR -4.77162721063442
HS3ST1 -1.67877993001917
HECW1 1.19220501004251
CYP26B1 1.2516323759227
ICA1 -1.17058520883432
PLXND1 1.06657998674135
CD38 1.34480680637316
HSPB6 -3.84957504983698
ARHGAP33 1.33757638289254
PDK4 -3.74645111110558
ZMYND10 -3.97102638527027
ARX -1.79706832924391
HOXA11 5.16484725419212
COPZ2 1.08920337885479
MPO -3.42197444864526
WDR54 1.53453170241432
ITGA3 1.92439090406005
ITGA2B 1.88484433389267
ASB4 -2.8482438455598
YBX2 1.20191671574173
KRT33A -3.37885157822731
TMEM132A 1.85311392631024
TNFRSF12A 1.68641384694111
DLX6 3.52514114510456
ALDH3B1 -1.16877735708639
TTC22 -1.07920134364345
CCL26 2.17582024647523
DBF4 1.21649488138571
TBXA2R 1.21823988986507
SCIN -2.59769469887876
MYH13 -3.91829276347824
PRSS21 1.82960728109612
PROM1 -3.36186826493781
DNAH9 -3.55782682929316
SLC13A2 -4.35069575637911
GAS7 -1.41159469294262
CEACAM7 -2.95383966214226
SCN4A -3.17443097228238
TKTL1 4.50636360706305
PAX6 1.55070238300661
CAMK1G 1.82699470188189
TFAP2B -2.97288228390589
c(\CELSR3\, \MIR4793\) 2.77419626096217
NFIX -1.4824273354931
TENM1 2.33508869329042
IYD -1.59814901824292
MLXIPL -1.59671914372533
ETV7 1.27058658540912
HHATL -2.91509164410012
NCAPD2 1.48643539867943
SEMA3G -1.298264785571
SLC6A13 1.70056699406592
PRSS3 -1.53682288582244
TSPAN9 1.10192515850978
DPF1 3.47914758082173
PLAUR 1.30625567137983
ANLN 1.67230855045642
ZBTB32 2.18479206658671
GABRA3 1.14952717883794
BRCA1 1.42598102408802
c(\CD22\, \MIR5196\) 1.3012295867768
LTF -4.65438185393044
EHD3 -1.07558362178475
c(\CLDN11\, \LOC101928583\) -2.26950503332334
DDX11 1.57442077392447
TACC3 1.58292947356774
POLA2 1.28624558148118
ACPP -1.68268686628104
MTMR11 1.10850544078048
DPEP1 1.57152038555595
BID 1.27023605994008
XYLT2 1.13458411800274
CHDH -1.17714908171426
CLCA4 -3.64487066542017
ATP2C1 1.06864047787468
IGF1 -1.13321541256623
SLC38A5 1.86588082630571
CNTN1 1.39614793532822
SLC11A1 1.8438383543696
ATP1A2 -3.81666636713016
ZNF582 -1.04827775325154
VSIG2 -3.04876422401518
SNAI2 1.95707942985461
ZFP64 1.18961925386407
RUNX3 1.39517043221748
PLEKHB1 -2.73824787827949
SERPINB1 -1.33061229365646
SLC7A9 1.6115649372036
FHL1 -3.15606213007061
SNAPC1 1.32857815043131
ABCC2 1.75427050250674
EHD2 1.23239669061411
DEPDC1 1.63732593876052
RRAGD -2.02038941969334
HSD17B6 2.04529485217412
TYMP 1.67707418761477
c(\RTEL1\, \RTEL1-TNFRSF6B\) 1.25048132276889
AGPAT4 1.04733513201494
SLAMF7 1.1850038784938
BTN3A1 1.05486373399823
INSRR 1.69182697399111
SH2D2A 2.39298677770139
POU2F2 1.43653281416225
ANK1 -1.96236613727858
IBSP 4.79229487859192
HMGB3 1.54814621815716
BAK1 1.0835959228103
IKZF2 -1.57678585358133
CENPQ 1.1180861973786
c(\CHPF2\, \MIR671\) 1.00478565142691
APBA2 2.89334806984905
EFCAB1 -1.35170494105358
TMSB10 1.39985770817283
MYOC -6.07360305420835
DEPDC1B 1.92537654327098
STAP1 1.17738853956266
MYOM2 -2.82458598016708
USP2 -1.34379364933517
HOXC8 4.3990335565018
TLL1 1.57447738015759
TRIO 1.2122628752442
VCAN 1.88927868725589
MSR1 1.15557420654498
C6 -3.81942888981967
RAI14 1.34742214174827
SOX30 2.93914908758653
BEST2 3.01094828624394
RTN4R 2.00252598623693
MYO16 1.05374805718392
LSG1 1.00014731327706
TNC 2.33218036406026
FAM65C 1.56996448178561
BARX2 -2.02806023170562
JADE2 1.39810976002535
ZIC2 3.90315039792481
DSG2 1.1229896148201
MAGEC2 10.074845814506
ARHGAP6 -1.22894689391934
ROS1 2.80130982332304
GUCA1A 2.1266580850767
COL9A2 1.22026990096623
ADAMTS6 2.7644295719352
TNFRSF9 2.24003146152665
LTBP1 2.01779916188831
CLPTM1L 1.06842391203779
FOXP3 1.73370835768684
DKK3 1.22465605010191
NFE2L3 1.54471714192428
PTGER3 -1.33472178039642
COL23A1 1.16721118190852
HOMER3 1.97227732508413
RAD51 1.81479119321044
POLQ 1.87348381712957
FSTL4 1.21899855641389
NNAT -1.49965536424392
LAMA3 2.99310401209677
KCNQ1 -1.03555601028665
OPN3 1.1316246162479
PTPRN 3.16564368227752
FOXC1 -1.23784735822705
RELT 1.37570811064931
EIF2AK2 1.45682213571853
MCOLN3 1.5905667271241
CCDC85A -1.19010329636892
ZNF280C 1.10086488981066
NPFFR2 2.8461942044657
PHF21B 1.2938018347808
TRAF1 1.41324276169959
DCBLD2 1.78657827711095
USP13 -1.43966080243389
LAMC2 3.81827892856214
CDK14 1.13743766476255
RASGRF1 2.22802350673517
CAMK2B -2.52375433727318
DGKG 1.58092091542565
PARP12 1.72930537599313
COL11A1 4.6568910220864
MPC1 -1.15006028901774
BCAT1 1.95895387957419
SPAG4 1.41741766772771
GUCY1B3 1.44327445733869
CDH3 1.56811309905678
ARSF -3.655053172337
DGAT2 -1.95320042232195
c(\VMP1\, \MIR21\) 1.10686629459836
POLD1 1.34661518863572
SEZ6 3.69794498407089
GPC1 1.1018251970415
LIMCH1 -1.84378067963311
WISP2 -1.55284382390333
LPAR2 1.00350992101238
SLC12A2 -1.20427081011608
EYA2 -1.41410310261424
BCAS1 -2.18676705138885
CHI3L2 -3.23411741371462
TRAM2 1.89095375596717
MCM10 1.71954168484401
ROPN1 -1.70357987953992
c(\PDIA5\, \MIR7110\) 1.39182956959025
TMEM206 1.33532534250287
c(\COL17A1\, \MIR936\) 1.62131332980781
TLE2 -2.01732401505854
MTHFD2 1.05935530293744
ZMYND12 -2.32547210726422
ASPM 1.58189025470721
CD84 1.23278661999742
CLDN18 2.41437019401404
MSANTD3 1.33482116681133
MTFR1 1.04513416295241
STAG3 1.40081864287843
SP100 1.07814760046137
CACNB1 -1.67101025246914
SYT1 2.40627410363652
NAV3 1.07105814844759
IFI35 1.8867515092105
PRR11 1.84667766313922
STON1-GTF2A1L 1.13801113480179
PYGM -5.4063256623753
PITX1 -1.17376194757145
SDK2 1.96563043347488
KCNAB2 1.05901309445203
MAOB -1.1185458823797
DRD4 2.01358196374509
TGFBR3 -1.75411586082888
HES2 1.3832064306917
ATP1B3 1.29969083075714
GNB5 1.19465450623531
SCT -1.15379899704836
c(\NUCB2\, \LOC105376575\) -1.64093916428816
PFN2 1.49543096333678
c(\SPTB\, \MIR7855\) -2.03453964016534
FGF10 -2.4129483344256
SLC44A1 1.16380882175935
FSTL3 2.50367344651757
ST6GALNAC1 -1.88793789089461
FRMPD1 -2.00070133598471
ASNS 1.40010596116387
AP3M2 1.11203798613697
CNGB1 4.20917459209558
ST6GALNAC2 1.11003621036083
CAMK2A -2.46855221571283
TCOF1 1.10308453366717
EPHA8 2.40689813748129
ATP2B1 1.07283166228772
TRPM5 2.05416296856581
LMCD1 -1.06676749675714
TRIP13 2.02441474414619
TCF3 1.26651564581319
HLTF 1.63226568430197
MYO3B 2.09734759372692
CDH19 -1.77544788858627
SLC6A15 1.25153832264586
ACTN1 1.15340448922368
RPS6KA6 -1.22167136788486
ASIC4 2.42129990802763
c(\SPEG\, \LOC100996693\) -1.67641514234146
TFRC 1.69048184170915
HMMR 1.69236768712948
P4HA2 1.62192417145062
STK10 1.20780933473629
TMEM38A -2.48281250042231
PVR 1.13573496358091
CYP2W1 1.65233937778926
MCM2 2.19177884619067
MOV10L1 2.50507642423616
PANX2 1.31313472513238
TP63 1.24371959492172
CLCN4 -1.64685454892177
GSDMB 1.22411105363252
ABCB11 -1.16086804269669
DHRS9 -1.61925199747525
PTGS2 1.8749918223183
IGF2BP2 2.68400194479563
TBX21 1.31719476592261
FRY -1.31576838674883
GLI2 1.5845795503651
TEAD2 1.46616672592366
CDHR2 1.89616501878722
SNCB 2.11290317041011
ATP2A3 -1.15862332897647
MGLL -1.67046850761123
NUAK1 1.25807284447433
ZNF532 1.05693860474415
ARHGEF10L -1.26481467167265
KCNQ2 2.92299090858695
GTSE1 1.96239851454649
SEMA3C 1.21153456779409
ACAT1 -1.02397693541457
ADD2 2.9972020868553
FGF4 4.75219487230428
FNDC3B 1.46926411019322
CACNG4 1.13315924382747
FSCN1 1.96834319867427
ATP12A -2.3211722299117
TUBA3D 1.17844044175259
MCM6 1.34376240023592
SPAG5 1.92062457668974
ACACB -1.88770310632105
PAG1 1.46075670383743
NMRK2 -2.51353942644463
CTTNBP2 -1.80480013041952
UBE2T 1.84683566739371
PPP1R12B -1.7023249396351
CAPN6 -1.56192248663025
DCX -1.75054928928164
SPAG6 -4.01311903331707
TYR -4.83273619330171
ACTN2 -3.09326633238733
FKBP6 1.34106060155897
SMC1B 5.57185759268768
LAMP3 1.87911220454239
FAP 2.71365051741584
NEBL -1.17864982953631
ADCY2 -1.80726994279563
RBFOX1 -3.1354669643443
c(\HOXA9\, \MIR196B\) 2.46358504254007
ITM2A -1.90613681727973
BRINP1 -1.91057760935027
TP53INP2 -1.22882625651396
MYH7B -1.72598442838609
BPIFB2 -3.13138911614928
TP73 1.03142225610578
CLUL1 -1.30238548439464
SP140 1.59520127307686
TNS1 -1.13904810345571
CEACAM1 -2.33066765969449
DUSP13 -3.13098739696238
LIPE -1.01323979467409
PAFAH1B3 1.04290533684369
KIF22 1.2363054586557
RIMS1 -1.83621872165937
DDX43 1.42591002203556
DCT -4.12862810749393
SLC4A4 -2.61890147247344
COL5A3 2.4117911432841
MOK 1.11792454715258
RBL1 1.16066643220332
NDC80 2.00552592416433
CXCL2 -1.03552178291199
IMPG2 1.29679763235091
MEF2C -1.37666810212882
CACNA1S -3.37640892563668
IL12RB2 2.16708008864374
SMARCD3 -1.17976818083522
FYB 1.28709001650876
MPP4 2.32248787365906
COL19A1 1.47794190924773
OPRK1 2.04464102189254
SEMA5B 2.22983268039462
PLOD1 1.74783474305131
EPYC 5.03271733523759
FAT1 1.38133813866326
SLCO1A2 1.57132640292573
COL16A1 1.88460289368528
KIF3C 2.06394439548096
GCKR -1.15724569961337
PILRA 1.46181741537681
IGSF9 1.26927430199364
CTTN 1.27258494154915
ORC1 1.78347325624239
RAD54L 1.89743116824595
EPDR1 -1.38344978110923
SNX10 2.33551572918257
CEACAM6 -1.84381182758587
PPEF1 3.85468608498577
MYBPC2 -2.73556418611056
NOX4 2.14126928781795
ACHE -1.85488610736171
FTL 1.12650089528275
ADAMTS2 3.13999662565722
TMPRSS11E -1.62796555780079
MMP2 1.0405140783007
MT3 -1.65992388823175
NID2 2.19931169944408
KLHL42 1.03648388850031
PTHLH 3.56125165991986
PHACTR3 1.92745515114911
AURKA 2.04056510272206
SULT2B1 -1.3401650139468
DNMT3B 2.60390326046624
TPX2 2.08959180481022
FER1L4 2.0487840453299
DOCK3 -1.02004769514744
SMOX 1.0957366700066
SIGLEC1 1.18847808524574
CPXM1 1.21308500864073
TESC -2.52537695585695
SIRPG 1.58945424029607
CFAP61 -2.63328391112936
LHX5 4.91504298290677
OAS1 1.08051504207368
PXN 1.31070716084429
CHGB 2.24020261108782
TBX5 3.03185108537583
NOS1 -1.67456705069844
FXYD5 1.79355841684485
CMTM1 1.48127376321758
KCNH4 1.25923032929523
BIRC5 2.04341136099784
LAG3 2.40683205727609
ARHGAP4 1.10381375579743
ICAM1 1.21621970395595
LYZ -3.65179392034379
DNAJB11 1.24860182579605
P3H2 2.84379691333433
EFNB1 1.55416105506804
KIF4A 2.0405809498173
PLEKHG2 1.04389922852554
DLL3 3.28570019221185
NAT14 1.43265731950923
LAMB4 -3.03097195435046
NRCAM 1.77784251694776
LAMB1 1.65302829549806
SLC26A4 -2.49641204115939
IL5RA -2.2158828936679
ITGA6 2.17742524771804
SMPX -2.4542490003115
TF -3.11948876433788
NLRP1 1.02944509367063
ORC6 2.11827537999514
ZFHX4 1.29123897095035
ANGPT2 1.56293582294493
CMA1 -2.26371925810606
MYH7 -4.63935655258867
CEBPE 3.57601762176569
SLC7A8 2.00481954269087
TGM1 -1.64571989105561
WDR76 1.45177738025511
CAPN3 -2.74638763549184
TBX15 -2.10490314749325
TEKT2 -2.48710910750374
CLSPN 2.05294057210885
CDC45 2.17680306003204
GABRP -2.05840468101231
KRT31 -3.72922964882879
CDC6 2.12883031461799
FMO2 -3.28817407756524
CRAT -1.88672498622435
BLNK -1.26656180632191
TLL2 1.06797616917955
CYP26A1 2.23418794649606
SORBS1 -2.43493181061125
CRTAC1 -1.36483334686764
IL11 4.60940659947792
MYO3A 1.64697993315233
SMIM24 2.65525696269116
TREM2 2.08617075426272
CRISP3 -5.69643842878411
ITPR3 1.3192927800865
IL12RB1 1.49772435196932
ACOT7 1.47489232827489
CDC7 1.33845451044867
PRTFDC1 1.41366269690989
MAGEB2 7.93810450172561
IZUMO4 1.22787382946007
GADD45B -1.44376330592819
IGF2-AS 1.69998725894017
RANBP1 1.21037811306276
MED15 1.05730542659058
MMP11 5.34995461277162
P2RX6 -1.12055218202829
DERL3 1.14578823195235
SLC7A4 -1.02967453039625
OSM 1.62106869639377
GGT5 1.12390600497031
SEC14L2 1.01098957371093
c(\GGT1\, \GGTLC2\, \GGTLC1\, \GGT2\, \LOC102724197\) 1.307910670826
CRYBB3 1.62620920690327
CARD10 1.07451765349219
LRP5L 1.07860368580395
GRK3 1.08845958158322
LGALS1 1.78690021578842
GGTLC2 1.39758465948068
SOX10 -3.00602983827903
SLC16A8 1.57250193113494
CENPM 1.64645821714351
SEPT3 2.22217315960557
SLC5A1 -1.19298519412406
KDELR3 1.23910596382734
CYP2D6 1.26395645129501
DMC1 1.50739611052362
RSPH14 -1.02277370259133
MIOX 4.78946351703528
RHBDD3 1.07611604836291
NEFH 3.07562792582117
MCM5 1.58579503402606
APOBEC3H 1.52201730171216
RASD2 2.12794554446053
PDGFB 1.11613971404882
SYNGR1 -1.34409972907136
PNPLA5 -4.2531574854429
APOL1 1.93182555627391
CACNA1I 1.05380898233497
FOXRED2 1.47796958245959
UPK3A -2.61479980896131
KCTD17 1.02503641433975
IL2RB 1.02103305803521
CTSG -1.69005018565431
GZMH 1.20493362307092
GZMB 1.56086874737242
COCH 1.68391317759891
POLE2 1.38253914362994
PYGL 1.25446786275541
TRIM9 1.23798546279904
DDHD1 1.23157875034542
CDKN3 1.91638810965893
PLEK2 2.17610194576575
ISM2 1.87326623118645
GALNT16 -2.86968067652705
ASB2 -1.66044418626683
HIF1A 1.06431902935049
SLC8A3 -2.08074271173595
TCL1A 1.61880365992216
VRK1 1.13773531639077
PAPLN 1.56994818900667
DHRS2 1.9259955567455
MMP9 4.13292555730316
PROCR 1.93084459943552
GINS1 1.74673438866115
SGK2 -2.5802627531044
MYBL2 2.44372902192322
HNF4A 2.35736617367262
RIMS4 -1.43284262108948
PABPC1L 1.94507101668451
SALL4 2.98007223783388
DOK5 -1.50610193890442
CTSZ 1.14989134555927
NTSR1 3.62215160250006
MRGBP 1.56191813860739
TCFL5 1.04124287821787
SLC17A9 2.28747829864151
NKAIN4 2.30763102388881
ARFGAP1 1.11490059651521
c(\CHRNA4\, \LOC102723788\) 1.93052491098756
EEF1A2 -2.89624900938665
PTK6 -1.12683457366174
C20orf27 1.13230939732727
SPEF1 -2.87136902732176
CDC25B 1.70324648794261
ISM1 -1.20408844660962
TRIB3 1.49601472080219
MYLK2 -3.11943016789851
SIRPB1 1.10787320942751
FERMT1 1.34245477337307
PLCB4 -1.79708638245168
