Genes log2FoldChange
TSPAN6 -1.51969378213615
TNMD -2.39907462240163
SCYL3 -1.17288333411928
FGR -1.2294027317449
CFH -2.28777739571008
NFYA -1.14843024175967
STPG1 -1.62702560192481
NIPAL3 -1.28582171870482
SEMA3F 1.22042979907392
CFTR 6.43877721669943
AOC1 -5.31703828801298
WNT16 2.31097545379253
HECW1 -7.00843047983483
LASP1 -1.15056695629869
SNX11 -1.10554370746086
TMEM176A -4.99024855053565
KLHL13 -1.00761659664752
CYP26B1 -2.56143912523867
CASP10 -1.95930398589426
CFLAR -1.11753623983797
TFPI -2.69103284755013
AK2 -1.07730602443388
HSPB6 -2.68128764765305
PDK4 -3.00409054798713
ZMYND10 -2.56407614571399
ABCB5 2.52092274373635
c(\ST7\, \ST7-OT3\, \MIR6132\) 1.1914061159268
SLC4A1 1.84702879703514
PRSS22 -1.23067175100475
ACSM3 -1.03122646560915
PRKAR2B -1.70897309163013
TSPOAP1 -1.83026915256165
WDR54 -2.4239912280608
ABCB4 -2.44764330888362
SOX8 1.64163322811818
PDK2 -1.12468541914643
ITGA3 -1.51921087568812
ITGA2B -1.58422913190857
ASB4 -2.50031925769778
CRLF1 1.13444044870817
TMEM98 -2.03531504478419
YBX2 2.41857312175415
MAP3K14 -2.39694405684022
TAC1 -2.37893949687995
CACNA1G 2.1731000531637
TNFRSF12A -1.4196304571887
RALA 1.36784508530738
BAIAP2L1 1.60980248383785
ALDH3B1 -2.145992562013
TTC22 -2.18830452383297
USH1C -4.13759425510485
DBF4 1.78147091745064
TBXA2R -1.20067773979457
ARSD -1.1977810735946
ADIPOR2 1.08958593331313
CDKL3 -1.34596060162349
UPP2 -6.89291180769115
PROM1 -4.51704512724033
SLC13A2 -7.59348177383844
CD79B -2.37959224884823
ST7L -1.20810882971241
TEAD3 -1.76497747859926
SELE -2.36529311138082
DNAJC11 -1.30497809735897
FMO3 -1.84557241807276
E2F2 1.84557895951762
SYN1 1.10543743500694
CDKL5 -1.28253193921778
TFAP2B -3.54872168824545
DLEC1 -1.32728756777126
CYB561 -1.5341943578881
c(\CELSR3\, \MIR4793\) 1.81064846713408
AASS -1.75739858116397
PLEKHG6 -1.25150488382174
MGST1 -3.47398552829225
CRY1 -1.15001276609707
ST3GAL1 2.40914930758077
IL32 -1.59736285085449
CSDE1 -1.07817869100311
REV3L -1.11571407809143
VTA1 -1.19433094481496
HHATL 6.75114675275286
SEMA3G -2.84873854314296
SLC6A13 -5.88935921106649
PRSS3 -2.08933202875503
FYN -1.18165165553414
FMO1 -5.82672055708415
MRC2 -1.80546310384561
MKS1 -1.04488829436822
ANOS1 1.29417220204299
SYT7 1.01753702059064
ANLN 1.69810429148959
DCN -3.73922593536549
CEP68 -1.02524394029652
c(\CD22\, \MIR5196\) 2.87635181527232
c(\SEMA3B\, \MIR6872\) -1.1515554443834
LTF -2.23923272366602
NR1H4 -4.10906626585252
ALOX5 -1.06365751185836
EHD3 -3.10829308183525
c(\CLDN11\, \LOC101928583\) -1.77656833881302
RWDD2A -1.32570038402471
ACPP -2.78765052918664
MTMR11 -3.25027043786368
CCDC88C -2.26997736806512
YAF2 1.13116404785114
DPEP1 -8.38590434333972
NPC1L1 -3.18311681184998
ISL1 5.38806036781792
