Genes log2FoldChange
TNMD -2.30337579532661
FGR 1.22766698760838
CYP51A1 -1.05468311380502
HS3ST1 1.88270955539135
AOC1 -1.1705114001684
HECW1 -2.98368121989815
MAD1L1 1.17403181960261
KLHL13 -1.0765547482128
CYP26B1 -1.61579634109122
DBNDD1 1.72638209602547
TFPI 1.14897452474748
CAMKK1 1.04698011608045
HSPB6 -2.05844141832395
PDK4 -2.18911043085909
ZMYND10 2.31965185861376
ABCB5 6.68911935395041
ARX 3.42920338317671
SLC4A1 -6.30691452731836
CALCR -1.65807471576359
PRSS22 -2.16978360527924
MCUB 1.89137606453105
POLR2J 1.10260654382118
MEOX1 -1.27262222154238
THSD7A -1.79874012557806
MPO 1.182645319837
ABCB4 1.23476808918727
SOX8 3.27636417873314
ITGAL 1.09054680740704
ITGA3 1.77010134373908
OSBPL7 1.00370225102925
TMEM98 1.61051108578256
YBX2 1.38477031039369
TMEM132A 1.55487589038036
CACNA1G 1.29987820876451
TNFRSF12A 2.06131280252813
ALDH3B1 1.15681479868523
CCL26 -1.14486041138928
TBXA2R -2.18765188306553
UPP2 -3.58559305525737
PRSS21 3.83693177220815
NOS2 -1.37129045643285
SLC13A2 -3.10658122006076
MATK 1.34896010583264
SCN4A -2.20486596452876
RHBDF1 1.33911642039528
LUC7L 1.456496482477
CACNA2D2 -1.41557030587531
SELE -3.97768451897234
FMO3 -1.43292685899672
E2F2 2.62881599196266
SYN1 1.04675239925981
CAMK1G -1.56987543527182
TFAP2B -6.21785117750398
ADAM22 -1.14401693478454
c(\CELSR3\, \MIR4793\) 2.4117024886716
PLEKHG6 1.49914475926653
ST3GAL1 -1.30328807035529
MMP25 1.17821860884877
IL32 2.17523083834666
RPS20 1.00736511167944
TENM1 1.77664528398717
IYD -2.52344331957492
MLXIPL 1.03549045045202
ETV7 1.81261458855812
HHATL 6.88729017980202
IFFO1 1.37040962437256
GIPR 1.05661268266937
SEMA3G -3.80670779431332
PRSS3 -1.72725217103555
CD4 1.08849870253228
LRRC23 1.04129678997919
BTK 2.01004635974131
NME1-NME2 1.42000303945807
SYT7 -3.92375175043004
PLAUR 1.29119802606019
ANLN 2.50729561933094
DCN -2.86000456244355
TYROBP 2.50967972041993
BRCA1 1.19746656102661
c(\CD22\, \MIR5196\) 1.66814922618639
NR1H4 1.06406507417897
ALOX5 2.58674900376123
KDM5D -1.25445772048989
EHD3 -2.32204168891101
SLC7A14 -3.33808420979092
c(\CLDN11\, \LOC101928583\) -2.1368624253164
MVP 1.32801807576383
DDX11 1.40249985515243
CD6 1.04192787422716
TACC3 1.50339348312188
ACPP -5.60325242437016
CCDC88C -1.18601041709446
WAS 1.45245808532636
DPEP1 -2.80748076142465
ISL1 4.25453753850935
IL20RA 1.89572277629083
IGF1 -1.71065179110909
CNTN1 -4.3434769201291
SLC11A1 2.09067766758209
ATP1A2 -2.74844701700815
ZNF582 -1.07820836034637
MARCO 3.30501806541286
SNAI2 -1.87584819460031
HGF -1.57754014703122
RUNX3 1.25604786058534
SLC7A9 -2.82035901937221
NRXN3 1.65438711116134
FHL1 3.43149071730854
SLC45A4 -1.1917053619639
GRAMD1B -2.34851568872118
BIRC3 1.20652878895288
DEF6 1.52356248470364
EHD2 1.20113913739279
DEPDC1 2.58831261492696
TYMP 2.28086441528571
VIM 1.57403597954007
