Genes log2FoldChange
C1orf112 1.37918980968355
NFYA 1.35682028400582
NIPAL3 1.1298303940194
LAS1L 1.12413326108829
SEMA3F 2.01788864584892
RAD52 1.11190593274702
AOC1 -1.22910826252577
HECW1 1.79427241007706
LASP1 1.2660228875136
SNX11 1.042851810288
KLHL13 1.02138020954616
CYP26B1 1.66153535902752
ICA1 1.10754991844434
DBNDD1 2.07249080709101
MTMR7 2.50760797807184
SLC7A2 -1.09873487593814
SARM1 1.40753994682102
PLXND1 1.46769452768593
KDM1A 1.0336544239914
RBM6 1.10757331236216
CAMKK1 1.08148463777475
RECQL 1.05332638470829
VPS50 1.07262563253677
HSPB6 1.2191292869186
ARHGAP33 2.26716140052713
ZMYND10 2.21279435889018
ABCB5 7.3221997893813
CALCR 2.97360381746339
DVL2 1.7027581422904
SKAP2 1.00044930005004
MCUB 1.23629613961064
HOXA11 6.31178207495853
POLR2J 1.0169163820381
MEOX1 2.24505540249531
THSD7A 1.52820014411126
ACSM3 -1.31965158120295
LOC81691 2.08333254947135
SPPL2B 1.1904806759224
TSPOAP1 1.06163262648815
WDR54 1.51492896334888
ZNF195 1.2091206083929
ITGA3 2.14892831193561
ASB4 1.10420744056521
CRLF1 2.21806605597927
OSBPL7 1.61329230269088
TMEM98 1.90980461964977
YBX2 2.70269465476178
ABCC8 3.45102331712023
TMEM132A 3.0673271867655
ZNF263 1.08723473269472
CACNA1G 2.80117712994324
DLX6 4.37864705301163
MAP3K9 2.04656124072284
RALA 1.05577801052533
BAIAP2L1 1.13195577052376
ALDH3B1 1.3059427132607
PHTF2 1.21476619472472
CCL26 3.94867871645263
USH1C 3.51277561798823
GGCT 1.21171888172543
DBF4 1.66441674379132
TBXA2R -1.168745369194
IFRD1 1.24282403688609
LGALS14 13.6726615495658
GTF2IRD1 1.84108366822205
ARHGAP44 1.77751717774113
SCIN 2.74952043283915
MYH13 2.26262970232434
CDKL3 1.13126038968005
PRSS21 3.52441227708845
MARK4 1.55838351247987
CCDC124 1.25358015207525
NOS2 2.0720798199774
KIAA0100 1.58061983027306
SLC13A2 1.55496316130828
GAS7 1.09824913411364
CEACAM7 7.48218374935191
SCN4A 2.70547135708995
TKTL1 4.99689460266728
RPUSD1 1.36976399628481
RHBDF1 1.47269688629709
LUC7L 1.16288781425761
CACNA2D2 1.03781270592989
TSR3 1.00149237696703
CRAMP1 1.61328203545608
TEAD3 1.29539242245511
MYLIP 1.13482671819324
NOX1 1.70432255436688
E2F2 3.73344265000539
JARID2 1.06144444979038
CDKL5 1.09890263550665
CAMK1G 2.25264040510852
CYTH3 1.44736625209742
ADAM22 2.52150684829301
CYB561 1.40442201943491
c(\CELSR3\, \MIR4793\) 4.18594399294045
PLEKHG6 1.34812961762841
IL32 1.35058644195716
c(\PKD1\, \MIR6511B1\) 1.3353479577194
MAPK8IP2 3.88669221792803
c(\MED24\, \MIR6884\) 1.23847788675954
RHOBTB2 1.5666843788908
RPS20 1.36719928007756
POMT2 1.28526076310845
SPRTN 1.1015013123135
METTL13 1.21617236288765
c(\ZNF207\, \MIR632\) 1.19828385194433
HHATL 7.10479882084087
NCAPD2 2.15930692664066
IFFO1 1.28755149504015
GIPR 2.82125137182391
SEMA3G 1.7728009233992
NISCH 1.17547548296103
PRSS3 1.99485596400549
ZNF200 1.30654151548133
CD4 -1.22335772209409
SCMH1 1.19692659044744
FMO1 2.88913616112622
NME1-NME2 1.61270979299312
SLC6A7 3.7100839794515
MKS1 1.09533129445809
AKAP8L 1.49886576789709
UTP18 1.11497965908205
RNF216 1.20540762410696
DPF1 3.05729304563574
ANLN 4.53173641959885
WIZ 1.20114876633929
DCN -1.62791748306345
QPCTL 1.40477008451036
CEP68 1.23397157582278
MAP4K3 1.02097698584455
ZBTB32 1.76696420115548
GABRA3 6.94072055721266
BRCA1 1.53195684523169
c(\SEMA3B\, \MIR6872\) 2.18146449800497
LTF 1.99270797638577
EXTL3 1.305310101657
ALOX5 1.13694921857777
EHD3 -1.44308638174166
PSMC4 1.32162808927924
SLC7A14 3.21577278910679
SLC25A39 1.44049507835956
MVP 1.27390729258735
DDX11 2.04558580791367
MAMLD1 1.39483925597698
TACC3 2.88628446075787
POLA2 1.98016341805358
ZC3H3 1.81174784685992
ACPP 2.31809426294363
MTMR11 2.52872836497413
DPEP1 3.06386192991471
XYLT2 1.29334258821728
NUDCD3 1.02796946581038
IGF1 -1.57926117962195
SLC38A5 2.1890689048931
CNTN1 2.86226634936857
ATP1A2 2.75791622339816
TTC27 1.14095238674872
c(\PHLDB1\, \MIR6716\) 1.23904794050061
MARCO -4.25764859136556
CYP24A1 4.06058400872057
SYT13 2.76664920167324
SNAI2 1.76993248150312
HGF -1.35577499186073
NCDN 1.38776724285279
ZFP64 1.21808507542872
MRE11A 1.1939462844183
PLEKHB1 1.95594355522954
CYP3A43 -1.0615123827355
NRXN3 2.07009631274057
NLRP2 2.14095042979874
SLC45A4 2.71944440900638
GRAMD1B 1.71469510246184
RB1CC1 1.03221704879763
BIRC3 1.46346764068042
GLRX2 1.04291474608762
EHD2 1.45779256668461
DEPDC1 4.63167522430347
RRAGD 1.68565702554924
HSF2 1.3220203413067
TYMP 1.07202857796444
NCAPH2 1.56609767112876
TOMM34 1.08196295987756
VIM 1.06610056278898
c(\RTEL1\, \RTEL1-TNFRSF6B\) 1.54561927331736
CD44 1.2872329105067
KCNG1 3.03119571026861
AGPAT4 2.0878157333163
BTN3A1 1.08244253451246
INSRR 3.94843691940148
B4GALT7 1.42670392441675
BRD9 1.40257804263697
ARNTL2 1.23053219856155
ANK1 1.92911160452078
IBSP 8.23217717220148
HMGB3 1.24753241204598
BAK1 1.68341078864453
GRN 1.24312997691801
CENPQ 1.73309373973691
TSSC1 1.13463944989361
ALG1 1.09906675757437
ABCF2 1.38127466578565
c(\CHPF2\, \MIR671\) 1.02082229134599
GAB2 1.35585955413136
c(\ATP6V0A1\, \MIR5010\) 1.0023206465709
APBA2 1.36676016529156
TMSB10 2.0134182731437
DEPDC1B 4.0796868266205
DAPK2 2.16932296657425
NSMAF 1.22106306847351
ADSS 1.06594760105551
RFC1 1.1555938981374
MYOM2 -1.3710208597871
TUBG2 1.6124657448657
RPL26L1 1.03737652761221
METTL1 1.19593621191541
HOXC8 4.44673467272635
TRIO 1.25263508291133
VCAN 2.75978928383557
CLEC16A 1.1714053460642
C6 -1.42554877452125
PNKP 1.11726690978092
SPDL1 2.58063977684675
STAU2 1.03703277362583
PQLC2 1.13218569404976
CDH10 5.68369262882107
RAB27B 1.21228785227016
FAM65C -1.19144658085804
TDP1 1.08355796156004
AIFM2 1.46503834392784
CAPG 1.95596141122349
ADAM28 1.27857114260915
JADE2 1.39000893132799
ZIC2 7.38496916433134
GUCA2B 1.4418228580701
CUL7 1.84071185428966
CTNNA1 1.15488725553645
HSPA5 1.1092752262531
OFD1 1.30638131099941
MAGEC2 9.73446529820331
CTPS2 1.03106865885596
ATP6V1H 1.24370881393931
KIAA0556 1.57586842043301
DTNBP1 1.3026599474894
XK 1.70216619537552
ANO2 3.6385369272466
C12orf4 1.00314256671727
WWC3 1.20904953984389
ARHGAP6 1.12723394050801
