Genes log2FoldChange
TSPAN6 1.22746937535626
TNMD 2.86713477459763
C1orf112 1.35401205797072
FGR -1.94243425566041
GCLC 2.37236915078044
CFTR -1.09599188849866
HS3ST1 1.63261510690224
AOC1 5.06693902711957
WNT16 4.22712554247043
HECW1 2.50918430683455
TMEM176A 1.087736060432
ICA1 1.29164002358228
DBNDD1 2.08658003872356
MTMR7 2.0827892161607
SLC7A2 1.11913648933011
FKBP4 1.256015803055
HSPB6 -2.36489483163419
ARHGAP33 1.43190864735104
PDK4 -2.24122058752205
ZMYND10 -1.82813339093085
ARX 1.69850650521572
SLC25A13 1.19693190205262
CALCR 1.85605503198855
PRSS22 1.76746724449979
HOXA11 4.4784404022582
LOC81691 1.15048088917042
PON1 1.90409464157897
ABCB4 1.85977995070528
SOX8 1.0234642764358
ITGAL -1.0531576775355
CRLF1 3.75240545941368
YBX2 4.81740734241649
TMEM132A 1.97594528504204
TAC1 5.04544800122075
SPATA20 1.05170647495578
CACNA1G 1.53069769538337
DLX6 4.66432905772395
BAIAP2L1 1.29441451823673
ETV1 -1.0195130185982
TTC22 1.05244640139955
CCL26 1.42664155046017
USH1C 4.00968593785059
GGCT 1.80004076977699
DBF4 1.50107706312741
GTF2IRD1 1.02018482409158
ARHGAP44 -1.52114708150672
SCIN 1.64145358252489
PROM1 1.51978734260992
CEACAM21 -1.53635415627026
DNAH9 -1.85796367554497
MATK -1.01253881088533
CEACAM7 5.4625494758165
SCN4A 3.44428713891405
TKTL1 1.70301122120358
PAX6 -1.17366303185095
RPUSD1 1.0656082581872
CACNA2D2 -2.26798762259726
SELE -2.79117690225965
NOX1 1.93577808011586
E2F2 2.50761377583624
TFAP2B 2.91742010532921
TFAP2D 7.23772307705126
c(\CELSR3\, \MIR4793\) 3.51927278246546
PLEKHG6 1.90737955645748
MGST1 1.07687663789169
NFIX -1.31255882480597
MAPK8IP2 1.57751319016361
TENM1 2.40280285091783
PAX7 6.60888286122866
IYD 1.48333004204377
HHATL 2.50125239677713
NCAPD2 1.11663386449758
SEMA3G -3.09920321704562
SLC6A13 -2.52016177449839
PRSS3 5.20374440815687
BTK -1.23865383239681
FMO1 1.24971631773892
NME1-NME2 1.41048895852539
ANOS1 -2.65217890706899
DPF1 1.71203932217538
SYT7 3.5323134452443
ANLN 3.92220125971982
DCN -1.316975886269
TYROBP -1.34686659945617
TMEM159 1.03618096138094
GABRA3 6.18516064860866
BRCA1 1.57492682257362
c(\SEMA3B\, \MIR6872\) -1.45236699142427
LTF 1.42558705163445
NR1H4 1.83397498225444
ALOX5 -1.68466164743981
CALCOCO1 -1.07933822477182
SLC7A14 2.06863279611906
c(\CLDN11\, \LOC101928583\) -1.11595303601285
SLC25A39 1.33107919276463
DDX11 1.63193734246494
c(\GPRC5A\, \MIR614\) -1.22062396521541
TACC3 1.80696489094276
MTMR11 1.52725929648648
DPEP1 1.81188213696399
NPC1L1 4.55188189035623
ISL1 4.52698549373631
IL20RA -1.58168066499989
CLCA1 3.14265060615574
CLCA4 2.23338433751847
SLC11A1 -1.68192972089744
ATP1A2 -2.14188041034525
VSIG2 -1.32738586891303
MARCO -2.88267812685267
CYP24A1 6.76032226650171
PRDM11 -1.05167500300684
SYT13 4.15710819793946
SLC7A9 3.02365419383177
CPS1 6.68881863857817
C8B -2.48008052366546
FHL1 -3.2216865892605
NLRP2 1.30489750203101
GRAMD1B 1.40415631700267
ABCC2 4.97144293789113
GCLM 1.16212199359871
EHD2 -1.17040145187443
DEPDC1 3.99199507942549
HSD17B6 -2.11746002197813
VIM -1.06793415670663
c(\RTEL1\, \RTEL1-TNFRSF6B\) 1.4022795719563
KCNG1 1.894587780347
SLAMF7 1.2969007678556
ARNTL2 2.60165186379009
ANK1 1.39536694458583
IBSP 2.63130241714485
HMGB3 3.60937835941667
MUSK -1.53140365538606
ARHGAP31 -1.97788449609232
PNPLA6 -1.41550712276275
c(\CHPF2\, \MIR671\) 1.14066103264502
FUT8 1.56968280463891
SLC4A7 1.01910928485641
APBA2 2.14278730955272
EFCAB1 -1.95833976254046
MYOC -4.38860533550867
FAM136A 1.30405243091802
DEPDC1B 3.7608821437097
DAPK2 -1.82559248744984
