Genes log2FoldChange
TSPAN6 1.27033707070471
C1orf112 1.72737293984134
FGR -2.28877511496402
GCLC 3.54385412706066
ENPP4 -1.9952594901635
SEMA3F 1.20015084621668
CFTR -2.40685711668779
HS3ST1 1.23667941395449
AOC1 1.96053844540416
WNT16 4.15262665048114
HECW1 2.48523918629708
KLHL13 2.73054406553133
DBNDD1 1.20040002894742
CFLAR -1.3340138342439
TFPI -1.77583476252517
SLC7A2 -1.24531302646844
PLXND1 -1.32726548894068
FKBP4 2.31006942858503
KDM1A 1.14109817373795
HSPB6 -3.48294546539792
ARHGAP33 1.44007534478386
PDK4 -3.76076090436959
ZMYND10 -2.91471765766746
SLC25A13 1.28075577341978
SLC4A1 -2.0882597293497
PRSS22 2.05711391487026
SLC25A5 1.05465503828622
HOXA11 6.47387410497338
POLR2J 1.00736265765887
DHX33 1.04560256765604
LIG3 1.01169614518899
LOC81691 1.50053048597204
COPZ2 1.00681164972674
MPO -1.36908035106586
SOX8 1.00256727661053
ITGAL -1.75636945465951
CRLF1 1.30186490120346
YBX2 4.67396709852336
KRT33A 9.69850527056105
TMEM132A 3.16603410915915
TAC1 4.32211421084579
DLX6 7.5079400701923
BAIAP2L1 1.24980668973604
ETV1 -1.79139238170442
ALDH3B1 -3.00705131826916
TTC22 2.01836164305393
PHTF2 1.00342613332139
CCL26 3.91961506341418
USH1C 2.35919056797797
GGCT 2.12223256860623
DBF4 2.18320747440029
TBXA2R -1.53017016041258
GTF2IRD1 1.50619109979791
ARHGAP44 -2.79333893642076
PRSS21 1.74682831798683
CEACAM21 -2.22972458123212
NOS2 3.3845391211674
DNAH9 -3.04088052554879
GAS7 -1.4358398624021
MATK -1.01742428006244
CEACAM7 4.66763984783348
SCN4A 1.2260967874713
TKTL1 3.40895301074968
PAX6 1.38005499803046
RPUSD1 1.3550473193446
CACNA2D2 -4.41383325653062
SELE -2.70529676284968
E2F2 3.05586475317264
JARID2 1.37048671743402
CDKL5 -1.21392036200899
TFAP2B 5.14164007404704
c(\CELSR3\, \MIR4793\) 2.46756379536547
PLEKHG6 3.11676488531985
NFIX -1.25360717972259
MMP25 -1.01414383100886
MAPK8IP2 2.28930841553937
RHOBTB2 -2.54355457232293
PAX7 7.07198452341613
IYD -1.97956905677857
CD9 1.09649340045241
NCAPD2 2.21640643198237
IFFO1 -1.02365741023217
SEMA3G -3.27045046116062
SLC6A13 -2.06436192526599
PRSS3 5.44008749934739
CD4 -1.38021359061377
BTK -1.91719153880927
FMO1 2.1013604265631
NME1-NME2 1.69797573828699
ANOS1 -2.56169826023091
DPF1 3.29729553947305
SYT7 2.29133213365468
ANLN 4.31934914826315
DCN -1.26941889702561
TYROBP -1.8666519070619
TMEM159 1.06502979020788
GABRA3 7.50776704372552
BRCA1 2.08018893991106
c(\CD22\, \MIR5196\) -1.10222479728578
c(\SEMA3B\, \MIR6872\) -2.61793980073826
PRICKLE3 1.70778582926313
LTF 1.1914316875447
ALOX5 -2.61769141680023
CALCOCO1 -1.48649199160726
PSMC4 1.43054601959681
SLC7A14 3.9302721507391
SLC25A39 1.4573163701024
DDX11 2.20254657457127
c(\GPRC5A\, \MIR614\) -2.91135285438355
TACC3 2.1023526050358
POLA2 1.43168844395459
MDH1 1.04497045109243
WAS -1.22319774199901
BID 1.27436277607318
NPC1L1 1.59546936819826
XYLT2 1.17967083332681
STMN4 3.92506031941263
ISL1 4.13632646859535
CHDH -1.18618205852622
CLCA4 6.94203953844089
CNTN1 1.61817309099686
SLC11A1 -2.3251712473133
ATP1A2 -3.37938269186163
VSIG2 -3.1848035603823
MARCO -3.84673461415466
CYP24A1 4.9014228217215
SYT13 4.2237517173225
SNAI2 2.11533972635632
CD74 -1.66340083569709
HGF -2.05969101833902
ZFP64 1.75108378951582
MNAT1 1.10407537435532
SAMD4A -1.39159214949373
PLEKHB1 -1.59287588393186
SLC7A9 1.95607174928768
SPAST 1.50826201563877
CPS1 3.1736613456758
C8B -4.70288763326721
FHL1 -3.71039073879391
NLRP2 1.76947253044161
BIRC3 -1.06176441269071
SNAPC1 1.26955451562194
STRAP 1.18189325775693
ABCC2 4.42278779482402
GCLM 2.5998474271007
EHD2 -1.35091785759232
DEPDC1 4.60373598805068
HSD17B6 -3.76134373278133
VIM -1.68159698302154
KCNG1 5.22442739507081
VRK2 1.11499176556824
c(\TNFRSF1B\, \MIR7846\) -1.2009436665106
BRD9 1.02030068971827
TBPL1 1.05470369668507
ARNTL2 3.49219856623886
ANK1 1.39147593388045
IBSP 3.64336988963403
HMGB3 2.71377423377825
BAK1 1.21739764288755
MUSK -2.73084612042385
ARHGAP31 -2.58212136392355
CENPQ 1.32371763932731
TSSC1 1.15676602705588
PNPLA6 -1.43081738039803
LRRC7 1.61352539510442
UBA6 1.1523141823608
GAB2 -1.73553339579221
APBA2 1.79555195759072
