Genes log2FoldChange
TNMD -3.03612386178406
AOC1 -2.07020963945855
WNT16 -1.1354203579476
HECW1 -1.08263435174076
KLHL13 -1.02102647117407
CYP26B1 -1.66152879766793
DBNDD1 1.39417753563619
CD38 -1.42673214968591
HSPB6 -1.22216618221046
PDK4 -2.71253616871726
SLC22A16 1.34896311186637
ZMYND10 2.14434822611142
ABCB5 1.05934201066049
ARX 1.13744342039701
MPO -1.13161619015816
SOX8 1.23942188839408
TMEM132A 1.65318392779131
ETV1 2.27539891563313
SCIN 1.02478716383136
PROM1 -1.36956013266505
CEACAM21 -1.31644920221157
SLC13A2 -5.81066114010454
MATK 2.47371595880434
SELE -1.17122328498703
NOX1 -1.53513228834804
E2F2 1.00413357921774
CAMK1G -1.37943673530531
TFAP2B -3.2489171423148
c(\CELSR3\, \MIR4793\) 1.82164544487951
MAPK8IP2 1.30536137854066
RHOBTB2 -1.06558621226221
TENM1 1.80617545917463
HFE -1.30199025772154
DPF1 1.16065055222382
DCN -1.0593080500261
GABRA3 -1.64926703666694
SLC7A14 -1.2898997239276
c(\GPRC5A\, \MIR614\) -1.07313450381424
MAMLD1 -1.49568391251257
DPEP1 1.86894688277623
CHDH 1.05402753090293
CLCA1 3.84086685745725
CLCA4 -2.51521514712282
SLC38A5 -1.04186677018326
CNTN1 -1.26352272921068
ATP1A2 -1.61770393629572
MARCO -1.09736115120168
CYP24A1 -1.09738980644273
SNAI2 -1.56231689207436
PLEKHB1 1.02107191287993
SERPINB1 -1.10937185063998
NRXN3 -1.25137943117909
CPS1 1.91643526505437
FHL1 -1.47501469094216
GABRA1 1.62465452624874
GRAMD1B -1.58223236113422
EHD2 -1.11171458960013
MIPEP 1.62376071072271
INSRR -1.01734229107984
LRRC7 1.28753552173039
APBA2 1.12019983207936
EFCAB1 -1.03582268318541
VCL -1.32371026980464
DEPDC1B 1.52366935065837
DNAH5 2.28333617988896
CAPG -1.18472073161941
TG -2.828392498281
ZIC2 3.57126990218053
ADRB1 1.00178954067489
GPM6B -1.18840866877919
WWC3 -1.17091722466916
ROS1 -2.31318329744197
LMO3 -2.04960284952569
COL9A2 1.94719540160196
KITLG -1.23461936259045
DKK3 -1.06517262673653
NFE2L3 1.05259787036223
PTGER3 -1.05486742117622
COL23A1 -1.23971491867624
RAD51 1.00244187256824
POLQ 1.14574484851218
ALX4 1.06942212984315
METTL24 -1.45864563587089
NNAT 1.62746801681039
KCNQ1 -1.56705259618534
LY75 -1.15650652268899
CBLN4 -2.24259731289511
CCDC85A -1.67377685642907
NPFFR2 -4.24526663212577
PHF21B 1.40223250586439
SERPINB3 -1.21843815175858
F7 -1.29864220593729
RASGRF1 -1.48594303273207
ATP2B4 -1.37802046307478
DGKG -1.311242396731
TARBP1 1.05522707311265
COL11A1 1.59665056895561
PRDM6 -1.07448119753557
SEZ6 1.57540954190901
WISP2 -1.57509223759315
MCM10 1.03161114859955
ROPN1 1.47239061549004
MYLK -1.94041432760746
c(\COL17A1\, \MIR936\) -1.87451329492047
ME1 -1.62790455994721
CTNNA2 -1.03543371015387
ASPM 1.39698166622477
FGFR2 -1.42800566562199
TRO -1.11559919320305
ACSL4 -1.08397293774813
REEP1 -1.09214694835446
PYGM -1.30553175861752
PITX1 -1.16134634146229
TRPC7 1.79357756554222
GAL 1.76032553831887
TGFBR3 -1.49139631326948
GUCY2C -1.37136898782989
FGF10 -1.93818415172023
FGF22 1.073975255266
ST6GALNAC2 -1.45797899142199
CHAT 3.3261010944323
CAMK2A -1.33041932319225
EPHA8 2.46025112007396
TRPM5 -2.67919116145557
TRIP13 1.11679183604525
LIMS2 -1.14782693673494
c(\SPEG\, \LOC100996693\) -1.11752587213101
HMMR 1.39217066017222
TRHDE -1.69499206356489
c(\NDE1\, \MIR484\) -1.7063178728694
MRVI1 -1.28570185478562
CYP2W1 -1.36543961459097
MOV10L1 2.2194719045086
TP63 -1.76667275509351
FERMT2 -1.29001092888898
CD5L 4.18795416733162
PTGS2 -2.65583362200592
CDHR2 1.46535580414996
CA12 -1.35740598112569
WSCD2 -1.38188953518542
TACR2 -1.11148747039156
SEMA3A -1.62999041525809
GTSE1 1.52089401405924
SEC31B 1.10473175948715
PAX2 -3.69518615939627
REXO2 1.03550795971326
RGS11 1.68127893956492
SPAG5 1.1906156974971
c(\MCAM\, \MIR6756\) -1.03598005199778
RAP1GAP 1.29862908177768
CTTNBP2 -1.44948814487483
PPP1R12B -1.23571208071801
PAK3 -1.71181577121728
CAPN6 -1.97682991551671
SMC1B 1.24230982847041
ITGA8 -1.0586335525877
AMPH -1.10513882003655
RBFOX1 -1.61939518415085
ADCYAP1R1 -1.53244260158269
TNS1 -1.38142364169827
PTPRH -1.64040745037356
EPHA6 1.01609816671545
SLC4A4 1.06345064439274
KCNN2 1.04779538053056
AFP 2.58108699513966
CDH7 1.13378342311604
PCDHA6 1.19335483077865
PGR -1.42772564074392
C1QTNF3 1.29367138073713
COL19A1 -1.37051013278099
TRPM3 -2.02204978593054
P2RX5 1.54845733348959
GSTP1 -1.90735001308385
SLCO1A2 1.91527982381429
NKAIN1 2.24823677968864
APOB -1.27716865671976
MECOM -1.37485873144373
AKR1B1 -3.46719935145183
c(\FOLH1\, \FOLH1B\) 1.70575398843949
HBQ1 2.83965475883304
CEACAM6 -1.50233993130902
FAT2 -1.8009495161913
HSD17B2 -1.14622743737423
PPEF1 1.19895520633404
NOX4 1.97578294111634
LPCAT2 -1.59224725593316
GNAO1 -2.27136715363009
TPX2 1.52293151034406
DOCK3 -1.25778250013223
TMEM40 -1.74163670278598
C20orf194 -1.01458340692734
CPXM1 -1.04851228849538
RPH3A -1.29387803539136
TBX5 -1.74184835983652
NOS1 -1.53945115280056
HEPH -1.20973006694904
KCNH4 -1.31037220116744
BIRC5 1.87939051365965
c(\IRAK3\, \MIR6502\) -1.10192591741008
THPO 1.48393411465755
CHRD 1.14432549207829
EFNB1 -1.24416613651073
KIF4A 1.77977875098098
DLL3 2.03712038815838
SLC26A3 -4.29341827898666
IL5RA 1.85372087370992
ZAK -1.14191209367827
APOH 3.2165650497835
ORC6 1.02507993500105
CPA1 -1.26572695724842
CD200 -1.16753432493375
CCDC80 -1.22549107727468
JPH4 -1.97073873674251
RPGRIP1 1.25291943983664
TGM1 -1.30386719580872
CDC45 1.3156019279127
GABRP -1.14243763032642
PTGS1 -2.50305423963388
CYP26A1 2.04185838659796
TDRD1 3.16205881015287
SORBS1 -1.47300312910601
CRTAC1 -3.90672937396549
IL11 1.26530181531106
MYO3A -1.32802452853842
PGC -1.4601461279516
PRTFDC1 -1.114674861417
EFNA2 3.11122753878816
AMELY 1.18419028982605
HCN2 1.40588604112213
IZUMO4 1.05189497762344
MADCAM1 1.3807773177176
SERPIND1 1.25984443169038
MMP11 1.30064644073724
CECR2 1.1692325894144
P2RX6 -1.2559930087249
YPEL1 1.00521373267218
PRODH -1.21644875419057
PLA2G3 -2.32694150655405
SLC16A8 1.42317772855305
CENPM 1.58716949594494
DMC1 -1.10981368514252
RSPH14 -1.49529602116509
TIMP3 -1.10718725073583
MIOX 1.99378314800729
NEFH -1.23606745537303
BIK 1.05709344127512
CACNA1I 1.84134820911006
CERK -1.09981706648797
MLC1 -1.8993707004647
KCNK10 -2.01850493600511
PYGL -1.00220953782523
TRIM9 -2.03202123238104
CDKN3 1.26133506429282
ASB2 -1.43149569577536
SERPINA4 -1.33264521581871
EFS -1.20433272233967
CPNE6 -2.09628873278784
