Genes log2FoldChange
CFH -1.65477799385528
LAS1L 1.2206874307176
SEMA3F 1.19606413244341
AOC1 -1.28823898762855
WNT16 -1.94927901026372
CYP26B1 -1.35607008908588
ICA1 1.25948334151349
DBNDD1 2.58373105628866
TFPI -1.13397490175986
MTMR7 -1.28615924082847
SLC7A2 -1.38479701152513
FKBP4 1.00920952643765
HSPB6 -3.51420270259754
ARHGAP33 1.34000583408301
PDK4 -3.41967834234821
ABCB5 -3.68860910668909
PRSS22 2.72979246526552
MEOX1 -1.57007429137353
THSD7A -1.70728142631245
COPZ2 -1.1881681222523
PRKAR2B -2.5521982365983
WDR54 1.01282697616821
ITGAL -1.0329376205495
C19orf60 1.52065205724014
ABCC8 -2.4708373427794
TMEM132A 2.51489782133411
TNFRSF12A 1.69815838100366
DLX6 4.20551048334145
GGCT 1.17699226498118
DBF4 1.02457063581202
GTF2IRD1 2.46407198527145
ARHGAP44 -1.77585766823265
SCIN -1.75943503860636
SLC13A2 -2.02071696520323
GAS7 -1.8258574501165
CEACAM7 -2.98330661820235
CD79B -2.69491762404094
SCN4A -2.58880911115248
RPUSD1 1.53016938885839
RHBDF1 1.1623449030846
LUC7L 1.0847413381189
FMO3 1.50721633584745
c(\CELSR3\, \MIR4793\) 3.11121715865244
TENM1 -2.25375135642421
MLXIPL 3.53590912737716
ETV7 1.85194935320467
SEMA3G -1.59584323824735
BTK -1.82240459672342
NME1-NME2 1.04310196644831
ANOS1 2.27087128581803
AKAP8L 1.04614486901019
DPF1 1.66322254040048
SYT7 2.1690839711211
ANLN 1.89992060575919
DCN -2.21583226884823
QPCTL 1.15718543801454
BRCA1 1.09589957476638
c(\CD22\, \MIR5196\) -3.22769505007815
PRICKLE3 1.28212220015605
LTF -2.01310745573599
NR1H4 -2.02531958453904
SLC7A14 -4.43004185465353
c(\CLDN11\, \LOC101928583\) -1.94941301760476
SLC25A39 1.08180115296512
DDX11 1.68907339584743
ZC3H3 1.07753603025375
DPEP1 7.64417198331578
BID 1.05764260148037
NPC1L1 3.99217836255612
STMN4 -4.83445741949535
CHDH 1.10997748070196
IL20RA 1.57359513977217
CLCA1 -2.55211348773873
CLCA4 -4.78250085648828
IGF1 -1.81906601652815
SLC38A5 2.38119888227864
CNTN1 -3.31873839517283
SLC11A1 2.50354970317497
