Genes log2FoldChange
C1orf112 1.30597422511137
NFYA 1.02887567397173
CFTR 1.35159672547084
ANKIB1 1.25129482512358
KRIT1 1.14379026789703
HECW1 1.1982365648193
TMEM176A 1.00386555557194
ICA1 1.0362900736253
SLC7A2 1.35583772284301
PLXND1 1.13195028918516
HSPB6 -2.39760478999882
PDK4 -2.37812217775366
ZMYND10 1.23389027351648
SLC25A13 1.03185538358713
CALCR 2.11075441697922
PRSS22 1.04006447932319
HOXA11 5.00012436396683
DHX33 1.04958922896367
COPZ2 -1.00689391281389
PRKAR2B -1.27423885820134
MPO 4.49284331854604
PON1 3.1914538964366
SOX8 1.63398104390933
ZNF195 1.47324073926577
ASB4 5.33352304250302
YBX2 1.62750710725693
TMEM132A 1.44167297402746
AP2B1 1.02865697037731
TAC1 -1.85088269193604
TNFRSF12A 1.33967600072856
DLX6 3.43495065188093
BAIAP2L1 1.03968739821234
TTC22 -1.02532628161336
CCL26 2.5400545078346
GGCT 1.2826158377621
DBF4 1.8940446137404
SCIN -1.58007965647688
PRSS21 3.68533663575797
PROM1 1.4886860861985
DNAH9 1.60223553496245
SLC13A2 -2.70955710162396
TKTL1 5.98843290207767
NOX1 5.07635515371423
TFAP2B -4.03962718395004
ADAM22 1.31941843729011
c(\CELSR3\, \MIR4793\) 2.98609114109676
MAPK8IP2 1.61135367372948
IYD 1.32900050163062
MLXIPL 1.84359918149228
NCAPD2 1.38229463128392
ZNF200 1.0420791684423
FMO1 1.82559693008647
NME1-NME2 1.15007945761063
SLC6A7 1.36589080409251
ANOS1 1.96094622600421
UTP18 1.39118456445562
DPF1 2.00958317859281
SYT7 1.88189704697649
PLAUR 1.18932685135071
ANLN 2.4593027881402
DCN -1.04489341878271
GABRA3 3.1133253881542
BRCA1 1.79585546426403
LTF -2.61263028935892
NR1H4 -1.30306970189456
EHD3 -1.4781833603557
DDX11 1.554727608951
c(\GPRC5A\, \MIR614\) 2.32701309460707
TACC3 1.58173061104912
ZC3H3 1.00089962192331
ACPP -1.29691323758824
MTMR11 1.14431208395948
BID 1.24464256188724
NPC1L1 -1.27202794264673
CHDH 1.4911107463179
CLCA1 -3.144733637274
CLCA4 -3.824332786992
ATP2C1 1.05647622997175
SLC38A5 1.28821131820844
CNTN1 -1.70112623533124
SLC11A1 2.08798258984173
ATP1A2 -2.70532422980675
VSIG2 -2.23700659483197
CYP24A1 3.83363614692064
SYT13 2.20764845154243
MRE11A 1.01289183570679
SLC7A9 -2.29778348164258
NRXN3 -1.58445343023833
FHL1 -2.23470986492066
NLRP2 1.25658149378195
PLEKHO1 -1.1139429776873
DEPDC1 2.06707248288505
TYMP 1.38376239017376
TOMM34 1.50431898477908
c(\RTEL1\, \RTEL1-TNFRSF6B\) 2.06831305443249
SLAMF7 -1.00771985222619
MIPEP 1.00172922522476
SH2D2A 1.13869130195987
ANK1 1.86418674608948
IBSP 7.58208671694657
HMGB3 2.04008857690489
NUP160 1.17622219650004
IKZF2 -1.00204119887066
CENPQ 1.22886326260241
MYOC -4.62827251305063
DEPDC1B 2.16082058312746
MYOM2 -1.2892406817716
OTC -2.24127882042464
USP2 -1.92891109278132
NSUN2 1.1762772243029
METTL1 1.24855337774438
HOXC8 4.12205377045537
VCAN 2.11415140506665
MSR1 2.38553757687264
DNAH5 2.15687282829294
RAI14 1.23741880924138
SOX30 1.24544031954549
BEST2 3.68011489994651
SPDL1 1.5794588674534
RTN4R 1.45922487799184
LSG1 1.23090587176658
USH2A 1.19680448230731
TG 1.09058976160652
BARX2 -1.59780602672556
ZIC2 3.70452573924078
GUCA2B -3.85890934332006
DSG2 1.34535610808507
GPM6B -2.44174736462724
MAGEC2 8.11805080754443
CP 2.01275401488842
SCML1 1.71027253712835
ROS1 4.05040808170403
CC2D2A -1.00566888890532
RRM2B 1.02974561897995
TNFRSF17 -2.52556352858748
LMO3 -2.03861970759759
GUCA1A 1.67862547892756
ADAMTS6 1.2202417844433
PER3 -1.06023176350564
TNFRSF9 1.72395510445949
c(\RCN1\, \DKFZp686K1684\) 1.42203120652658
FOXP3 1.32842613264819
KIAA2022 -1.79029295987703
NFE2L3 2.690970866812
SLC4A8 1.0958699396856
TNIP3 1.36234513196931
COL23A1 -1.33925142036074
RAD51 1.80707634571844
POLQ 2.39199994500939
MPHOSPH9 1.14259434731952
RRP12 1.36376021134164
ALX4 1.00607268270211
METTL24 -2.19160492749731
MRTO4 1.11903573860586
NNAT -2.04644639291981
LAMA3 1.39120078810222
ENTPD2 1.06179076088187
LY75 1.17347514494866
FOXC1 1.5718054570342
RELT 1.28349043661112
NOP58 1.39815016389628
KCNH2 -1.25585076079383
ITIH1 2.6237669595207
ZNF280C 1.23760218639191
NPFFR2 2.2193162223524
IL17RB 2.31643795305167
GYG2 1.02011729478647
SERPINB3 -3.96170181387055
PKP2 1.02225765877437
MSH4 2.09910201817372
F7 2.19064945205724
LAMC2 2.79455706325739
RASGRF1 1.54156420809585
ATP2B4 -1.20038183660381
NDC1 1.66917260330837
DGKG -1.43272434130508
TARBP1 1.54705957653416
MXD1 -1.10019491838836
PSD -2.46483132028151
GNA15 -1.17463733394939
CREB3L3 -3.29650220083811
PTPRU 1.94268463596637
COL11A1 6.6565698838812
BCAT1 2.02328983497882
LZTS1 1.32488239588751
MRPS35 1.01625498822846
CDH3 2.10510816113809
c(\VMP1\, \MIR21\) 1.15765170201701
POLD1 1.48871672318485
SEZ6 1.75355500101107
CA11 -1.0143444372482
CASP8 1.09036485798188
ASUN 1.19804780092054
WISP2 -2.65852962608869
ATP2C2 1.14072794204573
CDON -1.4054660872632
TAF2 1.06984852707825
SLC12A2 1.1914447896879
SNCAIP 1.35219302927881
FAR2 1.43547835219275
WDR3 1.06965516346649
NTN1 -1.74444517435021
GLP2R -1.48799061019664
MCM10 2.59837924007918
ADAT1 1.03896233889411
MYLK -1.70683898690057
TMEM206 1.44814239633156
SNAP91 -1.43403491566524
SEC61A2 1.17382044693747
MTHFD2 1.61108053131801
ASPM 2.49337019163427
CD84 1.4721432401429
MPPED2 -1.44412206822513
EML1 -1.29967664681529
KIF26A 1.66584781496946
ACSM2B 2.47441361002002
PDZD4 -1.9565936335945
CBFB 1.40976059985309
PRR11 1.89694464879219
REEP1 -1.48567256823407
