"Pair"	"pert_iname"	"target_chembl_id"	"chembl_target_name"	"standard_type"	"Median"	"uniprot_ID"	"target_gene_symbol"	"Drugs"
"daminozide_CHEMBL1293226"	"daminozide"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"IC50"	1e+05	"B2RXH2"	"KDM4E"	"daminozide"
"dopamine_CHEMBL1293226"	"dopamine"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"IC50"	3000	"B2RXH2"	"KDM4E"	"dopamine"
"fenoldopam_CHEMBL1293226"	"fenoldopam"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"IC50"	3000	"B2RXH2"	"KDM4E"	"fenoldopam"
"GSK-J1_CHEMBL1293226"	"GSK-J1"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"IC50"	19952.62	"B2RXH2"	"KDM4E"	"GSK-J1"
"methyldopa_CHEMBL1293226"	"methyldopa"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"IC50"	3000	"B2RXH2"	"KDM4E"	"methyldopa"
"tranylcypromine_CHEMBL1293226"	"tranylcypromine"	"CHEMBL1293226"	"Lysine-specific demethylase 4D-like"	"IC50"	1e+05	"B2RXH2"	"KDM4E"	"tranylcypromine"
"tofacitinib_CHEMBL2343"	"tofacitinib"	"CHEMBL2343"	"Serine/threonine-protein kinase Sgk1"	"IC50"	10000	"O00141"	"SGK1"	"tofacitinib"
"cytarabine_CHEMBL4580"	"cytarabine"	"CHEMBL4580"	"Thymidine kinase, mitochondrial"	"IC50"	1e+06	"O00142"	"TK2"	"cytarabine"
"LDN-193189_CHEMBL5476"	"LDN-193189"	"CHEMBL5476"	"Bone morphogenetic protein receptor type-1B"	"IC50"	60	"O00238"	"BMPR1B"	"LDN-193189"
"PHA-793887_CHEMBL5443"	"PHA-793887"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"IC50"	10000	"O00311"	"CDC7"	"PHA-793887"
"PHA-848125_CHEMBL5443"	"PHA-848125"	"CHEMBL5443"	"Cell division cycle 7-related protein kinase"	"IC50"	10000	"O00311"	"CDC7"	"PHA-848125"
"NMS-1286937_CHEMBL2111377"	"NMS-1286937"	"CHEMBL2111377"	"CDC7/DBF4 (Cell division cycle 7-related protein kinase/Activator of S phase kinase)"	"IC50"	10000	"O00311"	"CDC7"	"NMS-1286937"
"alpelisib_CHEMBL3130"	"alpelisib"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"IC50"	290	"O00329"	"PIK3CD"	"alpelisib"
"AZD-6482_CHEMBL3130"	"AZD-6482"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"IC50"	80	"O00329"	"PIK3CD"	"AZD-6482"
"buparlisib_CHEMBL3130"	"buparlisib"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"IC50"	116	"O00329"	"PIK3CD"	"buparlisib"
"caffeine_CHEMBL3130"	"caffeine"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"IC50"	75000	"O00329"	"PIK3CD"	"caffeine"
"GDC-0941_CHEMBL3130"	"GDC-0941"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"IC50"	3	"O00329"	"PIK3CD"	"GDC-0941"
"GDC-0980_CHEMBL3130"	"GDC-0980"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"IC50"	6.85	"O00329"	"PIK3CD"	"GDC-0980"
"gefitinib_CHEMBL3130"	"gefitinib"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"IC50"	50000	"O00329"	"PIK3CD"	"gefitinib"
"NU-7441_CHEMBL3130"	"NU-7441"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"IC50"	30	"O00329"	"PIK3CD"	"NU-7441"
"NVP-BEZ235_CHEMBL3130"	"NVP-BEZ235"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"IC50"	11.5	"O00329"	"PIK3CD"	"NVP-BEZ235"
"palbociclib_CHEMBL3130"	"palbociclib"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"IC50"	10000	"O00329"	"PIK3CD"	"palbociclib"
"PI-103_CHEMBL3130"	"PI-103"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"IC50"	10	"O00329"	"PIK3CD"	"PI-103"
"PKI-179_CHEMBL3130"	"PKI-179"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"IC50"	77	"O00329"	"PIK3CD"	"PKI-179"
"sorafenib_CHEMBL3130"	"sorafenib"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"IC50"	50000	"O00329"	"PIK3CD"	"sorafenib"
"sotrastaurin_CHEMBL3130"	"sotrastaurin"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"IC50"	10000	"O00329"	"PIK3CD"	"sotrastaurin"
"TG-100115_CHEMBL3130"	"TG-100115"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"IC50"	235	"O00329"	"PIK3CD"	"TG-100115"
"TGX-221_CHEMBL3130"	"TGX-221"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"IC50"	551.5	"O00329"	"PIK3CD"	"TGX-221"
"XL-147_CHEMBL3130"	"XL-147"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"IC50"	36	"O00329"	"PIK3CD"	"XL-147"
"ZSTK-474_CHEMBL3130"	"ZSTK-474"	"CHEMBL3130"	"PI3-kinase p110-delta subunit"	"IC50"	5	"O00329"	"PIK3CD"	"ZSTK-474"
"GDC-0941_CHEMBL2111432"	"GDC-0941"	"CHEMBL2111432"	"PI3-kinase p110-delta/p85-alpha"	"IC50"	163	"O00329"	"PIK3CD"	"GDC-0941"
"NVP-BEZ235_CHEMBL2111432"	"NVP-BEZ235"	"CHEMBL2111432"	"PI3-kinase p110-delta/p85-alpha"	"IC50"	138	"O00329"	"PIK3CD"	"NVP-BEZ235"
"torin-1_CHEMBL2111432"	"torin-1"	"CHEMBL2111432"	"PI3-kinase p110-delta/p85-alpha"	"IC50"	564	"O00329"	"PIK3CD"	"torin-1"
"torin-2_CHEMBL2111432"	"torin-2"	"CHEMBL2111432"	"PI3-kinase p110-delta/p85-alpha"	"IC50"	17.5	"O00329"	"PIK3CD"	"torin-2"
"adenosine_CHEMBL5551"	"adenosine"	"CHEMBL5551"	"Sodium/nucleoside cotransporter 1"	"IC50"	5500	"O00337"	"SLC28A1"	"adenosine"
"amrinone_CHEMBL2652"	"amrinone"	"CHEMBL2652"	"Phosphodiesterase 2A"	"IC50"	7e+05	"O00408"	"PDE2A"	"amrinone"
"anagrelide_CHEMBL2652"	"anagrelide"	"CHEMBL2652"	"Phosphodiesterase 2A"	"IC50"	34000	"O00408"	"PDE2A"	"anagrelide"
"dipyridamole_CHEMBL2652"	"dipyridamole"	"CHEMBL2652"	"Phosphodiesterase 2A"	"IC50"	3600	"O00408"	"PDE2A"	"dipyridamole"
"papaverine_CHEMBL2652"	"papaverine"	"CHEMBL2652"	"Phosphodiesterase 2A"	"IC50"	9650	"O00408"	"PDE2A"	"papaverine"
"rolipram_CHEMBL2652"	"rolipram"	"CHEMBL2652"	"Phosphodiesterase 2A"	"IC50"	58000	"O00408"	"PDE2A"	"rolipram"
"sildenafil_CHEMBL2652"	"sildenafil"	"CHEMBL2652"	"Phosphodiesterase 2A"	"IC50"	10000	"O00408"	"PDE2A"	"sildenafil"
