Genes log2FoldChange
C1orf112 1.34468384832496
CFH -1.08581867514751
HS3ST1 -1.53537049736089
WNT16 1.89102065957
KLHL13 -1.93249083838064
DBNDD1 1.81663131839869
HSPB6 -4.40318276345384
ARHGAP33 1.10474002246745
PDK4 -3.33552986369438
ARX 5.26005209046969
MEOX1 -2.21667666562055
PRKAR2B -1.6903821213513
WDR54 1.13883257431528
ABCB4 -1.26136166359317
ITGA3 1.2131989591044
ITGA2B 1.56997190599498
KRT33A 3.22561878901946
ABCC8 -2.45084809696755
TMEM132A 2.34984964326662
CX3CL1 -1.26605070209091
DLX6 2.72529775549648
GGCT 1.24980076166644
DBF4 1.43088498089634
GAS7 -1.92481514049164
CD79B -1.38178391342976
SELE -2.40384511600739
FMO3 2.32112645083577
E2F2 1.83010639824536
CYB561 1.33279138179179
c(\CELSR3\, \MIR4793\) 2.77101287852146
NFIX -1.90964546556659
c(\PKD1\, \MIR6511B1\) -1.2057075688364
MAPK8IP2 2.37578106282684
REV3L -1.2172286126654
IYD 2.27758641437576
ETV7 1.32479802709696
NCAPD2 1.30865482252765
IFFO1 -1.05611409846623
SEMA3G -1.59624990594059
FYN -1.20223926419183
DPF1 2.19761338883921
SYT7 1.87990923063493
ANLN 1.19753742123423
DCN -2.47136490681571
BRCA1 1.5881545573722
SLC25A39 1.15730095352042
DDX11 1.42768440839935
CD6 -1.10190705835994
TACC3 1.98702377644296
POLA2 1.19968732502853
BID 1.33808716308388
CHDH 1.32626213475392
CLCA4 -2.16342492753685
IGF1 -1.79904275384029
CNTN1 -2.74324257599915
SLC11A1 1.09181475910492
WWTR1 -1.76576464176778
ATP1A2 -4.37474244361416
SYT13 4.61491186187753
ADGRA2 -1.74267593270892
SAMD4A -2.01455746090925
SLC7A9 1.39380928234977
FHL1 -3.94315391098284
PLEKHO1 -1.15571471945952
DEPDC1 2.16257251798699
HSD17B6 -2.29104388478974
TYMP 1.7278814337151
KCNG1 2.98552715692988
INSRR 3.38472517015351
ARNTL2 1.3165742366301
IBSP 5.33457572669544
HMGB3 2.09286447992457
FAM13B -1.15028722170828
LRRC7 -1.68994252159849
APBA2 1.33284722235322
TMSB10 1.03932262084091
MYOC -5.28422099921308
FAM136A 1.01874072464282
VCL -1.55002276815783
DEPDC1B 2.35504693447726
TIMP2 -1.02353295529302
MYOM2 -2.52987520611309
CYP46A1 -1.26368045042025
USP2 -1.77666626533455
HOXC8 3.22665959173221
SPDL1 1.07296529338542
PQLC2 1.36607612612584
RTN4R 2.40045122737349
CAPG 1.07791405995146
USH2A 3.08979426011601
TG 2.31052351579091
ZIC2 2.54869504088228
TRIT1 1.11287939250755
EPHA3 -2.42199492362096
GPM6B -1.5583405309951
PREX2 -1.78059117607577
ARHGAP6 -1.8247318379783
ROS1 6.58669142574285
CC2D2A -1.46759280175747
LMO3 -3.40404108602923
GUCA1A 2.61041308946619
CELF2 -2.36134507582814
PER3 -1.29111526713649
EPN3 1.1480313361698
ELN -1.96949583788482
RFC2 1.21508111788652
KIAA2022 -2.11072978302736
NFE2L3 1.70991179687757
LAMC3 -2.38643071449685
PTGER3 -1.86886643855887
HOMER3 1.33400039212594
RAD51 1.98591993641674
POLQ 2.55098907170989
PRSS8 2.25619279851314
FOXN3 -1.34871571313162
METTL24 -3.29328240196278
ENTPD2 1.47381778589588
OPN3 1.19654699373888
PTPRN 3.06827042663413
KCNH2 -2.2647731061432
IL17RB 1.54151988688952
PRDM1 -1.42550572741341
LAMC2 2.87475039584026
PPP1R12A -1.64182445431962
RASGRF1 1.805291243836
CAMK2B 2.7511697457203
ATP2B4 -1.73464833798656
NDC1 1.19275858899188
DGKG -1.9820456993429
PARP12 1.32551722288725
TARBP1 1.21002808884399
SLC2A3 -1.42443649501317
PSD -3.32861474070533
COL11A1 5.96987174934692
BCAT1 1.54895154037792
PRDM6 -2.99171927934477
SPAG4 1.76499105444299
CDH3 2.78979736430091
ARSF -3.13926152497864
POLD1 1.53670792620608
SEZ6 3.83348330233096
DLX3 2.15619081174901
WISP2 -2.23580504172613
DMRT3 3.18804453392249
CDON -1.91343899950857
LPAR2 1.0317818010402
NTN1 -1.41311675666119
GLP2R -4.87043913617821
MCM10 2.23134973272353
ERBB3 1.0677411082887
MYLK -3.90093395607222
TMEM206 1.61781041819682
SEC61A2 1.13558562879285
MTHFD2 1.11668092851395
SLC9A7 1.16277520985107
ASPM 2.47160228499237
MPPED2 -1.39948931469198
EML1 -2.0899584040765
KIF26A -1.05482097632665
KLF6 -1.41285264078417
CACNB1 1.14600050250812
PRKCZ 1.10323411693969
NAV3 -1.63380813441625
PDZD4 -2.3486989051155
HDAC4 -1.78721336248566
COASY 1.04108834015357
INPP5A -1.05355898129429
PRR11 2.16566955092952
REEP1 -3.48619773766015
ATP11A 1.02854571409118
STON1-GTF2A1L -3.02834687325784
RASGRP2 -2.19766922399608
PYGM -4.38978810897323
PAGE1 7.0447979530548
PITX1 -1.31304232873504
ABCC9 -2.20372876832867
GAL 4.29340022165257
MAOB -2.93679249227897
RORA -1.09505390547927
TGFBR3 -1.94144209188815
HES2 1.89032818585754
FGF10 -3.55743330879129
FGF22 1.92063488424273
CNGB1 3.91318487781251
c(\PABPC1\, \MIR7705\) 1.10551354302685
CAMK2A -3.40052385375938
EPHA8 3.86301816047328
SLC12A3 2.81506328169811
RAD18 1.21474492581362
ARHGAP10 -1.25486702195898
RPS6KA2 -1.5165198678607
LMCD1 -1.71166657121243
TRIP13 2.25095765445645
TCF3 1.13300794757766
CYBRD1 -2.04487593829825
CDH19 -2.66579510641319
ACTN1 -1.17436171730457
LIMS2 -3.13208027389339
c(\SPEG\, \LOC100996693\) -2.7993015561442
TFRC 1.3350115382678
SREBF1 1.25366003826456
HMMR 2.25893180202951
EVC -1.24216287732502
c(\NDE1\, \MIR484\) -4.26136486655728
MRVI1 -2.7800039549614
SCARB1 1.08912622229698
MCM2 2.01675219860502
MOV10L1 1.5665629124124
PANX2 1.48424842404191
LLGL2 1.07912204619646
FERMT2 -2.5059558889454
PTGS2 -2.11613264416093
IGF2BP2 2.49788786052944
FRY -1.13977922272906
GLI2 -1.16670004804939
CDHR2 2.58372085372075
MGLL -1.75637247226635
ENO1 1.0787156933089
ANO8 1.0461653940884
TACR2 -4.10450879439451
SEMA3A -1.54444877071112
GTSE1 2.58079169672841
CACNG4 2.98953347804281
FSCN1 1.54394307214119
MOCOS 1.06804944584502
ATP12A 3.15003997302997
WDR62 1.66239263651413
TUBA3D 1.84185102847732
MCM6 1.15437279742613
UNG 1.08329135228111
SPAG5 2.28715696606734
ACACB -2.50218809531737
c(\MCAM\, \MIR6756\) -1.70092752317813
ACTL6B 5.52593170303957
UBE2T 1.9764184915298
PPP1R12B -3.57263230880301
SPAG6 2.64445672697236
ACTN2 -4.04047328453984
NAALAD2 -1.01735379653818
FGFR1 -1.83949088337803
SMC1B 3.15993839485439
ITGA8 -3.23904718496502
AMPH -1.13961390093343
FAP 1.77193997947426
ADCY2 -2.09899819837435
ADCYAP1R1 -2.62453374460489
ITM2A -1.90766179073866
PKD2L2 -1.09406554857038
TP53INP2 -1.98113896391854
MYH7B 2.57110114635262
TP73 1.81598770842928
CLUL1 1.18841715243974
RUNX1T1 -2.34914849820893
TNS1 -3.949289321155
PAFAH1B3 1.70845192666376
KIF22 1.29168455410172
EPB41L2 -1.16949162474845
EPHA6 -2.46806821639589
SCTR 2.97483297991723
MID2 -1.03604669720705
COL5A3 1.22682637494606
KCNN2 -1.95735622482467
RBL1 1.35201985086403
IGSF9B -3.18882110512461
NDC80 2.10745837967567
CXCL2 -2.06730622629382
COL4A4 -1.85705234538056
MEF2C -1.65869604888137
LRP2 2.92742526727716
DUSP12 1.01733172706854
IL12RB2 2.15564982362536
PGR -3.25721843062949
COL19A1 -3.79968608044704
KCNK2 -2.15378101333318
ERC1 -1.02430424502423
PALB2 1.11773303694666
GRHL2 1.02782105551935
PLOD1 1.10957313446411
EPYC 5.81157690578863
SLCO1A2 2.56195480723924
EFR3B -1.22544665683416
KIF3C 1.33536478114681
GCKR 2.41166844683978
CAD 1.05466734355935
FCN1 -1.50958589700726
IGSF9 2.25540100787087
ABCB1 -1.82432459563788
AKR1B1 1.55727541726602
ORC1 2.26973235430015
RAD54L 2.07884911221188
EIF2AK1 1.09986559595859
SNX10 1.85043365200588
PPEF1 1.94816691439892
PPP1R15A -1.24477130877362
TMPRSS11E -2.10030031819052
CETP -1.06971262621167
GNAO1 -3.06897351390909
SH3BP2 1.11085350049489
KLHL42 -1.23540363567535
PTHLH 2.06924615022415
AURKA 2.53423195003523
RFX2 -1.24584503823331
SULT2B1 -1.44690017703161
GP6 2.64461022240859
DNMT3B 2.30516594655509
TPX2 2.59039556006891
FER1L4 1.98349555583121
PDRG1 1.21180550116766
SLC15A1 2.63866925706999
C3orf18 -1.22035419587361
SLC4A11 1.12905637714957
CFAP61 1.4915303534659
LHX5 4.66746153067128
OAS1 1.12462496766234
TBX5 -2.71527743752756
HEPH -1.75731941602202
CDIP1 -1.10284914035731
CMTM1 1.31779315712855
BIRC5 2.0833411964073
LTBP4 -2.37211885708751
RGS1 -1.02118141957714
SI 7.70294488709522
TFAP4 1.27498441621732
DNAJB11 1.09788350636376
KIF4A 2.47944215666879
DLL3 3.58159130030409
NAT14 1.2622521337187
POU4F3 4.28777949740598
PUS7 1.14407327485993
NRCAM 3.0839078455817
ZAK -2.73754971965238
SMPX -3.13168869528415
MYO15A 2.01273592704587
APOH 6.97170843598909
ORC6 2.16852137075619
ZFHX4 -1.78552739648271
ESR1 -2.59201273003589
CD200 -1.53415990957504
CCDC80 -2.48401230111568
CMA1 -2.96856394168632
RPGRIP1 1.04040879413295
TGM1 -2.3011326087141
WDR76 1.34794004211056
TBX15 1.38729239197505
TEKT2 2.03635991113484
CLSPN 2.07458393781805
UNC13D 1.76969229560707
DPYSL2 -1.33889243069329
CDC45 2.30003655987935
XYLB 1.33970331573773
KRT31 4.06338998667079
CDC6 2.15158042243149
MSH2 1.13009697027268
PTGS1 -4.00707920724262
TLL2 2.68191315493336
CYP26A1 3.10258166154314
SORBS1 -3.9764014078723
CREM -1.28293602869958
TPSD1 -2.37872743561325
SMIM24 2.9048379016625
TREM2 2.06771489417239
CRISP3 -2.92761782677642
FKBP5 -1.11691341570165
PGC 4.33517600784328
ITPR3 1.56873043602431
ABL1 -1.35703579903572
CDC7 1.73052157601316
PCSK5 -1.06935733206158
SCD 2.0439925177313
ABLIM1 -1.45115653062039
HSD17B7P2 1.16549190743645
CATSPERG 1.04354438023511
MAGEB2 6.43991482045567
EFNA2 2.56424910902814
IGFALS 1.90263981320375
