Genes log2FoldChange
TNMD -3.60520383546417
CFH -1.32523626471881
SEMA3F 1.11911287766133
AOC1 3.48354543198251
KLHL13 -2.69002557747666
CYP26B1 -1.94859635104087
DBNDD1 1.83099584596469
TFPI -1.77872975109852
SLC7A2 1.22211308619606
FKBP4 1.40089264246619
HSPB6 -4.36541131560064
PDK4 -3.37152394855812
ZMYND10 2.46482310631065
ABCB5 -3.55862770816973
ARX 1.48327247070419
CALCR -1.16470100518788
PRSS22 1.3543519973858
SKAP2 -1.15527562706335
HOXA11 1.23472280472565
MEOX1 -2.55877382541738
THSD7A -1.19167531766745
PRKAR2B -2.27162700922133
MPO -1.10544449441829
WDR54 1.01657582092289
MYCBP2 -1.11939910577903
ASB4 -1.98212499082738
TMEM132A 2.06212910903532
TAC1 -1.53121941320656
CX3CL1 -2.47046221076483
CACNA1G -1.25194466663983
DLX6 2.11050298585647
ETV1 -1.16004876747709
GGCT 1.31506084673916
DBF4 1.13848363788569
GTF2IRD1 1.08081315330825
SCIN 1.16625895902044
MYH13 -2.29529575186096
DNAH9 -1.43378559982375
SLC13A2 -1.94196128922788
GAS7 -1.0118725314105
CEACAM7 1.88662919567427
SCN4A -3.19787004475952
RPUSD1 1.33818243636648
CACNA2D2 1.04847255290309
PIGQ 1.20398146510496
SELE -1.41929009443378
E2F2 2.49072748036961
SYN1 2.10424317389564
CAMK1G 1.06607815011711
CYB561 1.23409902083401
c(\CELSR3\, \MIR4793\) 2.42402339493476
AASS -1.74416193359191
MGST1 -1.04291683464611
MMP25 1.14810479466594
IL32 1.11526485491233
MAPK8IP2 2.6373863103372
TENM1 -1.5108680543587
PAX7 4.01709246233603
MASP2 -1.31057317443706
MLXIPL -3.31180490356676
ETV7 1.93947356221664
HHATL -4.21201066650536
SEMA3G -2.70215246069908
DPF1 1.2445030702511
SYT7 1.01044320495171
PLAUR 1.69324582540282
ANLN 3.31135257490832
DCN -1.94307835193541
CEP68 -1.1455172350642
ZBTB32 1.27276895394102
GABRA3 4.77357227779581
BRCA1 1.05164816015579
CALCOCO1 -1.0212952906953
c(\CLDN11\, \LOC101928583\) -2.46532953348639
SLC25A39 1.13187197321014
c(\GPRC5A\, \MIR614\) 2.33338174278719
CD6 1.09989629307364
TACC3 2.3257514625177
ZC3H3 1.01626242702962
DPEP1 2.44711782912467
CLCA4 -3.39619409020714
IGF1 -2.13759081122123
SLC38A5 1.69220650132481
CNTN1 -1.04008164525642
SLC11A1 1.41249026330917
ATP1A2 -4.0830223506668
c(\PHLDB1\, \MIR6716\) -1.13573071941983
MARCO -1.4831911057361
PRDM11 -1.07974216967147
SYT13 4.93695031577935
HGF -1.05050626526391
ADGRA2 -1.09772910240128
SAMD4A -1.55924472145111
CPS1 -1.11863913385068
FHL1 -4.57780934670462
GABRA1 5.83476330754815
NLRP2 1.19403418434515
EHD2 -1.8257952552807
DEPDC1 3.1767572646028
RRAGD -1.1129648521993
HSD17B6 2.49130554177604
TYMP 1.83935258319945
VIM -1.31510091152032
KCNG1 2.22391677411346
SH2D2A 1.61395543991941
IBSP 7.81681990114344
HMGB3 2.35469497082427
BAK1 1.02264520904263
ARHGAP31 -1.06917309277822
FUT8 1.0026709328155
EFCAB1 -2.401399324117
MYOC -3.47739856940094
