Genes log2FoldChange
C1orf112 1.76640007735824
SEMA3F 2.34748022053471
KLHL13 -2.55008405640896
DBNDD1 3.13686722443554
AK2 1.10681565126634
FKBP4 1.6307806411036
HSPB6 -5.93493960973827
PDK4 -4.29835354595509
HCCS 1.38351725354467
SLC25A5 1.84516288060474
HOXA11 -3.45606321762498
MEOX1 -4.12163866544346
THSD7A -3.21760949897179
PDK2 -1.18200267265396
TMEM98 -2.01860008203794
KRT33A 14.6008344314241
TMEM132A 2.41978920893146
MAP3K9 3.95873957472694
BAIAP2L1 3.16151731540654
TTC22 3.28464992420668
GGCT 1.5709853885843
DBF4 1.82672961362355
TBXA2R -2.37353098965661
GTF2IRD1 1.53778967483195
GAS7 -2.23825074683084
CD79B -2.68333989362602
E2F2 6.47047410853072
c(\CELSR3\, \MIR4793\) 4.17006911400637
PLEKHG6 3.63063409897127
NFIX -1.62485404086776
c(\PKD1\, \MIR6511B1\) -1.24603507153697
REV3L -2.27550032314404
TRAF3IP3 2.70970337565382
ETV7 2.91282439192468
NCAPD2 2.26294103785393
IFFO1 -2.04280125257366
SEMA3G -2.68667702675962
SCMH1 -1.24857673430346
FYN -2.09524675209779
CLCN6 -1.09183873836112
ABHD5 1.81195749835066
ANLN 5.96407360181755
DCN -4.43834080793608
CEP68 -1.50878134226947
BRCA1 3.0559538075519
PRICKLE3 2.06583988455053
CALCOCO1 -1.24471038238281
SLC25A39 1.40725270932855
DDX11 1.99919012814848
TACC3 3.58515647659315
POLA2 1.61352156589208
CAPN1 1.58058220185271
ACPP 4.05843389453879
ATP1A2 -3.87462671372846
ZNF582 -2.93726511398455
c(\PHLDB1\, \MIR6716\) -1.6156681934233
ADGRA2 -2.95824953419097
SAMD4A -2.32550192962332
NRXN3 -4.0526675157839
FHL1 -4.97922399135459
GLRX2 1.39509941692804
DEF6 2.52565249051568
PLEKHO1 -1.54447923643466
DEPDC1 5.83281298558611
HSD17B6 -2.7644662566649
TYMP 4.42045150170515
VIM -2.49296253528032
ARNTL2 3.59520315672777
IBSP 14.2431935407676
HMGB3 2.42271225233291
BAK1 2.12285555015401
IKZF2 3.06826817191213
ARHGAP31 -1.99984710032188
CENPQ 1.80901142136215
UBA6 1.77721957253209
GAB2 -2.21928543103355
FAM136A 1.57916759052115
VCL -1.49399956003692
DEPDC1B 5.33574897215153
TIMP2 -2.9713252722087
CYP46A1 -2.73859872870306
FLT4 -2.70310513908388
PI4K2B 1.47660437829485
CDH1 4.05856300917025
FAM65A -1.44890926735474
SPDL1 1.92267426056435
RAB27B 4.76171907860695
TDP1 1.50468690598702
SPATA7 -1.38828962488779
CAPG 2.06056840194361
AP2S1 1.48576968402116
ZIC2 9.10921655384123
DSG2 3.81327620039539
ARAP2 2.10017507596742
ANO2 -2.27814156857821
ARHGAP6 -4.17336631517871
TSPAN17 1.34133477557905
LMO3 -3.39191854721254
R3HDM1 1.19722226409508
EPN3 4.60144336584706
RFC2 1.56037820055923
FOXP3 2.54590897960909
c(\ARHGEF5\, \LOC102725117\) 2.42735481722265
PTGER3 -7.12401745946839
RAD51 4.34615912384636
POLQ 6.41113328839042
THOC3 1.87293770987294
MPHOSPH9 1.59906603246778
PRSS8 2.16749396369516
METTL24 -3.38387697754125
MCF2L2 2.58768394422756
NRIP2 -2.97920842164941
CHRDL2 -6.42547340759108
RELT 2.38277705942993
CCDC85A -4.91688386653473
PHF21B -2.95961518552252
PPP1R12A -1.119983393049
ATP2B4 -2.06904761952851
NDC1 2.00297575734942
TARBP1 2.17914473853535
PSD -4.69220730219178
STYK1 3.77496012540372
GNA15 3.12351860543535
POLD1 2.35798492637314
EIF4B -1.26131961387901
CA11 -2.64313373309923
MTMR1 2.00888440576075
ASUN 1.44477383450499
CDON -2.46846726703501
LPAR2 2.34592159639255
ABCA7 3.2739255225631
CALCRL -2.74740549704792
MCM10 6.42106434660497
DGKA 2.10379686448835
ERBB3 3.27301764836734
MYLK -4.80878150911272
TMEM206 1.81984818328897
TBC1D1 -2.66077029339709
SLC9A7 1.9749863536754
TIE1 -3.28774508408872
ASPM 6.5581611587197
ISOC1 -1.5289701282997
EML1 -2.10495603639899
PLPP1 -2.11311124778587
PKM 1.57733705305848
PRKCZ 1.78227283102902
SYT1 -4.47589128882719
NAV3 -2.77798441412623
PDZD4 -2.55403627780983
HYAL2 -1.49525806904809
FGFR3 4.48948357396498
COASY 1.09299290725136
INPP5A -1.9833154998818
PRR11 4.20808395756464
LAPTM4A -1.01662276044065
TTC7A 1.68488486684431
STON1-GTF2A1L -2.89827705973036
RASGRP2 -2.58070386614494
PYGM -4.2280210405199
PITX1 8.35959125880492
ADGRF5 -2.64520794522269
ABCC9 -4.68873118344423
MAOB -3.96135952780296
TGFBR3 -3.8668329280719
HES2 6.57972266621323
PTPN3 2.37579755980027
FGF10 -3.44947732452835
SMG6 -1.01563765799056
ST6GALNAC2 3.33105826970414
CAMK2A -3.69920912504602
TCOF1 1.23440229913217
OSBPL3 3.16982784449015
RAD18 1.55168668742751
RPS6KA2 -1.99184171308192
LMCD1 -2.17087329802939
TRIP13 4.11654416240807
DAZAP1 1.00071272701283
CYBRD1 -2.70185620746794
LIMS2 -5.00644006766346
c(\SPEG\, \LOC100996693\) -2.66685290133482
SREBF1 2.27925168458998
MARK2 1.41554688781805
HMMR 5.64231149369396
c(\NDE1\, \MIR484\) -2.86975292423239
MRVI1 -4.0727089850248
MCM2 3.92557564326727
TP63 7.31270756966321
LLGL2 2.53843119173147
GSDMB 3.10839034539376
FERMT2 -3.55758052965619
FRY -2.43640972710175
SCARF1 -2.11201009715766
ENO1 2.06784647515429
ANO8 2.30237659917739
WSCD2 -4.20709749284658
TACR2 -2.66116908282883
NUP37 1.15322470274627
GTSE1 5.69085276703319
ACAT1 -1.5691243030015
GRAMD4 1.82478288459872
CELSR1 3.02377550662091
MOCOS 3.92522449630941
ATP12A 17.4779080955283
WDR62 3.60109643575615
EXOSC7 -1.39770421372234
MCM6 1.95917640542613
UNG 1.7075980382865
SPAG5 4.09390575270116
TPD52 2.21523742290522
ACACB -2.13974491856651
TRAF4 1.99894853900439
c(\MCAM\, \MIR6756\) -2.33386479490947
CAMSAP3 3.11178616364916
STXBP2 2.49828122085909
CTTNBP2 -3.62433800265423
UBE2T 4.38054481901142
PPP1R12B -3.88718547030343
NAALAD2 -3.21267686978685
FGFR1 -2.33591236412002
SMC1B 6.89944928962857
ITGA8 -2.97874067335926
AMPH -2.54864013652213
LAMP3 5.12010647280626
FAP -2.14742690725356
TIGAR 1.7898431954202
ITM2A -3.96404530244001
