Genes log2FoldChange
DPM1 1.05963502747757
SCYL3 1.73210663221802
C1orf112 1.95877528858102
CFH -2.69659213950201
FUCA2 1.07124566872025
GCLC -1.07946013245758
NFYA 1.78660260481786
NIPAL3 2.61183829371526
LAS1L 1.39687181363946
ENPP4 1.61973930710089
SEMA3F 2.34334172429807
CFTR 4.77774102726645
ANKIB1 2.14008597644438
KRIT1 1.30838636226925
RAD52 2.09303829242786
BAD 1.38600466026761
HS3ST1 4.87339347909672
WNT16 2.55184194570871
HECW1 1.93568327070598
MAD1L1 1.2898478555879
LASP1 1.85955670214828
SNX11 1.60258807975731
TMEM176A -2.24814103331049
M6PR 1.79573733458175
CYP26B1 4.1800547408037
ICA1 2.47094757544181
DBNDD1 3.25489795335556
CASP10 1.41119167502687
CFLAR 1.59805914414226
RBM5 1.26734510588093
SLC7A2 -3.33893667024515
ARF5 1.62830929141192
SARM1 1.63338703830948
PLXND1 1.81313634247446
FKBP4 1.73135736437385
KDM1A 1.42631561931198
RBM6 1.45468804066684
CAMKK1 2.5776163906037
RECQL 1.95388925962227
VPS50 1.7376410211628
ARHGAP33 2.6397708274606
PDK4 -2.24574448702664
ZMYND10 4.1492422267542
ABCB5 4.52729825684399
ARX 5.72198537024157
SLC25A13 -1.50030305005118
CDC27 1.25271950543953
SLC4A1 -2.6842932809773
HCCS 1.11160196535826
DVL2 2.25817214234511
PRSS22 5.45456156359949
UPF1 1.31539866298131
SKAP2 2.40928204366429
MCUB 3.34049890294813
POLR2J 1.02281971836441
DHX33 1.4348389434237
MEOX1 3.97294018233603
THSD7A 1.44484965254995
LIG3 1.39903730636211
RPAP3 1.40245040080948
LOC81691 1.51925380266329
CIAPIN1 2.05952312104973
SPPL2B 2.07423383196192
FAM214B 2.09407889794063
MSL3 1.77444852018368
CREBBP 1.43085881022407
TSPOAP1 2.67552478074838
PON1 -4.3811784354019
WDR54 3.72755090612993
ABCB4 -3.23016172333504
KMT2E 2.03825008812483
RHBDD2 1.33870333429326
SOX8 4.98497721494609
ZNF195 2.28880953236557
MYCBP2 1.00512442416739
ITGA3 5.28422033799594
ZFX 1.33669010114583
LAMP2 1.05462662593828
ITGA2B 3.192646324212
ASB4 -2.03040595320574
GDE1 1.26104888780611
CRLF1 2.48843335382444
OSBPL7 3.48359219183871
TMEM98 2.21949347909543
MAP3K14 1.61419351756794
ABCC8 4.72314420933885
TMEM132A 6.53289443104861
AP2B1 2.47687379941958
ZNF263 1.93813146358076
CX3CL1 2.08403334987423
SPATA20 2.38624537622517
CACNA1G 3.00884959853936
TNFRSF12A 2.31887980317364
DLX6 3.89877951350475
MAP3K9 2.84529697609184
RALA 2.05066792532928
BAIAP2L1 1.88901839813967
ETV1 2.50774696360546
AGK 1.36131788108194
ALDH3B1 3.38041612112889
TTC22 2.81460231177988
PHTF2 2.17593523987341
CCL26 3.56265256558708
FARP2 1.24478745139209
USH1C 6.63931714531031
GGCT 1.56028757009025
DBF4 2.08548049803927
IFRD1 1.50795965507996
COX10 1.7789423470295
GTF2IRD1 3.06529880727041
PAF1 1.03578252073372
VPS41 2.14908413145501
ARHGAP44 3.11169235279391
ELAC2 1.17810213134455
SCIN 4.95091817730031
CDKL3 1.83076948333607
UPP2 -3.26242918914286
PRSS21 6.3042927021173
MARK4 1.76516961226795
PROM1 4.72160313403389
CCDC124 1.61613953204811
CEACAM21 1.59326343151484
PAFAH1B1 1.51205436637854
NOS2 2.59894732446522
DNAH9 3.62134517966943
KIAA0100 2.90498424608937
GAS7 4.81075009583012
TRAPPC6A 1.31163229839368
CEACAM7 8.91929730851767
CD79B 3.51216503387491
ST7L 1.93579185642242
PAX6 2.19625264089733
RPUSD1 2.14598215755135
RHBDF1 3.64697580591201
LUC7L 2.31977694885935
CACNA2D2 6.36823967954553
BAIAP3 1.16518649356073
TSR3 1.51563033134947
PIGQ 1.66262643394538
CRAMP1 2.84789588114996
TEAD3 2.28023219301451
FMO3 -3.74357063445709
MYLIP 2.88190491802824
NOX1 2.78027907883173
E2F2 4.42845261450351
SYN1 4.08952309025681
JARID2 1.83089827748663
CDKL5 2.67253486107482
CAMK1G 2.21341815889756
CDK11A 1.24934802933766
DLEC1 -2.39279181586499
CYTH3 2.35975190748774
ADAM22 3.85806616421401
SYPL1 1.78941192121204
CYB561 3.2636470351726
c(\CELSR3\, \MIR4793\) 3.67060844863221
AASS -2.29200842911101
PLEKHG6 2.91686395861469
MGST1 -1.9730550975237
NFIX 1.75270304569315
MMP25 1.51799956670097
c(\PKD1\, \MIR6511B1\) 1.79733972242495
MAPK8IP2 4.92256111404877
c(\MED24\, \MIR6884\) 1.8260173026941
RHOBTB2 2.37297021492496
HEATR5B 1.40590706698271
RPS20 1.56539922531742
CSDE1 1.41096321762141
UBE3C 1.40555468826701
REV3L 1.1961211772375
TENM1 -3.47477430828057
MASP2 -4.59880632524073
FAM76A 1.03737783472927
TRAF3IP3 2.38685571495863
POMT2 2.41859959631639
MLXIPL -2.33990143768881
BAZ1B 1.7192101995782
ETV7 2.99537469127744
SPRTN 1.80417549544467
METTL13 2.14910604101941
DYRK4 1.63987830213028
c(\ZNF207\, \MIR632\) 1.96140985208329
STARD3NL 2.15558751043509
CD9 1.90778488490988
NCAPD2 3.41238205999774
GIPR 4.72400031251825
NISCH 1.20639807065335
FUZ 1.87965766377747
SLC6A13 -4.93460758447775
IDS 2.25850234562356
ZNF200 1.82125770276896
LRRC23 2.50770666525903
BTK 2.06513966736461
SCMH1 2.48212327507369
HIVEP2 1.69039917567571
FMO1 2.95946168169588
LYPLA2 1.05048531472715
MRC2 2.08029255099368
NME1-NME2 2.46920648444556
SLC6A7 2.79918967523132
BTBD7 2.00032176051544
APBA3 1.4950646812817
MKS1 2.12784691672546
ANOS1 3.40853623443796
AKAP8L 2.03358934581394
MBTD1 1.32599539327532
UTP18 1.82431467538607
RNF216 1.75750041979267
TTC19 1.25424044570169
c(\PTBP1\, \MIR4745\) 1.5650907292194
DPF1 3.03111054793486
SYT7 -2.69163026883387
PIK3C2A 1.1935238793724
PLAUR 2.97429404895959
ANLN 5.83665991324682
WIZ 1.95479885566214
c(\GPR21\, \RABGAP1\) 1.81623165746297
PPP5C 1.84127165156341
CEP68 2.2415387377288
MAP4K3 2.72145815499644
ZBTB32 3.86099500247001
TMEM159 4.12512355585104
BRCA1 2.05620909418846
ERCC1 1.66578208685755
c(\CD22\, \MIR5196\) 4.49488537040531
c(\SEMA3B\, \MIR6872\) 3.21059380521126
PRICKLE3 1.93995866925481
LTF 5.29031129634317
EXTL3 2.35224942241605
ALOX5 4.40276704512483
CALCOCO1 1.22783027784033
UBR7 1.10415204387277
MAP4K5 2.09295964598682
PSMC4 1.53644006894582
c(\CLDN11\, \LOC101928583\) 1.97639526459616
SLC25A39 1.62653485302321
MVP 3.15486671977963
NUB1 1.48065150897419
RWDD2A 1.3134903611595
RNF14 1.20081560008362
DNASE1L1 2.13292481371885
DDX11 2.49768535463116
c(\GPRC5A\, \MIR614\) 6.557867154213
MAMLD1 2.29613090996131
CD6 2.23297259902839
TACC3 3.55377455277682
POLA2 2.44276603288574
ZC3H3 1.8616912431043
CAPN1 2.50818770205825
ACPP 3.31380650805164
MDH1 1.00819239730384
SLC30A9 1.43841681097869
MTMR11 4.69381250874839
CCDC88C 1.88778868666065
ZMYND11 1.41016740182704
DPEP1 6.53360185892564
MATR3 1.72262002904877
XYLT2 2.06773448058452
c(\RGPD5\, \RGPD6\) 1.34178171579897
NUDCD3 1.85409838292934
ISL1 14.0594697625369
IL20RA 4.76781561126447
ATP2C1 2.10097324513594
IGF1 -2.99796551859443
SLC38A5 3.69017345013528
RALBP1 1.78183752591959
SLC11A1 2.21294516169436
WWTR1 2.95875960967238
AGPS 1.22152132625689
CXorf56 1.64353700520925
TTC27 1.8322937176494
c(\PHLDB1\, \MIR6716\) 3.20540354737247
MARCO -2.98880664451922
CYP24A1 8.43142015997642
PRDM11 2.66498633152074
SYT13 6.90693662246723
CD74 1.66074134987347
HGF -1.77894858724412
NCDN 2.75336360608343
ADGRA2 1.75770487231925
ZFP64 2.13503602183611
RUNX3 1.88084528333027
MRE11A 2.20731629810394
PLEKHB1 5.37127962910984
SERPINB1 2.14704261750696
CYP3A43 -4.92016074066933
SPAST 1.23092102213516
NRXN3 2.11923246607951
OSBPL5 3.17699717537559
AQR 1.48321450701984
CPS1 -5.60162702840164
C8B -4.20537528776629
RTFDC1 1.52583999622162
NLRP2 5.47340278958315
SLC45A4 4.01818026174179
RNF10 1.23226839827387
ZNF839 1.24400500521617
GRAMD1B 4.70500966088783
RNH1 1.32232989340791
RB1CC1 1.05670864525883
ALAS1 -2.46480751642861
BIRC3 3.3910830583117
AKAP11 1.36825373389704
SNAPC1 1.84675536033493
STRAP 1.46938722840991
ABCC2 -2.04373667444784
DEF6 2.76110497378723
PLEKHO1 2.05453242055372
EHD2 2.35744537427757
DEPDC1 5.95042306778544
HSF2 1.7356595974691
PHF20 1.93298040683185
HSD17B6 -4.41389390345712
TYMP 1.72959393644468
NCAPH2 1.80864628710727
TOMM34 1.85450176192412
KPNA6 1.27861232600765
VIM 3.30647934467705
c(\RTEL1\, \RTEL1-TNFRSF6B\) 2.20324341524256
RNASET2 1.55791187877412
CD44 3.68671688650989
KCNG1 5.84398476845875
AGPAT4 3.07326424027694
BTN3A1 2.45735795706654
MIPEP 1.5627899271323
PRKCH 1.48573463411962
B4GALT7 1.63606894524414
SH2D2A 1.9764759691099
VRK2 1.60419338311221
VEZT 2.09037246344611
POU2F2 2.55344662318814
BRD9 2.56843900062103
SNX1 1.04127336886763
ARNTL2 3.16642358201736
BCLAF1 1.29919701236037
ANK1 3.8155146013901
IBSP 9.31487363806096
HMGB3 1.16298628307051
NUP160 1.46057009450115
BAK1 2.95143375643029
GRN 1.9890549738757
FAM13B 1.89631126842753
ARHGAP31 1.33468651262237
CENPQ 1.86969423425281
SARS 1.26486720553503
RANBP3 1.72394996406093
TSSC1 2.07418568406871
PNPLA6 1.78797323379605
ALG1 1.61334548143341
ZCCHC8 1.16507460404868
ABCF2 2.28801241989723
c(\CHPF2\, \MIR671\) 1.71595945393014
LRRC7 2.77134212460799
FUT8 2.73917793201766
UBA6 1.40539124206589
GAB2 2.66260618965612
c(\ATP6V0A1\, \MIR5010\) 1.42104262102259
PIAS1 1.76875274837686
SLC4A7 2.25898031561257
APBA2 3.55986874325732
TMSB10 4.11615875184112
ASTE1 1.11995902741591
RNF19A 2.10649005845644
GABARAPL2 1.35195900789154
SH3YL1 3.67045348757495
FAM136A 1.30118285199631
VCL 1.99449276782976
DEPDC1B 6.48066577136826
DAPK2 2.42541421119608
NSMAF 2.42232177696514
ADSS 2.42988436494851
STAP1 4.04348409812259
TIMP2 2.79683786655499
RFC1 1.23518405232178
CUL3 1.20185678294592
OTC -4.04944836715054
ZZZ3 1.384922891054
SLC18A1 6.85831241229512
TUBG2 2.25580898277982
RPL26L1 1.34794152085201
NSUN2 1.07385787261659
FBXO42 1.0352922887583
MFAP3 1.71587481680033
MRI1 1.26158761116671
METTL1 2.4838055752751
HOXC8 6.25159202568134
BOD1L1 1.9706734731531
TLL1 1.91601449898424
EDC4 1.80200302565457
TRIO 2.5921950118952
VCAN 5.00163861033719
CLEC16A 2.32828451029044
CDH1 2.23428560432724
SKIV2L2 1.24891161371386
DNAH5 3.87378009176203
ZFYVE16 1.36501309886246
FAM65A 1.81279496145408
C6 -3.11334885798401
PNKP 1.5228027413874
PHLPP2 1.84807549190443
SPDL1 2.98279023013609
STAU2 1.4285313755734
CTNS 1.25169684725617
RTN4R 1.01039412715802
PHF23 1.48094352199988
INPP4A 2.14255009887212
RAB27B 3.71750089637014
PSMA4 1.42499702341905
LSG1 1.65395438532346
PARP3 1.6201619379844
TNC 3.86621244496584
TDP1 1.65323562628479
AIFM2 1.43164660514458
SPATA7 1.37900491780796
MED17 2.07537064228465
CAPG 4.05798428069482
USH2A -5.08969913957697
TG 2.67757591789651
ADAM28 4.84308561106013
BARX2 7.16053466962569
JADE2 3.35440473523512
ZIC2 5.74199070758392
TRIT1 1.76221571688748
ADRB1 -2.49055865747059
CUL7 2.66538802563555
CTNNA1 2.33827850474602
EPHA3 1.30083306154408
HSPA5 1.07643717828853
DSG2 3.57484988150082
GEMIN8 2.40781632792433
OFD1 2.57993661316816
GPM6B 2.66350575004926
WDR37 1.60118008579686
YTHDC2 1.2214497336757
CTPS2 2.24900473270033
ATP6V1H 1.80249790993702
POLR2B 1.65195517259034
ARAP2 1.93853348261871
CP -2.88618076104349
KIAA0556 2.88107577523891
DTNBP1 2.44894294183158
ANO2 2.0842121497107
C12orf4 2.29253513041091
WWC3 2.41537639229023
ARHGAP6 1.92178862874814
FAM184B 2.20790896816862
MAP4 2.0237125852496
HDAC9 2.71479707961421
TSPAN17 2.62242104638586
NOP16 1.47517762589927
CC2D2A 2.52919384271983
RRM2B 1.19592449632459
SNX29 2.50767848628547
LMO3 3.64276778631712
MRPS10 1.03358074917772
RSF1 1.52207780227431
CELF2 2.19440136808708
R3HDM1 1.89697166097826
COL9A2 5.35636608454047
KITLG 2.29347954713327
ERCC8 1.54763650627597
ADAMTS6 2.06631274392449
VAMP3 1.11756566680921
PER3 -1.37466141411468
UTS2 -1.35362314197052
TNFRSF9 3.33152502316839
EPN3 6.55827820279403
LTBP1 2.03817752323076
c(\RCN1\, \DKFZp686K1684\) 1.37367623538099
ELN 1.5965194358164
RFC2 1.81771103283926
ARID1B 1.5412224006389
CLPTM1L 1.36356401420898
NEDD4L 1.5735471156595
FOXP3 1.81985180657901
PPP1R3F 1.89123726133457
PTCD2 1.19813959860486
KIAA2022 3.37514161237592
JKAMP 1.58485834559994
DKK3 2.46857544190462
c(\ARHGEF5\, \LOC102725117\) 2.22116984116889
NFE2L3 4.15862901142067
MCUR1 1.09389102143209
LIMA1 1.89689447514801
LETMD1 1.28284956955608
SLC4A8 2.50152118884275
PTGER3 2.2479326474067
TNIP3 4.20358728665903
MAPK9 1.58373521877696
COL23A1 1.51416193433093
BCAR1 2.2980336073714
HOMER3 4.16628014563887
RAD51 4.64774651809849
POLQ 5.00707296627469
PIK3CB 1.96232833466322
CYBA 3.55536529727196
THOC3 1.36311745698151
