Genes log2FoldChange
DPM1 1.02119861109956
CFH -1.06127816606605
LAS1L 1.13167711998256
SEMA3F 1.15211211043169
AOC1 -1.78879014912521
HECW1 1.75211191211624
CYP26B1 -1.13575693626157
ICA1 1.01438481924694
DBNDD1 2.58879409221385
HSPB6 -3.31866995341971
ARHGAP33 1.0665051467667
PDK4 -3.14854695109491
ZMYND10 1.1942683173322
ABCB5 -2.85054460107854
PRSS22 4.14747455493373
MEOX1 -1.23342675990635
PRKAR2B -1.63747349738342
TSPOAP1 1.39683095654229
MPO 1.07176984789059
WDR54 1.30565264433196
CROT -1.18132883499763
ASB4 2.45257139715552
C19orf60 1.1976875140538
ABCC8 -1.91458538192382
TMEM132A 2.63861525366364
TNFRSF12A 2.53921829815083
DLX6 3.65467973076805
TTC22 -1.60739140233816
CCL26 2.47881238937464
GGCT 1.28456915058525
DBF4 1.34855466562173
GTF2IRD1 2.27983692160271
ARHGAP44 -2.13491878912828
SCIN -2.5487710470575
PRSS21 1.70385121561201
SLC13A2 -2.1652843257553
GAS7 -1.3601893861612
MATK -1.00322927021
CEACAM7 -4.20612457248565
CD79B -2.01468163350051
SCN4A -1.68967591564113
TKTL1 3.69593527104225
RPUSD1 1.07210675054333
FMO3 1.12799673256669
c(\CELSR3\, \MIR4793\) 2.81689342886327
TENM1 -1.05843573179213
PAX7 5.61034422692853
MLXIPL 2.92198890890415
SEMA3G -1.82079720774574
STAB1 -1.33949122890224
BTK -1.32900087631082
FMO1 -1.38111385775507
NME1-NME2 1.07427074804147
ABHD5 -1.05841750365812
ANOS1 3.31444725640641
UTP18 1.01760401454253
DPF1 1.83330202116208
SYT7 1.84622658731777
ANLN 2.27491479934437
DCN -1.55541483559193
GABRA3 2.1804599348816
BRCA1 1.41726599917098
c(\CD22\, \MIR5196\) -2.25364603216388
NR1H4 -3.70938313994713
ELOVL5 1.17082050665167
SLC7A14 -3.178002674941
c(\CLDN11\, \LOC101928583\) -1.98193524005397
DDX11 1.44738865320605
TACC3 1.17480358023643
DPEP1 2.48001706146201
BID 1.11147835122348
NPC1L1 4.06972688358246
STMN4 -4.0948917891259
IL20RA 1.42626466981649
CLCA1 -2.4112802085254
CLCA4 -5.27255030944443
IGF1 -1.146361444627
SLC38A5 2.03467527834755
CNTN1 -2.35189293978644
SLC11A1 2.56675260957294
ATP1A2 -4.50446069572781
ZNF582 -1.15210991092641
VSIG2 -2.75738262762296
MARCO -1.06912321757648
CYP24A1 1.79732594733461
PLEKHB1 1.37188848546147
SLC7A9 -3.84199432006214
FHL1 -3.01184868560109
ABCC2 2.16432639346348
PLEKHO1 -1.30976729916026
EHD2 -1.05730298289182
DEPDC1 1.15368291330826
TOMM34 1.8739710023233
c(\RTEL1\, \RTEL1-TNFRSF6B\) 2.29672524306149
FAS -1.02046807547846
CD44 1.49841731134465
KCNG1 -1.40879598180705
SLAMF7 -1.61846558500966
SH2D2A 1.09980821419817
POU2F2 -1.19090550096628
ARNTL2 2.56054106883299
ANK1 1.00196529581772
IBSP 6.71226584410921
MUSK -3.41334257236326
LRRC7 -1.43009905943974
FUT8 1.05998120611018
EFCAB1 -1.24678952088404
MYOC -4.70105622660757
DEPDC1B 1.38323574975918
STAP1 -2.18786763320277
OTC -1.17617746354019
USP2 -3.87761504446687
METTL1 1.50161953818508
TLL1 -2.06450264429961
VCAN 1.72147905255255
DNAH5 2.6496787065152
C6 -1.37374353150546
BEST2 -3.713514627894
PHLPP2 -2.23542825408453
SPDL1 1.19400486705107
RTN4R 1.65925741419047
RETSAT -1.80226346538498
USH2A 1.73455638932632
TG 4.34152343587625
ADAM28 -1.16314809365554
BARX2 -1.72649629111417
ZIC2 6.10456444127046
GUCA2B -6.19793110989177
GPM6B -2.18419459185299
MAGEC2 6.39225310001887
SCML1 1.78855265938195
HDAC9 -1.42692275051271
TNFRSF17 -3.12490118748583
LMO3 -3.10453141580569
GUCA1A 1.69305818270879
COL9A2 1.13471505637416
ADAMTS6 2.44146598728013
PER3 -1.34979045508688
TNFRSF9 1.07987920900562
c(\RCN1\, \DKFZp686K1684\) 1.50731994303339
NEDD4L -1.15591032142346
FOXP3 1.39283015176975
KIAA2022 -2.95963218098479
NFE2L3 2.78726231814955
LIMA1 -1.24510880727932
SLC4A8 1.54512781600051
LAMC3 -1.02284907222309
