Genes log2FoldChange
TSPAN6 -1.28550322394182
FGR 1.50543578998903
SEMA3F 1.12307984864421
CFTR 1.68599235320065
CYP51A1 -1.00051436702496
CD99 1.26821954184209
HECW1 -3.63640416376992
TMEM176A 1.32112177141683
KLHL13 -2.19235716950673
CYP26B1 -1.59310689400196
TFPI 1.06400072851367
PLXND1 1.62088905851243
CD38 1.90470310442504
CAMKK1 1.44390243181284
HSPB6 -1.09107514868454
ARHGAP33 2.14356534612741
SLC22A16 1.54773633290578
ABCB5 4.46243113849808
ARX 3.89138924487663
SLC4A1 -3.60375089890081
CALCR 1.20999403664814
PRSS22 -3.42905281640624
SLC25A5 -1.15337268229293
MCUB 1.61138921207768
HOXA11 -1.52214600452794
THSD7A -1.74016908411775
ACSM3 -1.31446612515141
PRKAR2B -2.25819388447971
WDR54 1.15906012889007
CROT -1.279891502419
ABCB4 1.0412864691744
ITGAL 2.54410872907464
ITGA2B 1.29008599739654
ASB4 1.13738836254095
YBX2 1.30027928391996
MAP3K14 1.39848175909202
TMEM132A 1.16763624623835
TAC1 -3.00521044319935
CX3CL1 1.01323988380928
CACNA1G 1.46147924071661
DLX6 2.25167910308033
MAP3K9 -1.69396815161688
SCIN -2.1275123698732
MYH13 4.58651161105248
UPP2 -4.37037405196065
PROM1 -1.24780227677816
CEACAM21 1.84644360857152
NOS2 1.01160838762424
DNAH9 -1.01710503971393
SLC13A2 -4.5834407570831
MATK 2.25731211879246
SCN4A 1.69975354507959
LUC7L 1.03228109053402
CACNA2D2 -2.03381115389631
SELE -1.83263785843002
DNAJC11 -1.18187696853482
E2F2 2.37087976619986
SYN1 1.12281746504403
TFAP2B -5.62520295098641
DLEC1 -1.41110765775572
c(\CELSR3\, \MIR4793\) 1.4782366117318
MMP25 2.22069973176068
IL32 1.96843944492154
RPS20 1.0060797762428
TENM1 2.5371978482977
MASP2 1.01804994670375
IYD -4.2074412587783
TRAF3IP3 1.53309048956082
ETV7 2.69656996873976
UQCRC1 -1.10524422825942
HHATL 6.58024595253781
IFFO1 1.79892425612382
SEMA3G -1.58255384709032
STAB1 1.72332594197757
SLC6A13 1.06470242456764
CD4 1.82580908555838
BTK 2.20901578195462
DPF1 1.16751476357392
SYT7 -3.62413713046577
LARS2 -1.41288498528848
PLAUR 1.515473983212
ANLN 2.01626471876446
DCN -2.53944567818923
ZBTB32 2.00940848212577
TYROBP 2.6573945631294
c(\CD22\, \MIR5196\) 1.23985826317006
c(\SEMA3B\, \MIR6872\) -1.3688912967384
ALOX5 2.06364085766575
EHD3 -1.19597777759275
SLC7A14 -2.94068561046963
c(\CLDN11\, \LOC101928583\) -2.51808689808782
CLK1 1.18266046934757
POLR3B -1.23807371459648
DDX11 1.32987329187845
c(\GPRC5A\, \MIR614\) -1.32118469406585
CD6 2.37058225939808
TACC3 1.45205267768821
ACPP -5.58871496303531
MTMR11 1.64616660436483
WAS 2.17802945459369
DPEP1 -4.29715000686771
BID 1.11043450110884
CHDH -1.17669195318194
IL20RA -1.02818490579362
SLC38A5 1.80399635307599
RALBP1 -1.43414377503928
CNTN1 -3.64029997012625
SLC11A1 2.37395308669146
MARCO 2.32993906703753
CYP24A1 -1.30387656376017
CD74 1.75569225580844
ADGRA2 1.27502168185634
RUNX3 2.70912694486725
PLEKHB1 -2.41380163122185
SLC7A9 -1.288332987392
NRXN3 1.33696058810098
C8B 4.19531115721815
FHL1 1.68245620623217
NLRP2 -1.71642549887534
GRAMD1B -1.17971226938821
NDUFS1 -1.17148071261217
ALAS1 -1.04415171571263
BIRC3 2.32218212672353
DEF6 2.27444043321537
PLEKHO1 1.76983552124313
EHD2 2.2476154429273
DEPDC1 1.96601646007787
TYMP 2.94227539457451
VIM 2.51248223927323
c(\RTEL1\, \RTEL1-TNFRSF6B\) 2.07296787473906
FAS 1.21929333966025
RNASET2 3.2306194748115
CD44 1.3646262277258
SLAMF7 2.84914569942062
BTN3A1 1.88493558208909
INSRR -3.78208330789796
SH2D2A 2.67040166307674
c(\TNFRSF1B\, \MIR7846\) 1.42241188221213
POU2F2 1.92673958839567
ANK1 2.27578603781979
IBSP 5.30718965288659
LRRC7 1.53037236580964
APBA2 1.2077554451314
TMSB10 2.07993390779403
USP2 -1.82622998671203
CASR -5.46082453567461
FLT4 1.19445163413128
TLL1 1.59678072480107
VCAN 1.85885897582331
MSR1 2.10666619421307
CDH1 -1.53520157070893
C6 1.52289629310322
SOX30 -1.85612657323201
RTN4R 1.04140285650931
TNC -1.10157666801529
ADAM28 1.33132277893978
BARX2 2.67027320315449
ZIC2 2.1076592404945
LCP2 2.24099102384722
ADRB1 -1.49561051745924
GUCA2B 5.93082480519112
PHKA2 2.20459093989945
EPHA3 1.7789662501389
GPM6B -2.2613492442129
MAGEC2 4.55893353570722
PREX2 2.1016704426789
ATP6V1H -1.20765077387422
CP 3.69710328745472
XK -1.91412858700987
ROS1 -2.57870740182828
TNFRSF17 1.58712615695676
LMO3 -3.45194762294898
VPS13D -1.00075231796877
CELF2 1.00459035580178
COL9A2 -2.23106840804879
KITLG -1.64680267556664
TNFRSF9 4.08867325904709
EPN3 -4.1423304853443
RFC2 1.0822493693805
NEDD4L -1.12183054645434
FOXP3 1.45911238517664
KIAA2022 -2.95347520469787
NFE2L3 1.37352316122573
SLC4A8 -2.71249322826328
PTGER3 -2.15041933149205
TNIP3 3.61602718878736
COL23A1 4.89264102202322
RAD51 1.53916436530599
POLQ 2.13247759095861
CYBA 1.22628815266138
PRSS8 -1.7541303634605
FSTL4 -2.52812932662225
AP5M1 -1.07784875574236
KCNQ1 -1.95696071070988
ENTPD2 1.23673379769773
PTPRN 2.85268410835325
FOXC1 -2.16810375284999
SYNE2 -1.18436953048791
ATP9A -1.00823202076912
CBLN4 2.11879173649939
CHRDL2 1.46840555989129
RELT 2.09968315892224
CYFIP2 -2.26987844405796
MCOLN3 -1.57210819114537
CCDC85A 1.16737021290224
ITIH4 2.94483961262847
ITIH1 5.96755753765029
PHF21B -2.31100747942884
TRAF1 1.00994883212786
TRAF3IP2 1.0486094448707
GYG2 -1.23988537663291
MSH4 3.05342659881958
PRDM1 2.31551873022254
LAMC2 -1.6356894145893
TBXAS1 1.80935880937583
SLC2A3 2.04521023121902
YBX3 1.50818235766947
STYK1 -1.84776753182622
WNK1 -1.48716706823606
OGFR 1.0527261544148
GNA15 1.73714293924128
CREB3L3 2.73024553488305
RIMBP2 -2.92624466540861
COL11A1 3.4191141352418
MPC1 -1.64119111553256
ACAA1 -1.54714127540666
BCAT1 1.42363615868975
LZTS1 2.41702717248507
SPAG4 3.85105459418541
GUCY1B3 1.21169232019045
TNK2 1.40339770534159
CDH3 -2.29457235119645
c(\VMP1\, \MIR21\) 1.32333174127226
RPL18 1.1134953361257
DLX3 -2.23295099983377
TSPAN32 2.16732279400862
WISP2 3.37155527446695
DMRT3 4.23975284761974
ATP2C2 -1.74178302732851
NGFR 1.85095124358255
CDON 2.30064237261578
EYA2 -1.28036945554877
SNCAIP -1.00109908559573
BCAS1 -2.13325257603567
CHI3L2 2.2302388471276
CALCRL 1.0321111364845
OAT -1.18060008151086
MCM10 2.23516496381053
DGKA 1.13700882554224
c(\PDIA5\, \MIR7110\) 1.59792552181872
c(\COL17A1\, \MIR936\) 1.93413076247636
GSTO2 -1.84801395175478
PRKCQ -1.70963936007477
MTHFD2 1.05210307390956
CTNNA2 1.98909520074983
ZMYND12 -1.34139571150451
SLC9A3 -2.73822132306763
ASPM 2.23749250031028
CD84 2.83846007753202
SPI1 2.36036327626021
MPPED2 -2.60533239704076
FGFR2 -1.29539494421757
STAG3 1.25155437944635
FECH -1.95096964212848
PFKP 1.96402911191467
CACNB1 1.28710350336177
SYT1 -2.28930923234232
ATP2B3 -1.8485463694159
ACSL4 -1.50668507741643
PRR11 1.85422130520529
ATP11A 1.54004932475829
RASGRP2 1.11218933890705
PAGE1 5.10793016660732
PITX1 3.10120599142937
TRPC7 -1.62955317999803
ADAM7 3.03769684486039
GAL -1.08581079093927
CLEC2D 1.44248781906312
DRD4 1.91338222924475
TGFBR3 -1.57017493401938
PFN2 -1.14191901946334
PTPN3 -1.28019617088292
c(\SPTB\, \MIR7855\) -1.81351829184758
FGF10 -3.48034199543863
FSTL3 1.68155997857291
ST6GALNAC2 -1.52508944624716
CHAT 6.97599487279081
CAMK2A -2.60868869395702
SLC12A3 -4.54773307925638
MAP4K4 1.22451092709087
VASH1 1.99402673720615
TRIP13 1.69333140288347
MYO3B -3.84415935824537
CDH19 -2.21978040827313
ADGRL1 -1.06114624331665
RPS6KA6 -3.01990186585484
LNX1 -1.34275249924576
MPP5 -1.3568186568877
HMMR 1.36163850072111
CHFR 1.06795662529224
P4HA2 1.33254597859425
FCGR2B 1.98376547821228
STK10 1.21274129196512
ACAP1 2.02081815119847
EVC -1.20499278882898
SCARB1 3.82295470368178
CYP2W1 1.44139867610224
MOV10L1 1.41178874433212
TP63 -1.20603505919537
LLGL2 -1.2762282680548
GSDMB 1.85326959076307
ADAM11 2.19563228203267
DHRS9 1.89869932382903
CD5L 4.97702516891608
PTGS2 -1.22774503156345
IGF2BP2 -1.05230796264572
ST6GAL1 -2.24761836044761
TBX21 2.47909383077673
FRY -1.14982919251877
NOTCH3 1.3615778770294
PPP2R2C 2.20363944615017
SNCB 4.00535232460852
NTN4 -1.66973903191903
SCARF1 1.56985318368437
HACD3 -1.47586359960856
IPCEF1 -1.00266367196803
SLC12A1 -8.26960804171147
MYDGF 1.21015371763044
WSCD2 -2.34429782128691
SEMA3A 1.14666989401198
GTSE1 2.31749853255594
ACAT1 -1.23344056110894
GRAMD4 1.74699065671345
WNT8B -4.02243352612892
ADD2 2.70277691000882
FSCN1 1.56529534672073
ATP12A -7.23254885235973
WDR62 1.50910331449441
SEC31B 1.70449076862911
ARHGAP15 1.64081484296343
TUBA3D 3.00816104712402
FMO4 -1.33955598890013
PAG1 1.74546095434805
ICAM3 1.10617254109217
c(\MCAM\, \MIR6756\) 2.07791625461184
RAP1GAP -2.7170413161696
c(\ARHGEF1\, \LOC100505585\) 1.18888700665977
NMRK2 4.6777422844981
DGKD 2.1428465561402
NFKB2 1.18327336817968
IL4R 1.48789621400134
CAPN6 -1.37427445484279
DCX 1.06635886220767
EXOSC5 1.27490732514476
APBB1IP 2.4288709382607
ACTN2 1.42095887274874
FKBP6 1.85196098067835
SMC1B 2.1915465429745
FBLN1 -1.59813091625571
CST7 3.15114330866867
