Genes log2FoldChange
TSPAN6 -2.1999868119495
ENPP4 1.53521662214949
CYP51A1 -1.23483531793216
KLHL13 2.83240040038783
ICA1 4.41282186631059
DBNDD1 3.40941634501763
CFLAR -1.06885361177409
NDUFAF7 -1.18964073404139
MTMR7 3.0451137761139
POLDIP2 -1.80321433362573
ARHGAP33 1.84614736944909
PDK4 -2.62669844144904
ZMYND10 4.2491866519005
ACSM3 -2.52923031633487
FAM214B 1.2630963313533
PRKAR2B -2.57253421541731
WDR54 1.84360557685434
ABCB4 -3.10514386666166
IBTK -1.21056137499656
ASB4 -5.27668179729637
OSBPL7 1.72427383986866
TMEM98 -2.94354941963519
SPATA20 -1.20799884312795
MAP3K9 1.95846406939352
BAIAP2L1 -3.7389702615691
ALDH3B1 -3.18741193387568
TTC22 4.39308825334683
ARHGAP44 3.06511285711891
ELAC2 -1.20527061980156
ADIPOR2 -1.80680188059836
UPP2 5.13061132851333
MARK4 1.10452793430718
CACNA2D2 3.94321863877212
BAIAP3 3.42150951943428
DNAJC11 -1.06903885524019
SYN1 4.53147316168748
NADK -2.34636121616924
TFAP2B 5.78085043123437
DLEC1 -1.18488094064386
SYPL1 -1.07682938476694
CYB561 4.54110664643836
c(\CELSR3\, \MIR4793\) 4.55986587021038
AASS -1.478674587349
MGST1 -4.90398884423057
ST3GAL1 -2.38129070163581
c(\PKD1\, \MIR6511B1\) 2.58389149946261
MAPK8IP2 2.51171071597872
TENM1 3.86710764130656
MLXIPL -4.15709275598552
STARD3NL 1.40463848784963
IDS 3.54367580802586
PRSS3 6.26365676748529
HFE -1.87465415841846
FYN 2.71809139502862
FMO1 -3.6099874580452
DPF1 3.81268668522476
SYT7 4.80135281994874
DCN -4.01669661397096
c(\CD22\, \MIR5196\) -2.80562337129667
c(\SEMA3B\, \MIR6872\) -4.48108428360629
PRICKLE3 -1.49390894966847
NR1H4 -5.23071031868894
ELOVL5 -1.72510050545378
MAN2B2 1.38626146664653
SLC7A14 5.52864830485136
MVP -1.59353861564842
POLR3B -1.12884080917001
HEBP1 -1.66037158340522
MTMR11 -1.57612884570445
STMN4 5.83449662543569
ISL1 5.74148499992681
IGF1 -1.86634909547382
RUFY3 2.1188350644666
CNTN1 4.0004839786257
MARCO -3.49380247098371
NRXN3 4.16829061151992
GRAMD1B -3.06764833705527
ALAS1 -4.28270568434352
GLRX2 -1.3416664410823
PLEKHO1 -1.62662845221172
GCLM -1.31170840346907
HSD17B6 -1.93589279249999
NR1H3 -1.42933900638422
FAS -1.43727301979032
CD44 2.9226296618168
AGPAT4 2.23136433980572
MIPEP -1.26156161256986
INSRR 5.72871053417958
POU2F2 3.54646747880861
ARNTL2 3.40917970229594
TFB1M -1.1293962360144
BAK1 -2.13017003726739
GAB2 2.52189150729892
c(\ATP6V0A1\, \MIR5010\) 1.5558980335963
PEX3 -1.84933341590785
TBC1D23 -1.22238891965154
CYP46A1 2.40809781706353
SLC18A1 5.14338684447174
USP2 -2.56863304958101
PI4K2B -1.05865488511432
VCAN -2.3282303898618
DNAH5 5.21399552540549
PQLC2 -1.41774315406677
CTNS -1.34143595519248
INPP4A 1.63760102066553
RAB27B 5.93206701667747
PARP3 -1.24243731284544
FAM65C -2.49786213393192
RETSAT -2.11456804288196
CTNNA1 -1.523178413171
EPHA3 3.63266752828286
XK 3.9025681379218
WWC3 -1.32877290268043
MAP4 1.11472592408781
HDAC9 4.23839953659877
H6PD -2.65225285765879
PER3 2.5982594031555
EPN3 -5.11047641380142
PPP1R3F 2.50531220841395
KIAA2022 3.26730079419122
c(\ARHGEF5\, \LOC102725117\) 2.90714680484044
SLC4A8 2.63293202213067
LAMC3 -2.47838432636665
FNIP2 1.5572056450864
MSMO1 -2.10806456595653
AKR7A2 -1.45606206079019
MRTO4 -1.03031131432649
KCNQ1 -4.17175765533638
PTPRN 6.07225261067051
PLEKHH1 -1.19508091322871
KCNH2 4.75123156591396
MCOLN3 -4.92183447063927
PHF21B 3.14696002649784
SOAT1 -3.8507228054113
F7 3.92522308522312
USP13 -1.91433714381725
CDK14 1.97480515051066
CAMK2B 5.64311999581339
PSD 3.97847358772226
YBX3 -2.23953772627972
PIGV -1.03937767455884
PTPRU 2.98478742209245
RIMBP2 5.0583239353072
ACAA1 -1.31320442669095
HDAC7 -1.04139985184022
LZTS1 3.46677364099094
GUCY1B3 3.59799177674447
TNK2 1.6591378616039
SEZ6 6.53309702313711
CA11 1.78701082214489
c(\ZNF275\, \LOC105373378\) -3.64371420489805
CASP8 -1.63429036195259
ASUN -1.45974724605828
WISP2 -3.49478245189442
CTSA -1.74871865224408
SLC12A2 -2.29392285882037
ABCA7 2.2075861396589
FAR2 2.72893870879434
WDR3 -1.26250354405373
PKN2 -1.07137117702164
MCM10 3.57707668641137
NDUFB4 -1.23162888496378
SNAP91 5.33173776793386
GSTO2 2.8406301781735
SEC61A2 1.51993120934037
ASB1 1.4676470037665
SLC9A7 1.70010326910262
CTNNA2 4.18093120953567
NGEF -4.68777600531886
ASPM 3.19131388226793
FGFR2 -2.75046524441244
KIF26A 4.732278469154
MTFR1 -1.82824009340857
IDI1 -1.39982431694687
TNFRSF1A -1.50745668846034
CACNB1 2.89476458947186
TP53BP1 1.73858103640027
TRO 3.72448547370347
SYT1 5.13894681148892
PDZD4 4.42909059391827
COASY -1.0114946084132
PRR11 1.97720244512484
REEP1 4.62671050807207
TTC7A -2.07089110638025
PPP2R5B 1.99234620676392
SDK2 4.21201703146416
c(\BCL3\, \MIR8085\) -1.59720142096186
RORA -2.08674356572406
TGFBR3 -3.00725498511759
ATP1B3 -2.46934144678177
PIGB 1.15234144011688
GNB5 2.40656855698428
IKBKAP -1.6439776365144
c(\SPTB\, \MIR7855\) 5.28480928810551
CLTCL1 -1.60560689262364
FSTL3 -2.79519509084446
FRMPD1 4.23173175991962
ASNS 1.90218308750197
AP3M2 1.38580723581192
CFAP20 2.25857073082704
EIF2B3 -1.23687135207966
OSBPL3 3.07172928430655
ATP2B1 1.39402712273094
MGAT4A 2.82744968330503
ATP6AP1 1.34008401646137
MYO3B 4.0942033521099
CYBRD1 -2.29673017829079
ADGRL1 2.96697571911416
RPS6KA6 2.5701455987157
ASIC4 5.8275511007226
c(\SPEG\, \LOC100996693\) 4.88474122262344
ALDH3A2 -3.3757857749136
TFRC -1.92312645327699
SREBF1 -1.97773000586128
RHOBTB1 -1.4388463909648
P4HA2 3.36063846411486
ACADVL -2.18690025495797
CRMP1 4.65475772107205
SIDT1 3.87329595276692
SCARB1 -4.08385615916048
CYP2W1 -5.20596067368945
MOV10L1 3.37029830715839
PANX2 3.41475253927072
ALPK1 -1.7680918894354
PDE8A -1.03043825351918
CLCN4 2.55512814586021
SDHA -1.28598287663212
PPP2R3A -1.1579888117854
FRY 3.11466711929874
PPP2R2C 5.60024003208598
CDHR2 3.86358890988294
SNCB 4.68427480639285
ZNF532 1.46180192219455
ANO8 -1.81632665577244
KCNQ2 5.58817056850237
TTC38 -1.26449643206193
ACAT1 -1.97127201744316
GRAMD4 -2.30659058509193
ADD2 5.75828159934454
FNDC3B -1.58278607029313
FOSL2 -1.98207337275327
CACNG4 5.82771082536742
MOCOS -4.21113027822525
PLD1 -2.98376912602247
KIFAP3 1.96782929739025
REXO2 -1.31394328181925
UNG -1.74991340500336
FMO4 -1.91641524829634
RGS11 4.01113226355256
PLXNA2 3.62964281822548
TPD52 3.49229777387503
PAG1 3.28750250929157
GPC4 -3.00835303430886
RAP1GAP -3.14793219806421
ACTL6B 5.21151717797495
UBE2T 2.32962469088408
PAK3 5.00704152920397
DCX 7.49521112010268
FGFR1 2.98204042143809
FBLN1 -2.97740057465954
MAP2 4.89895389387437
MCCC1 -2.11190680052132
FAP 4.45457055235167
NEBL 3.17321587569151
ADCY2 3.0905531986884
RBFOX1 5.02127441301194
ADCYAP1R1 4.89062364720662
TNRC6C 1.5527695203001
CBFA2T2 1.75918034282651
BRINP1 4.19571283047991
RUNX1T1 2.19908522286633
OSBPL6 4.31740749252822
c(\REXO1\, \MIR1909\) -1.24433501565815
LIPE -1.92277758349283
FDFT1 -1.32200911158116
CARMIL1 -1.94710572908663
PGM1 -1.99630386731309
RIMS1 5.40854558253413
RFX3 1.72993289113459
SLC4A4 3.78464039885641
CHRNA3 5.63327342393603
KCNN2 -3.58859315510761
IGSF9B 4.2740315877647
NDC80 2.48750978464431
COL4A4 -4.13115738194294
CDH7 5.73328556524871
CDC14B 2.24150536549541
PCDHA6 4.3729201875771
PCDHGA2 1.21618694652076
PHLPP1 -3.25497832081315
IL12RB2 -2.47893235155091
STRADB -1.48930961582642
BZW1 -1.44229630547214
PGR -3.31022268030282
C1QTNF3 2.02991461784185
COBLL1 -2.93353580766018
DLG3 1.39588830565974
KCNK2 -5.0305808348718
SERTAD4 4.79649696336494
OPRK1 8.03020096398806
REST -2.14398324878532
EIF3I -1.32608997043271
EFR3B 3.89401371278038
KIF3C 2.47238441686649
GCKR -4.66816398102928
MAPRE3 2.61355484730844
MECOM 2.6356462617214
SCAMP1 1.81050420384974
ABCB1 -2.98374357378305
AKR1B1 -3.85231328481368
CTTN -1.08412812122834
WNT11 -3.72865032181612
TTC39A 1.84654144647796
EPS15 -1.03054087200808
B4GALT1 -1.53291438880762
AQP6 4.32360945920088
FAT2 2.73647760466882
PPEF1 5.27069756160212
c(\TRIP6\, \MIR6875\) -2.0719081642122
NLK -1.64323934822353
MT3 -3.93642472182342
GNAO1 5.0330646844111
GNAS 2.61845121195132
DNM1L 1.07829130455102
AAMDC -2.29342271805703
ALG6 -1.21390834145047
ASAP3 -2.74142076325046
DOCK3 2.24982018514234
COQ9 -1.25918154668411
NSFL1C -1.36995857065498
TESC -2.21101224513633
SNX5 -1.34714237511991
SLC23A2 -1.6341156994906
SLC8B1 -3.4356811589913
CFAP61 5.79216651573613
SIRT4 -2.71299057961519
KIF16B -3.00214596030875
CHGB 4.88089885604864
PEBP1 -2.56440192285194
HEPH -2.05863123720958
GMIP 1.80163542841288
DHX32 -1.06278892170651
PCBP4 1.76306706076907
NUDC -1.58172253145203
P3H2 -3.84753401634105
GNPTG -1.0573934071132
USP48 -1.45138138333068
KIF4A 2.99366913509753
NAT14 3.00043361361565
PITPNM2 -2.11511494645392
DLD -1.17343388370721
ITGA6 2.93635575167065
FH -1.31265629143745
NLRP1 4.02270026576488
PITPNM3 -2.66062146534394
RGS17 3.88127100480779
ANGPT2 4.65698088553013
CD200 4.23374206812293
JPH4 5.23356290637368
MYH7 3.68610403431162
SLC22A17 3.94328103210284
TINF2 -1.05478005570369
SEMA6A -1.83819280598584
WDR76 2.90507481474482
SNAP23 -1.06850262393368
EZR -2.5907968576209
CDC45 2.7260959212135
c(\COMT\, \MIR4761\) -1.38235318917461
