Genes log2FoldChange
SEMA3F 1.45962732696231
CFTR 1.08793142282066
AOC1 3.16096593277719
HECW1 -1.56529577866631
TFPI -1.55014809547903
PLXND1 1.5036696006767
CD38 -1.18883810649432
HSPB6 -1.68642751006581
ARX 2.18193408065208
PRSS22 1.47864928595398
HOXA11 5.16524135230527
SOX8 1.03025008153833
ITGA3 1.59820734998034
ITGA2B -1.03831569026717
CRLF1 3.74544020435051
TMEM98 1.23535113801712
TMEM132A 1.54634294176302
TAC1 -2.33246919075187
CX3CL1 1.26894049459999
TNFRSF12A 1.64532895451238
DLX6 1.43068546967804
ETV1 1.23286679526646
ALDH3B1 2.50340357373243
CCL26 1.86925195022066
USH1C -1.85569116883875
GGCT 2.10349581592289
PROM1 -2.25117838524791
CD79B -1.69452394486702
BAIAP3 1.78879026153395
SELE -1.19861188555507
SYN1 2.7258004932751
CAMK1G 1.94118165632283
CYTH3 -1.17490174222275
ADAM22 -1.65997720561719
AASS -1.0720687867827
TENM1 4.60346208388597
IYD -1.20819239327542
TRAF3IP3 -1.09391974051067
MLXIPL 1.82963117421484
GIPR 1.64375467858504
PRSS3 1.66598808685921
FYN 1.14034624818067
FMO1 -1.25219596988503
MRC2 3.00854517377248
PLAUR 1.59532755486085
DCN -2.02815907533448
ZBTB32 -1.03516739985507
LTF -2.28023805058825
ALOX5 2.87735843457337
MVP 1.38152055200619
MAMLD1 2.73084896060373
CD6 -1.0230682927888
MTMR11 2.1098991659895
BID 1.88778648105435
IL20RA -1.74950143308149
CNTN1 -1.64665472035565
MARCO 1.67074710201505
CYP24A1 1.75780623982875
HGF -1.06519582020506
SAMD4A 1.24174931218442
RUNX3 -1.17246859596223
NRXN3 1.56069273143627
C8B 3.01235823612207
FHL1 -1.6895955398731
GABRA1 2.95659239781911
CD44 1.22284233683822
AGPAT4 -1.79023629120361
POU2F2 -1.35235896146841
ARNTL2 1.10411367485943
IBSP 6.02707742979061
LRRC7 -1.82030642437025
TMSB10 1.01046817763933
MYOC -3.48303921174677
DEPDC1B 1.9507261551987
DAPK2 1.51372589339523
STAP1 -2.15062303294006
HOXC8 1.48209708675412
VCAN 1.8311282487074
C6 -2.63109117944035
RTN4R 1.27967710042766
CDH10 1.03818724649547
RAB27B 3.39119812941955
MYO16 -2.11719570476203
TNC 2.03352534571394
ZPBP -1.75135967564744
TG -1.22564066284902
EPHA3 -2.15973311107202
GPM6B -1.00691641690177
ARAP2 -1.13874837138721
ARHGAP6 -1.27061722031341
ROS1 3.68667294727966
HDAC9 1.1887277369592
LMO3 1.38131003144943
LTBP1 1.16960058426745
KIAA2022 -1.23590980053414
NFE2L3 2.49706686763208
COL23A1 -2.04995641350117
FSTL4 3.29234428494835
METTL24 -1.24616778448205
ENTPD2 3.14665175135422
PLEKHH1 -1.16651409427359
CBLN4 2.80088694747504
CHRDL2 1.34250477577609
CCDC85A -1.42151056706675
SERPINB3 3.29181995951211
PKP2 1.77281217499167
F7 1.36601177097478
PRDM1 1.62643944068831
c(\TMCC3\, \MIR7844\) 1.02471481949528
LAMC2 1.2341160345112
RASGRF1 4.42598431914804
STYK1 1.25875079875252
PTPRU 1.43162368903327
RIMBP2 1.42994349690359
COL11A1 5.13437190171965
BCAT1 1.4713347852335
LZTS1 1.90479385595836
GUCY1B3 1.20969022816103
CDH3 3.9579642363248
SLC6A16 -1.665689703568
CA11 1.21578684382106
ATP2C2 -2.56682143788439
NGFR 1.77628323582299
CDON -1.60399625193608
EYA2 -1.04064304759631
NTN1 -1.32879664917758
GLP2R -1.40750671215734
ERBB3 1.64688825659258
ROPN1 -1.5585391970504
PRKCQ -1.29848706807989
NGEF 5.14670174094512
MPPED2 -2.27456990588204
FGFR2 -1.22258576314849
ACSM2B -2.32200577400502
KLF6 -1.36002247955577
CACNB1 1.46235689712989
SYT1 3.58402619827195
ATP2B3 4.92223627683503
HDAC4 -1.29767980205974
FGFR3 1.56993480684818
ATP11A 1.47785396144828
RASGRP2 -1.41700622888386
PITX1 1.17857846255181
SDK2 -1.12489586997566
TGFBR3 -1.15417242653558
PLA2G10 2.95724465841943
HES2 3.03179679912536
RAB27A 1.64483162231127
FGF10 -2.49402421628355
CLTCL1 -1.04404689705967
FSTL3 1.53390058271907
FRMPD1 -1.39454085765372
CNGB1 1.32454141957248
CHAT 5.37302238253058
CAMK2A 1.01568687533716
SLC12A3 -1.47196529828977
TRPM5 -1.41092184568238
MS4A12 1.61724306731828
MYO3B 1.019936481912
CDH19 -1.61287508299376
SLC6A15 -3.94872536630598
RPS6KA6 -1.57506302273908
SREBF1 1.24465217664798
TRPC5 5.15775089012648
TRHDE -1.6459102543561
P4HA2 1.88524485809077
CYP2W1 3.72155896258238
TP63 2.39861955533769
GSDMB 1.06889354782302
IGF2BP2 1.8370242435855
NOTCH3 1.10979852833693
PPP2R2C 2.42316883611005
CA12 2.55024050324646
IPCEF1 -3.04263173530146
WSCD2 -2.63812605531046
CACNG4 4.73164259310015
MOCOS 1.08458658449558
ATP12A 4.91495793478625
PAX2 3.27927368158024
RGS11 1.0827668032343
SPAG5 -1.30876637926503
ACACB -1.45616368549678
c(\MCAM\, \MIR6756\) 1.21535731290799
RAP1GAP -1.44416839648608
RARB -1.1181178270021
PAK3 -2.05824946895433
CAPN6 -1.48859492665645
SPAG6 1.2732707204732
NAALAD2 -1.06782700433862
FBLN1 -1.89513362806582
LAMP3 1.03702795255895
FAP 1.4939637275578
RBFOX1 4.34572391547054
c(\HOXA9\, \MIR196B\) 1.14127568596897
FGF20 1.815823191795
P2RY10 -1.48691387082664
BRINP1 3.20410109969932
TP53INP2 -1.0939542591013
CLUL1 -1.88292239284192
RUNX1T1 -1.40395563484772
CDH17 1.15941594400145
SP140 -1.16023381203599
DUSP13 4.06294162265332
EPHA6 -1.94123628669428
SLC4A4 -2.15275091905932
COL5A3 1.0605718668543
KCNN2 1.01884331782353
IGSF9B -1.55483419650848
PTPRC -1.15505587902324
PKP1 1.10005700996018
LRP2 -1.48231666076831
PGR 1.28692433300854
COL19A1 2.06629987100703
KCNK2 -2.17028540377063
OPRK1 -2.60215685084673
TRPM3 -1.76275821450763
P2RX5 -2.04234054601703
EPYC 3.17216328321712
HAL -1.08766799464521
FAM234B -1.0594756260748
NKAIN1 3.57938842144766
APOB 1.30420513919229
GCKR 2.56111955662827
MECOM 1.00687894918815
IGSF9 1.0840889909454
WNT11 -1.95764614606134
TTC39A 1.09631816739873
AQP6 2.26723656694738
c(\FOLH1\, \FOLH1B\) 2.41444132919995
NME8 1.55919430685117
CEACAM6 4.7427462375328
FAT2 1.82059697111899
ERO1B -1.11561056911074
PPEF1 1.51291344583829
NOX4 2.43927558826287
PPP1R15A -1.18914318483423
BAX 1.02554624591782
ADAMTS2 1.04793451914605
TMPRSS11E 6.19788526962508
MT3 1.1727013488714
PHACTR3 3.01431625350587
SULT2B1 1.68741170624895
FER1L4 1.65250710865483
DOCK9 1.31538562693381
TMEM40 3.12889428035023
CPXM1 -1.53379944899139
KIZ -1.01442218524111
TESC 3.05029066116427
SIRPG -1.08361182505809
CFAP61 -1.60988925892076
RPH3A 2.04455899229724
CHGB 2.68888724899046
NOS1 -1.30476343987811
FXYD5 1.56101541680595
c(\FXYD3\, \MIR6887\) 3.77681097521862
ICAM1 1.93385987445689
LAMB4 -1.09877462471348
NRCAM 2.25012042803664
SLC26A4 -1.9981378976626
SLC26A3 -1.04460056320685
IL5RA -1.16640214975932
SEL1L3 1.27009387399291
TF -1.02010381373801
CPA1 3.13782757015016
RGS17 -1.1459281697199
TGM1 1.7286975305648
TBL1Y -1.3850195701578
TYRO3 1.93292452724677
CAPN3 1.42218926175854
TGFB2 1.11351414927827
FMO2 -2.10125747602987
TBC1D2 1.89928849139691
CYP26A1 2.86717368677438
IL11 1.55907852147287
TPSD1 2.10425080148185
SMIM24 3.56168449974194
TREM2 1.16996507555754
FKBP5 -1.2972246272008
MLN 4.72522486381607
SYDE2 -1.13320907950962
SCD 1.33365210984986
STX1B 1.40931896222684
CBARP 1.31282679688165
c(\PCDH11X\, \PCDH11Y\) -1.98925185042766
PRKY -1.07236121338245
MISP 3.43843650332086
HCN2 2.13156403266789
PALM 1.74029029181937
MADCAM1 -1.14190190728641
IGF2-AS 3.24821814705824
SERPIND1 -1.46023556014978
MMP11 3.4761359043058
CECR2 -2.26678127036401
SLC7A4 2.87775495740445
SEC14L2 1.24323859492607
SEC14L3 -3.35314452826781
LRP5L 1.05587400282408
LGALS2 -1.61494255631112
