Genes log2FoldChange
FGR -1.03252052545693
GCLC -1.05640818829279
CFTR 1.3393481347546
AOC1 6.29422981641468
WNT16 2.3340870215808
HECW1 1.20636266877598
KLHL13 -1.72905337883458
ICA1 1.09034016926929
DBNDD1 2.56218029487263
TFPI -1.50733997343889
SLC7A2 -1.79314742808652
HSPB6 -3.31236683267475
PDK4 -2.95671949361676
SLC22A16 1.85503902296785
SLC25A13 1.0804316274827
PRSS22 1.91882552939735
HOXA11 -2.20342616723652
MEOX1 -1.35665507506029
COPZ2 -2.22270129188098
PRKAR2B -2.18993019206211
TSPOAP1 -1.08113784231628
MPO 1.27704852029321
FBXL3 -1.26093422758747
PDK2 -1.08248591305718
CRLF1 1.65792172495773
TMEM98 -1.01634656385184
YBX2 1.89833210771452
ABCC8 -2.43452131333087
TMEM132A 2.4411407388957
TAC1 2.78344156767799
CACNA1G -2.98911750698599
DLX6 1.76022581070061
MAP3K9 1.6251351863067
BAIAP2L1 1.65528550856735
USH1C 2.15666907476553
GGCT 1.42417426765335
DBF4 1.02801155406412
TBXA2R -1.65731461528822
ARHGAP44 -1.11788154048234
PRSS21 2.27515685861551
PROM1 1.99609901883125
DNAH9 -1.14858313576318
SLC13A2 4.64708933674708
GAS7 -1.21434754941331
MATK -1.15126255955973
CEACAM7 4.42401063795034
TKTL1 5.5465185842519
PAX6 1.05635789077655
RPUSD1 1.09471865827134
SELE -4.52624802152066
MYLIP -1.02999263250936
E2F2 3.30793091679158
CAMK1G -1.04810850080399
TFAP2B 4.42467345350665
ADAM22 -1.84879850756364
c(\CELSR3\, \MIR4793\) 1.57632174611703
AASS -1.92187827790088
PLEKHG6 2.25169320805144
MGST1 1.26944553214782
IL32 1.68236145299511
c(\PKD1\, \MIR6511B1\) -1.22510339198571
RHOBTB2 -1.06284333816396
MASP2 -1.07573570328394
IYD 3.4623538708401
ETV7 1.33591298674977
NCAPD2 1.17075512732879
IFFO1 -2.03377350771737
SEMA3G -1.07693445448465
PRSS3 3.7789013059413
FYN -1.28279964511469
FMO1 -1.68012270881649
LYPLA2 1.29805047232607
MRC2 -1.21787121653976
ABHD5 1.07393380451523
ANOS1 1.65750848596389
DPF1 1.82772249238705
SYT7 1.1192952281056
PLAUR 1.22856404720363
ANLN 3.07320314704831
DCN -4.13484013805938
QPCTL 1.31499454613906
CEP68 -1.19060319048701
BRCA1 1.39046116263112
c(\CD22\, \MIR5196\) -3.01536663314651
LTF 3.04101433840367
CALCOCO1 -1.48051680166291
PSMC4 1.00623401185223
c(\CLDN11\, \LOC101928583\) -2.85751707329566
SLC25A39 1.52167046898519
DDX11 1.41625168081147
c(\GPRC5A\, \MIR614\) 1.63498023244886
MAMLD1 -1.67279579745158
TACC3 3.02897036358716
POLA2 1.14907528395141
ACPP 1.28485538729635
MTMR11 -1.27567045256802
DPEP1 3.31777494558888
NPC1L1 1.82493027659845
CLCA4 3.32285506846444
IGF1 -1.82694730785964
CNTN1 -1.11299893585728
SLC11A1 1.72902754678049
WWTR1 -1.09353445941788
ATP1A2 -1.11319277249627
ZNF582 -1.07859619131283
VSIG2 -2.06110451702026
